corr_range_m,nugget,sill,r2,n_points,n_bins,status,parent_id
1482.142857142857,0.04112967881776967,0.06854946469628279,0.14809943059356934,200,22,ok,00000000000000000001
5000.0,0.0,0.08280668612914799,0.5493950119553114,200,20,ok,00000000000000000011
5000.0,0.0,0.16577211415858803,-0.5661942549670658,200,20,ok,0000000000000000002b
2558.1932773109243,0.06481329042901963,0.06481329042901963,0.2904404927189146,200,21,ok,0000000000000000002d
4461.9747899159665,0.0607232787795561,0.0607232787795561,0.6737713841689561,200,19,ok,0000000000000000003a
2475.4201680672268,0.04092705997952169,0.04092705997952169,0.14929367431212826,200,24,ok,00000000000000000049
4586.134453781512,0.013671416109456337,0.12304274498510702,0.7942773149424063,200,20,ok,0000000000000000004a
1978.781512605042,0.02755955840749645,0.04133933761124467,0.7616826473188933,200,19,ok,0000000000000000004f
5000.0,0.0,0.23828405868645686,0.7148909301075177,200,19,ok,0000000000000000005a
3965.3361344537816,0.061115839728299384,0.061115839728299384,0.7389159355021708,200,20,ok,00000000000000000079
5000.0,0.0,0.2064184467471723,0.5482074016774062,200,16,ok,00000000000000000085
4958.6134453781515,0.0778867242521394,0.0778867242521394,0.828242455900512,200,20,ok,00000000000000000087
5000.0,0.019467099336777934,0.13626969535744554,0.827216419999766,200,19,ok,0000000000000000009b
1606.3025210084033,0.02544751794647185,0.08765256181562527,0.8272324446779803,200,18,ok,0000000000000000009d
5000.0,0.023655661027248056,0.21290094924523248,0.7354854624889235,200,24,ok,000000000000000000a1
4586.134453781512,0.01401944356548788,0.17290647064101716,0.7053595499165801,200,22,ok,000000000000000000a8
2516.8067226890757,0.016420372078851695,0.20251792230583754,0.5611756458715725,200,19,ok,000000000000000000b8
5000.0,0.04047600345126172,0.2293640195571497,0.9316927589282761,200,20,ok,000000000000000000c0
1606.3025210084033,0.02886620571213924,0.059952888786750716,0.48394671995310656,200,19,ok,000000000000000000da
3841.176470588235,0.05726652445486316,0.06329457966063821,0.7325970363969041,200,19,ok,000000000000000000e2
2268.4873949579833,0.01807352602181726,0.04764838678479094,0.9292273170540492,200,20,ok,000000000000000000e3
5000.0,0.0,0.17558901939839464,0.8661378422965862,200,19,ok,000000000000000000e9
4793.0672268907565,0.05145099374352044,0.07717649061528065,0.9322229738069525,200,20,ok,000000000000000000f0
5000.0,0.04825417728301823,0.065285063382907,0.8910904297093156,200,21,ok,000000000000000000f8
3717.016806722689,0.024735804824017226,0.14016956066943093,0.9208591320266082,200,15,ok,00000000000000000114
5000.0,0.05511453145736357,0.05511453145736357,0.6374007987135424,200,19,ok,0000000000000000011b
1233.8235294117646,0.043068596827004035,0.1292057904810121,0.6544990426544385,200,18,ok,0000000000000000011c
5000.0,0.038043051124246725,0.051470010344569085,0.8878404794060704,200,18,ok,00000000000000000128
5000.0,0.02604498239617774,0.10417992958471096,0.0023230259773281414,200,24,ok,00000000000000000151
5000.0,0.05938534521813846,0.072582088599947,0.8664156003162102,200,18,ok,00000000000000000161
2765.1260504201678,0.024096764131257855,0.0963870565250314,0.8001203395659806,200,16,ok,0000000000000000016a
4006.72268907563,0.023315123022135956,0.023315123022135956,0.712013058633088,200,23,ok,0000000000000000016c
5000.0,0.04174893961032095,0.08670933611374351,0.5466009058380848,200,21,ok,00000000000000000176
5000.0,0.0,0.2280584124687382,0.7595196289965207,200,21,ok,00000000000000000192
5000.0,0.01799476458889365,0.07197905835557458,-0.04794923795414219,200,20,ok,00000000000000000196
5000.0,0.0,0.1674867613139702,-0.38309020617338896,200,21,ok,000000000000000001a6
2309.873949579832,0.05280578243951271,0.05280578243951271,0.8408547883011213,200,20,ok,000000000000000001a8
5000.0,0.03177787608113972,0.1271115043245589,-0.44965689606238124,200,24,ok,000000000000000001be
5000.0,0.06957872117334638,0.06957872117334638,0.8557275181728935,200,20,ok,000000000000000001cd
1440.7563025210084,0.0,0.13077192108732202,0.5631153228363321,200,20,ok,000000000000000001e4
2061.5546218487393,0.025222947858801116,0.17656063501160782,0.8828473008408089,200,19,ok,000000000000000001e5
5000.0,0.014371192187141979,0.0378876884933743,0.9165826219205424,200,21,ok,000000000000000001f9
3923.9495798319326,0.03973304801976852,0.10475076296120792,0.957827926793158,200,19,ok,00000000000000000206
2144.327731092437,0.036662467028972245,0.08554575640093523,0.8693982311775381,200,20,ok,00000000000000000209
4255.042016806722,0.01254808727758898,0.07110582790633754,0.8133209801484184,200,20,ok,00000000000000000228
3510.084033613445,0.06794018878962765,0.06794018878962765,0.8574466268083836,200,20,ok,00000000000000000231
5000.0,0.03208946100468949,0.11053036568281935,0.8036114528101859,200,16,ok,0000000000000000024c
4958.6134453781515,0.06818312448902161,0.1022746867335324,0.9373805765494283,200,19,ok,0000000000000000026d
5000.0,0.08059945066393687,0.08059945066393687,0.5396474768482554,200,21,ok,00000000000000000278
5000.0,0.020942098148772757,0.025595897737388927,0.42418522405667314,200,17,ok,00000000000000000281
3220.378151260504,0.004144720164203425,0.16164408640393357,0.9433105119937615,200,17,ok,0000000000000000028c
3675.63025210084,0.05911179068230212,0.05911179068230212,0.920721969874344,200,21,ok,0000000000000000028d
3468.6974789915967,0.0,0.10227900500644752,0.8852582102365761,200,18,ok,00000000000000000291
2930.6722689075627,0.060666051525711896,0.060666051525711896,0.31728051286278025,200,24,ok,00000000000000000293
4089.4957983193276,0.039100507548750614,0.15640203019500246,0.7875322768441599,200,19,ok,000000000000000002a4
5000.0,0.01768641891957738,0.05305925675873213,0.5596908010569962,200,20,ok,000000000000000002c5
4958.6134453781515,0.051304965668518256,0.10655646715769176,0.9348836765890287,200,19,ok,000000000000000002cc
5000.0,0.05962628255586124,0.07287656756827485,0.72457485454571,200,22,ok,000000000000000002dc
5000.0,0.02260936405997094,0.0596065052490143,0.5506197764230942,200,20,ok,000000000000000002e4
5000.0,0.01939938243307109,0.040291025053301496,0.9283442963009776,200,19,ok,000000000000000002ec
3592.8571428571427,0.07498293186206623,0.08287587205807317,0.8004684158349771,200,18,ok,00000000000000000314
2102.9411764705883,0.0,0.16039852624615214,0.6465161775673919,200,17,ok,00000000000000000316
5000.0,0.004544192276657084,0.0560450380787707,0.363994774608163,200,20,ok,00000000000000000335
3675.63025210084,0.03145070332706929,0.10833020034879423,0.937584868452221,200,19,ok,0000000000000000033a
5000.0,0.024289071417011646,0.08366235710304011,0.7994622423676925,200,24,ok,0000000000000000034d
5000.0,0.058722767542264416,0.058722767542264416,0.5501219355703513,200,19,ok,00000000000000000356
3261.7647058823527,0.071465421500395,0.078988097447805,0.8653154496655755,200,21,ok,00000000000000000362
5000.0,0.026079964036859724,0.12294840188805298,0.8763809459477712,200,20,ok,00000000000000000363
3510.084033613445,0.0752511524810264,0.0752511524810264,0.7698164563626816,200,24,ok,00000000000000000364
3592.8571428571427,0.03903249518048069,0.13444526117721128,0.9131342704672751,200,17,ok,00000000000000000375
5000.0,0.07533880330494165,0.11300820495741247,0.795652290148976,200,21,ok,00000000000000000380
4089.4957983193276,0.032018062051268725,0.1814356849571894,0.9344804239367832,200,18,ok,00000000000000000384
3013.4453781512602,0.04529952343457283,0.1358985703037185,0.8161608404554517,200,19,ok,0000000000000000039e
3551.470588235294,0.07002346889503232,0.11670578149172052,0.971034036399705,200,17,ok,000000000000000003a1
5000.0,0.024413278332725108,0.02983845129555291,0.18368554681782512,200,17,ok,000000000000000003a2
5000.0,0.0,0.21060793547746628,0.900114026316391,200,23,ok,000000000000000003a5
4834.453781512605,0.045683765116360533,0.045683765116360533,0.4001109780717824,200,20,ok,000000000000000003b0
2806.5126050420167,0.059654028257358487,0.11078605247795145,0.678768530738362,200,23,ok,000000000000000003b7
5000.0,0.04455289821097449,0.10395676249227379,0.2575908987447353,200,18,ok,000000000000000003bf
5000.0,0.028848674699328555,0.053576110155895876,0.5807589812947058,200,24,ok,000000000000000003c7
5000.0,0.06811550370704078,0.09215626972129046,0.8455968536862833,200,21,ok,000000000000000003c8
5000.0,0.05147470806897462,0.0857911801149577,0.3446236424630541,200,19,ok,000000000000000003d2
5000.0,0.050402214417223604,0.050402214417223604,0.2936046717483668,200,21,ok,000000000000000003f1
2185.714285714286,0.11440016280462699,0.1398224212056552,0.6360066077314827,200,18,ok,000000000000000003f2
3178.991596638655,0.011161140132356317,0.21206166251477002,0.8666544421772482,200,19,ok,000000000000000003f8
1399.3697478991596,0.04799049901794488,0.07998416502990813,0.3145136088142161,200,19,ok,000000000000000003fa
4379.201680672269,0.062003963830744774,0.07578262245979916,0.6901905866410414,200,22,ok,00000000000000000407
5000.0,0.010625339270629912,0.20188144614196832,0.5562757116647854,200,21,ok,0000000000000000040f
3344.53781512605,0.061745965166568495,0.09261894774985274,0.9640370714579668,200,15,ok,00000000000000000426
4627.5210084033615,0.07584523671025087,0.07584523671025087,0.9347020916360934,200,21,ok,0000000000000000042b
3427.3109243697477,0.0,0.15297619060805168,0.9151045627744445,200,20,ok,00000000000000000442
5000.0,0.018307075407880874,0.12814952785516612,0.6456246700074695,200,23,ok,0000000000000000044b
5000.0,0.01906733166305289,0.171605984967476,0.7138735665681435,200,23,ok,00000000000000000465
2309.873949579832,0.014232954992403981,0.08065341162362254,0.8526749106141258,200,18,ok,0000000000000000046c
1813.235294117647,0.050107175584451415,0.050107175584451415,0.31422356973030385,200,19,ok,0000000000000000047e
5000.0,0.017663673839467438,0.2178519773534317,0.9094804794410392,200,20,ok,00000000000000000480
5000.0,0.007221114642763,0.064990031784867,-0.10274513425420495,200,24,ok,00000000000000000483
3054.831932773109,0.07404898452669235,0.07404898452669235,0.19720509609884962,200,21,ok,00000000000000000485
1689.0756302521008,0.06639043443234029,0.06639043443234029,0.3043203409848946,200,21,ok,00000000000000000490
5000.0,0.011756620403291894,0.14499831830726667,0.927994187161914,200,23,ok,00000000000000000497
5000.0,0.0,0.1793600188601706,0.5101927777097415,200,21,ok,0000000000000000049b
5000.0,0.05223621035960552,0.07835431553940828,0.7276699859951842,200,19,ok,000000000000000004a1
2723.7394957983192,0.055431595223202595,0.07499568765492115,0.9010463636085407,200,20,ok,000000000000000004c0
3592.8571428571427,0.048160703530906804,0.11237497490544919,0.9060967518789276,200,16,ok,000000000000000004c5
4958.6134453781515,0.062450790302862116,0.10408465050477018,0.9401497598119156,200,17,ok,000000000000000004d2
3634.2436974789916,0.06534614164288167,0.06534614164288167,0.544838280151229,200,19,ok,000000000000000004d9
4461.9747899159665,0.06484724583129363,0.06484724583129363,0.6817316273291416,200,18,ok,000000000000000004e7
5000.0,0.0,0.09991937737680101,0.8411942531661091,200,21,ok,000000000000000004e9
5000.0,0.04383676049022401,0.17534704196089604,0.9336120898746586,200,19,ok,000000000000000004eb
2102.9411764705883,0.0,0.06829719732496839,0.41155517642544825,200,21,ok,000000000000000004ee
4420.588235294117,0.0,0.22225493486759423,0.3592920551721961,200,20,ok,000000000000000004f5
