strategy,n_parents,median_ci_width,p90_ci_width,median_neff_min,p25_neff_min,min_neff10_coverage,min_neff20_coverage,min_neff30_coverage,pooled_auc,mask,corr_range_m
random_200,158,0.0613585879913992,0.0865672385789024,76.26032138273332,41.67147738092992,0.9430379746835444,0.8734177215189873,0.8227848101265823,0.911549473666218,mask_on,150
fscs_200,158,0.0613585879913992,0.0865672385789024,76.26032138273332,41.67147738092992,0.9430379746835444,0.8734177215189873,0.8227848101265823,0.911549473666218,mask_on,150
fscs_150,158,0.0700166251655601,0.0952498976055073,69.02461780353673,39.36282063486031,0.9493670886075948,0.8670886075949367,0.8164556962025317,0.9096159799617246,mask_on,150
feature_diverse_150,158,0.0701831274791699,0.0919820477303013,74.15040720044945,44.4516599479723,0.9493670886075948,0.879746835443038,0.8417721518987342,0.901499204852962,mask_on,150
random_150,158,0.0702951648529227,0.1004998572671579,68.73129016530447,39.249405066519685,0.9430379746835444,0.8670886075949367,0.8164556962025317,0.9108836231772536,mask_on,150
spatial_thin_100_cap150,158,0.0769361708542232,0.1117160647250039,85.84842977382172,54.347541456802816,0.9746835443037974,0.930379746835443,0.8734177215189873,0.8943835089609735,mask_on,150
spatial_thin_150_cap150,158,0.0797106283120583,0.1217480517719768,86.13785926521112,53.72511179206457,0.981012658227848,0.9367088607594936,0.879746835443038,0.8856663716780996,mask_on,150
hybrid_150_diverse_150,158,0.0802592779149891,0.1192233345828167,86.53104152319423,54.14511185383091,0.981012658227848,0.9430379746835444,0.879746835443038,0.8854912269930878,mask_on,150
fscs_100,158,0.0832791317387579,0.1135553550315967,55.83225204861273,35.14513434803693,0.9430379746835444,0.8734177215189873,0.7848101265822784,0.9105407106232976,mask_on,150
feature_diverse_100,158,0.0839484150031989,0.1086519720908783,61.99154219066177,39.93905192888737,0.9430379746835444,0.8860759493670886,0.8227848101265823,0.8834284049030604,mask_on,150
spatial_thin_100_cap100,158,0.0849462518074113,0.1231650891418541,68.32193639607516,51.37016297069333,0.9746835443037974,0.930379746835443,0.8734177215189873,0.8992062332869402,mask_on,150
random_100,158,0.0855092167471372,0.1245441592893836,55.21469195987018,34.04725044374485,0.9430379746835444,0.8670886075949367,0.7911392405063291,0.9088280283608396,mask_on,150
spatial_thin_150_cap100,158,0.0876913542513127,0.1368873778507175,79.89100996885077,54.119435589856046,0.981012658227848,0.9367088607594936,0.879746835443038,0.8931102303783371,mask_on,150
hybrid_150_diverse_100,158,0.091407696603029,0.130706214497778,81.35604511332984,54.16826087537271,0.981012658227848,0.9367088607594936,0.879746835443038,0.8739789111143744,mask_on,150
spatial_thin_250_cap150,158,0.1010085738507609,0.1491037878245587,68.96789199283624,43.13107534463703,0.9683544303797468,0.9050632911392406,0.8417721518987342,0.874452229439892,mask_on,150
spatial_thin_250_cap100,158,0.1016305848206211,0.1584505000539897,67.99400815999165,42.3354550750447,0.9620253164556962,0.9240506329113924,0.8354430379746836,0.8757413070281544,mask_on,150
hybrid_300_diverse_100,158,0.1076694772023836,0.1626020498449283,57.12802773007768,35.73729172556964,0.9556962025316456,0.8734177215189873,0.8037974683544303,0.8667634418718433,mask_on,150
spatial_thin_300_cap100,158,0.1077286285200846,0.161134532710662,57.54661323019264,36.06296799394909,0.9556962025316456,0.8734177215189873,0.7974683544303798,0.86895871597886,mask_on,150
