strategy,n_parents,median_ci_width,p90_ci_width,median_neff_min,p25_neff_min,min_neff10_coverage,min_neff20_coverage,min_neff30_coverage,pooled_auc,x_obs_fallback_parents,median_ci_width__built_loss,median_neff_min__built_loss,median_dor__built_loss,n_parents__built_loss,median_ci_width__crop_loss,median_neff_min__crop_loss,median_dor__crop_loss,n_parents__crop_loss,mask,corr_range_m
random_200,158,0.0531768478092786,0.0965191504101106,76.26032138273332,41.67147738092992,0.9430379746835444,0.8734177215189873,0.8227848101265823,0.911549473666218,0,0.0514670369113724,69.5425180060564,0.5214722313810917,90,0.0567097281232514,86.55047210878222,0.4633910264735686,68,on,150
fscs_200,158,0.0531768478092786,0.0965191504101106,76.26032138273332,41.67147738092992,0.9430379746835444,0.8734177215189873,0.8227848101265823,0.911549473666218,0,0.0514670369113724,69.5425180060564,0.5214722313810917,90,0.0567097281232514,86.55047210878222,0.4633910264735686,68,on,150
random_150,158,0.0616091681844793,0.11244026018289,68.85696587522196,40.91961331819914,0.9430379746835444,0.8670886075949367,0.8037974683544303,0.9109136887840092,0,0.0612221432749528,61.92543761199745,0.5272863636018372,90,0.0616091681844793,76.74246628145178,0.4665666329761537,68,on,150
feature_diverse_150,158,0.0618096843249104,0.1037218009185383,74.20830824776678,44.63063389652344,0.9493670886075948,0.879746835443038,0.8417721518987342,0.9014748160688102,0,0.0604714475727804,67.38447604852698,0.5271638734782166,90,0.0657994845555466,82.20875915231338,0.4512597018719598,68,on,150
fscs_150,158,0.0650077783092964,0.1085972860334049,69.27017217182191,40.83680872079071,0.9430379746835444,0.8670886075949367,0.8291139240506329,0.9110123714476664,0,0.060567990141459,62.59756857280911,0.5147774065502857,90,0.0671197064422883,79.80398712441237,0.4666357693677925,68,on,150
spatial_thin_100_cap150,158,0.0683787636146802,0.135596439269602,86.50461229324162,54.02699132234287,0.981012658227848,0.930379746835443,0.8734177215189873,0.8937639285965945,0,0.0664194117122651,79.41126462617635,0.508894133667616,90,0.0721456682077466,95.68226770827096,0.451193560154844,68,on,150
spatial_thin_150_cap150,158,0.0706341732506026,0.1478540092463429,85.42502423250114,54.02705940091144,0.981012658227848,0.9367088607594936,0.879746835443038,0.8864145308154129,0,0.0685853037208721,79.04510066718902,0.5093253967415547,90,0.0741023772450354,96.02397547957352,0.4648194652628772,68,on,150
hybrid_150_diverse_150,158,0.0713783477788198,0.1640725239975098,86.08100755916718,54.0284451993336,0.981012658227848,0.9367088607594936,0.879746835443038,0.8855999287623295,0,0.0677690693501628,78.86028466266362,0.5010539992797649,90,0.074894342791672,96.07829611064906,0.4581614724360329,68,on,150
random_100,158,0.0736063645125948,0.1295995956781035,55.12942876686266,34.023396897277905,0.9493670886075948,0.8607594936708861,0.7848101265822784,0.9125685266784168,0,0.0682121737594848,51.8680440469887,0.5126297208421483,90,0.0760497743550344,59.8546344924176,0.4571651519223452,68,on,150
fscs_100,158,0.0742003931916955,0.1369370611222186,57.31158246038315,36.25011095425592,0.9430379746835444,0.8670886075949367,0.7974683544303798,0.9077048670084922,0,0.0713022191334233,54.67596074042581,0.5121187969179624,90,0.0792019203168798,64.40700393308492,0.4468953311129422,68,on,150
feature_diverse_100,158,0.0763495320868993,0.1203141153241035,62.21783795000937,40.16919008583967,0.9430379746835444,0.8924050632911392,0.8227848101265823,0.8839773233456177,0,0.0750573162191762,54.64126703337685,0.5220728561764542,90,0.078601939961274,67.12443901056042,0.4217248213489225,68,on,150
