strategy,n_refs,auc,brier,youden_t,false_deg,false_rec,bal_err
random_40,40,0.902976385995834,0.15995213646374284,0.4713241492277995,0.18433544303797467,0.14984177215189873,0.1670886075949367
random_60,60,0.9076010677597963,0.15972787532098165,0.4728444621861675,0.1794303797468354,0.1449367088607595,0.16218354430379744
random_100,100,0.9118231773754206,0.15778867745404782,0.47833403305428895,0.18639240506329113,0.1322151898734177,0.15930379746835444
random_150,150,0.9105541287796203,0.15882787479926339,0.46705067284884483,0.1684810126582279,0.15353765619723067,0.1610093344277293
random_200,200,0.9112146831251643,0.1586256103031851,0.47035209196287464,0.17337728843938038,0.14911439350342093,0.16124584097140066
