variant,aggregator,distance,subset,n,auc,brier,youden_t,false_deg,false_rec,bal_err
med_cos_all,median,cosine,all,31600,0.9118231773754206,0.15778867745404782,0.47833403305428895,0.18639240506329113,0.1322151898734177,0.15930379746835444
med_eucl_all,median,euclidean,all,31600,0.9118304358275917,0.19147450297160049,0.48913246409809613,0.1863291139240506,0.1321518987341772,0.1592405063291139
med_cos_k5,median,cosine,k=5,31600,0.9500539416760134,0.12788684767366082,0.48889255657457614,0.13607594936708856,0.11145569620253165,0.1237658227848101
med_eucl_k5,median,euclidean,k=5,31600,0.9500447844896651,0.168114460938609,0.4944879646049966,0.13613924050632908,0.11151898734177215,0.12382911392405062
mean_cos_k5,mean,cosine,k=5,31600,0.9540046827431501,0.12643024924174465,0.4845802993637632,0.12531645569620253,0.11056962025316455,0.11794303797468354
mean_eucl_k5,mean,euclidean,k=5,31600,0.9545998157346579,0.16696516592796354,0.4924934536672741,0.12462025316455694,0.10987341772151898,0.11724683544303796
