probe_state,step,parent_label,n,true_rate,error_rate,abstain_rate,no_data_rate,brier
good,baseline,all,15800,0.6448101265822784,0.14968354430379746,0.20550632911392405,0.0,0.18635604587144822
good,baseline,built_loss,9000,0.7104444444444444,0.12488888888888888,0.16466666666666666,0.0,0.17080270772863726
good,baseline,crop_loss,6800,0.5579411764705883,0.1825,0.2595588235294118,0.0,0.20694134635458036
good,step1_calibrated_t,all,15800,0.7231645569620253,0.1110126582278481,0.16582278481012658,0.0,0.18635604587144822
good,step1_calibrated_t,built_loss,9000,0.7768888888888889,0.093,0.13011111111111112,0.0,0.17080270772863726
good,step1_calibrated_t,crop_loss,6800,0.6520588235294118,0.1348529411764706,0.21308823529411763,0.0,0.20694134635458036
good,step2_deadband,all,15800,0.5705696202531646,0.061708860759493674,0.3677215189873418,0.0,0.18635604587144822
good,step2_deadband,built_loss,9000,0.6453333333333333,0.05011111111111111,0.3045555555555556,0.0,0.17080270772863726
good,step2_deadband,crop_loss,6800,0.47161764705882353,0.07705882352941176,0.4513235294117647,0.0,0.20694134635458036
good,step3_deadband_effect,all,15800,0.564873417721519,0.06107594936708861,0.3740506329113924,0.0,0.18635604587144822
good,step3_deadband_effect,built_loss,9000,0.6402222222222222,0.049777777777777775,0.31,0.0,0.17080270772863726
good,step3_deadband_effect,crop_loss,6800,0.4651470588235294,0.07602941176470589,0.4588235294117647,0.0,0.20694134635458036
good,step4_knn,all,15800,0.5946202531645569,0.018227848101265823,0.3871518987341772,0.0,0.13563231653519875
good,step4_knn,built_loss,9000,0.6352222222222222,0.01988888888888889,0.3448888888888889,0.0,0.13098506608417848
good,step4_knn,crop_loss,6800,0.5408823529411765,0.016029411764705882,0.44308823529411767,0.0,0.14178308919096083
bad,baseline,all,15800,0.8231645569620253,0.046708860759493674,0.130126582278481,0.0,0.1292213090366474
bad,baseline,built_loss,9000,0.8371111111111111,0.04922222222222222,0.11366666666666667,0.0,0.13021208690812813
bad,baseline,crop_loss,6800,0.8047058823529412,0.04338235294117647,0.15191176470588236,0.0,0.1279099853832171
bad,step1_calibrated_t,all,15800,0.7677215189873418,0.0739240506329114,0.15835443037974684,0.0,0.1292213090366474
bad,step1_calibrated_t,built_loss,9000,0.7854444444444444,0.07422222222222222,0.14033333333333334,0.0,0.13021208690812813
bad,step1_calibrated_t,crop_loss,6800,0.7442647058823529,0.07352941176470588,0.1822058823529412,0.0,0.1279099853832171
bad,step2_deadband,all,15800,0.6388607594936709,0.03221518987341772,0.3289240506329114,0.0,0.1292213090366474
bad,step2_deadband,built_loss,9000,0.6645555555555556,0.034444444444444444,0.301,0.0,0.13021208690812813
bad,step2_deadband,crop_loss,6800,0.6048529411764706,0.029264705882352943,0.3658823529411765,0.0,0.1279099853832171
bad,step3_deadband_effect,all,15800,0.6343670886075949,0.03189873417721519,0.3337341772151899,0.0,0.1292213090366474
bad,step3_deadband_effect,built_loss,9000,0.6585555555555556,0.03422222222222222,0.30722222222222223,0.0,0.13021208690812813
bad,step3_deadband_effect,crop_loss,6800,0.6023529411764705,0.028823529411764706,0.3688235294117647,0.0,0.1279099853832171
bad,step4_knn,all,15800,0.5674050632911393,0.009240506329113924,0.42335443037974685,0.0,0.11722818194829059
bad,step4_knn,built_loss,9000,0.5647777777777778,0.007555555555555556,0.42766666666666664,0.0,0.12045560056276647
bad,step4_knn,crop_loss,6800,0.5708823529411765,0.011470588235294118,0.4176470588235294,0.0,0.11295659848795483
