variant,k,auc,brier,youden_t,false_deg,false_rec,bal_err
mean_cos,1,0.942200156224964,0.12490053944150535,0.49880294614757775,0.15196202531645575,0.11746835443037974,0.13471518987341774
mean_eucl,1,0.9422004286172088,0.16244452077277155,0.4993740590788979,0.15189873417721522,0.11740506329113924,0.13465189873417724
mean_cos,2,0.9511984778080436,0.12425125030794494,0.4927888841947963,0.13588607594936708,0.11126582278481012,0.1235759493670886
mean_eucl,2,0.9511065574427175,0.16395183486187317,0.49822537881937273,0.14063291139240508,0.10613924050632911,0.1233860759493671
mean_cos,3,0.9534419644287775,0.12491839239223923,0.4873458084425647,0.12651898734177214,0.11177215189873417,0.11914556962025316
mean_eucl,3,0.9536670485499119,0.16519195833577388,0.4939194102699163,0.12658227848101267,0.11183544303797469,0.11920886075949368
mean_cos,5,0.9540046827431501,0.12643024924174465,0.4845802993637632,0.12531645569620253,0.11056962025316455,0.11794303797468354
mean_eucl,5,0.9545998157346579,0.16696516592796354,0.4924934536672741,0.12462025316455694,0.10987341772151898,0.11724683544303796
mean_cos,7,0.9533885274795706,0.12781821809033705,0.48648295191684504,0.12924050632911388,0.10462025316455696,0.11693037974683543
mean_eucl,7,0.9542045024835764,0.1682954329043781,0.4934428416868208,0.1287974683544304,0.10417721518987341,0.1164873417721519
mean_cos,10,0.9518255648133312,0.12967922402526336,0.4843581344809793,0.13151898734177214,0.1068987341772152,0.11920886075949366
mean_eucl,10,0.9528972240025637,0.1699078083644204,0.4923406136894626,0.13037974683544307,0.10575949367088608,0.11806962025316457
mean_cos,15,0.9489260495112962,0.13229419590654778,0.4824396124318749,0.13512658227848107,0.11050632911392405,0.12281645569620256
mean_eucl,15,0.950316788174972,0.17205371649870485,0.4928678559136752,0.1382911392405063,0.10379746835443038,0.12104430379746833
mean_cos,20,0.9460468194199647,0.13467930617679333,0.48432550231222166,0.1432911392405063,0.10879746835443038,0.12604430379746834
mean_eucl,20,0.9477070661752924,0.17393627892310184,0.4908530444514274,0.13632911392405067,0.11170886075949367,0.12401898734177216
mean_cos,30,0.940598718154142,0.13920852219306729,0.47719759340659973,0.14455696202531643,0.1199367088607595,0.13224683544303795
mean_eucl,30,0.9428206817817657,0.17735198315677222,0.48733067877552955,0.13677215189873415,0.1220253164556962,0.12939873417721517
mean_cos,50,0.9294900937349784,0.14794135511417908,0.47297030874127705,0.1554430379746835,0.13082278481012657,0.14313291139240503
mean_eucl,50,0.9333877824066656,0.1835420517597154,0.4853840778854993,0.14746835443037976,0.13272151898734177,0.14009493670886075
mean_cos,75,0.9119371174491268,0.16144361845157065,0.46527588579250184,0.17696202531645566,0.14246835443037975,0.1597151898734177
mean_eucl,75,0.9197426934786092,0.1921478301135898,0.48683241961235374,0.18101265822784807,0.12683544303797467,0.15392405063291137
