probe_state,step,parent_label,n,true_rate,error_rate,abstain_rate,no_data_rate,brier
good,baseline,all,15800,0.6448101265822784,0.14968354430379746,0.20550632911392405,0.0,0.18635604587144822
good,baseline,built_loss,9000,0.7104444444444444,0.12488888888888888,0.16466666666666666,0.0,0.17080270772863726
good,baseline,crop_loss,6800,0.5579411764705883,0.1825,0.2595588235294118,0.0,0.20694134635458036
good,step1_calibrated_t,all,15800,0.7248101265822785,0.10968354430379747,0.16550632911392404,0.0,0.18635604587144822
good,step1_calibrated_t,built_loss,9000,0.75,0.10666666666666667,0.14333333333333334,0.0,0.17080270772863726
good,step1_calibrated_t,crop_loss,6800,0.6914705882352942,0.1136764705882353,0.1948529411764706,0.0,0.20694134635458036
good,step2_deadband,all,15800,0.5728481012658228,0.062151898734177216,0.365,0.0,0.18635604587144822
good,step2_deadband,built_loss,9000,0.6077777777777778,0.059555555555555556,0.33266666666666667,0.0,0.17080270772863726
good,step2_deadband,crop_loss,6800,0.5266176470588235,0.06558823529411764,0.4077941176470588,0.0,0.20694134635458036
good,step3_deadband_effect,all,15800,0.5653164556962025,0.06145569620253165,0.3732278481012658,0.0,0.18635604587144822
good,step3_deadband_effect,built_loss,9000,0.6023333333333334,0.058888888888888886,0.3387777777777778,0.0,0.17080270772863726
good,step3_deadband_effect,crop_loss,6800,0.5163235294117647,0.06485294117647059,0.4188235294117647,0.0,0.20694134635458036
good,step4_knn,all,15800,0.5962025316455696,0.01791139240506329,0.3858860759493671,0.0,0.13563231653519875
good,step4_knn,built_loss,9000,0.633,0.02011111111111111,0.3468888888888889,0.0,0.13098506608417848
good,step4_knn,crop_loss,6800,0.5475,0.015,0.4375,0.0,0.14178308919096083
bad,baseline,all,15800,0.8231645569620253,0.046708860759493674,0.130126582278481,0.0,0.1292213090366474
bad,baseline,built_loss,9000,0.8371111111111111,0.04922222222222222,0.11366666666666667,0.0,0.13021208690812813
bad,baseline,crop_loss,6800,0.8047058823529412,0.04338235294117647,0.15191176470588236,0.0,0.1279099853832171
bad,step1_calibrated_t,all,15800,0.7646835443037975,0.07386075949367088,0.16145569620253164,0.0,0.1292213090366474
bad,step1_calibrated_t,built_loss,9000,0.8094444444444444,0.06177777777777778,0.12877777777777777,0.0,0.13021208690812813
bad,step1_calibrated_t,crop_loss,6800,0.7054411764705882,0.0898529411764706,0.20470588235294118,0.0,0.1279099853832171
bad,step2_deadband,all,15800,0.6410759493670886,0.03259493670886076,0.3263291139240506,0.0,0.1292213090366474
bad,step2_deadband,built_loss,9000,0.699,0.02788888888888889,0.27311111111111114,0.0,0.13021208690812813
bad,step2_deadband,crop_loss,6800,0.5644117647058824,0.03882352941176471,0.39676470588235296,0.0,0.1279099853832171
bad,step3_deadband_effect,all,15800,0.6383544303797468,0.03196202531645569,0.3296835443037975,0.0,0.1292213090366474
bad,step3_deadband_effect,built_loss,9000,0.6955555555555556,0.027333333333333334,0.2771111111111111,0.0,0.13021208690812813
bad,step3_deadband_effect,crop_loss,6800,0.5626470588235294,0.038088235294117645,0.39926470588235297,0.0,0.1279099853832171
bad,step4_knn,all,15800,0.565632911392405,0.009050632911392405,0.4253164556962025,0.0,0.11722818194829059
bad,step4_knn,built_loss,9000,0.5674444444444444,0.007,0.4255555555555556,0.0,0.12045560056276647
bad,step4_knn,crop_loss,6800,0.5632352941176471,0.011764705882352941,0.425,0.0,0.11295659848795483
