scorer,bin,n,score_lo,score_hi,mean_score,frac_good,gap
dor_median,0,3160,0.0196785321067559,0.2222217344378582,0.16047780404945092,0.03481012658227848,0.12566767746717245
dor_median,1,3160,0.222227241157758,0.2949502884463645,0.260402784583032,0.07373417721518988,0.18666860736784213
dor_median,2,3160,0.2949603523081123,0.3502148962357054,0.3233277494418942,0.12721518987341773,0.19611255956847645
dor_median,3,3160,0.3502261919660998,0.4056917959889898,0.3776342073403217,0.20063291139240505,0.17700129594791666
dor_median,4,3160,0.4057468929960492,0.4625778415197963,0.43396627354995987,0.3632911392405063,0.07067513430945355
dor_median,5,3160,0.4625819714801966,0.5177994876036004,0.49099602255640445,0.5939873417721518,-0.10299131921574739
dor_median,6,3160,0.5178355060205264,0.5685336251787001,0.5423941747539124,0.7873417721518987,-0.24494759739798633
dor_median,7,3160,0.5685493386866044,0.6279436158685886,0.5974901223358574,0.8870253164556962,-0.28953519411983875
dor_median,8,3160,0.6279464305841436,0.7080694405417648,0.6649321972248838,0.9537974683544304,-0.2888652711295465
dor_median,9,3160,0.7080871225928864,0.9616420709584702,0.7845729200366456,0.9781645569620253,-0.19359163692537973
dor_knn,0,3160,0.0059197771611379,0.1786864810305688,0.11600831891611271,0.004113924050632912,0.11189439486547981
dor_knn,1,3160,0.1787039371914268,0.2719524016255684,0.22708780982868448,0.026582278481012658,0.20050553134767182
dor_knn,2,3160,0.2719545451441519,0.3476881768421076,0.31099817461182677,0.06772151898734177,0.243276655624485
dor_knn,3,3160,0.3476942823749892,0.4163374777516121,0.3828813332573817,0.1458860759493671,0.23699525730801463
dor_knn,4,3160,0.4163393063280502,0.4799661683689838,0.44849748684528074,0.35063291139240504,0.09786457545287569
dor_knn,5,3160,0.479978069178346,0.5461599800286325,0.5125486718198583,0.6003164556962025,-0.08776778387634421
dor_knn,6,3160,0.5462411599945007,0.6223932939930522,0.5834592969156763,0.8541139240506329,-0.2706546271349566
dor_knn,7,3160,0.6224170719938461,0.7119222048730998,0.6667001631768323,0.9629746835443038,-0.2962745203674715
dor_knn,8,3160,0.7120311848574329,0.8158060242888282,0.7629009732201528,0.989240506329114,-0.22633953310896116
dor_knn,9,3160,0.8158478527614528,0.9880469675408452,0.8876598212504088,0.9984177215189873,-0.11075790026857857
