parent_id,parent_label,probe_state,fold,med_cos_all,med_eucl_all,med_cos_k5,med_eucl_k5,mean_cos_k5,mean_eucl_k5
00000000000000000085,built_loss,good,0,0.501871200722871,0.5006832448449221,0.7600986356604268,0.6401508277655314,0.7576650656387791,0.6390320589328637
00000000000000000085,built_loss,good,0,0.5220689241867732,0.5110259163118778,0.7928094204874,0.6622072670576448,0.8191660438700852,0.6854193849538776
00000000000000000085,built_loss,good,0,0.5038788747727644,0.5016590283348484,0.8090296691344376,0.6719875411370622,0.8287173619063317,0.6933798603364882
00000000000000000085,built_loss,good,0,0.4870396754770516,0.49331665123380186,0.8102652314404188,0.6743108871602358,0.792536067102551,0.6620658701037613
00000000000000000085,built_loss,good,0,0.5056176083652437,0.5029156428005416,0.8232284113173423,0.6832148467367024,0.829233078573402,0.6911672100918438
00000000000000000085,built_loss,good,0,0.5085537869478401,0.504329153684304,0.8309602595602632,0.6887465463420182,0.8115590784403699,0.6768480667864978
00000000000000000085,built_loss,good,0,0.5031365143552475,0.5013927248374257,0.754278809906564,0.6366089116386396,0.7573788285463037,0.6392635122578211
00000000000000000085,built_loss,good,0,0.5413880208033627,0.5203863214654437,0.5128307832684891,0.5061838535937239,0.5381325778225148,0.52059609029187
00000000000000000085,built_loss,good,0,0.5301420107659375,0.5156944115447406,0.49745175349337434,0.4989168449358045,0.4965086996074927,0.49830876927948475
00000000000000000085,built_loss,good,0,0.4966243157434134,0.49818223822763896,0.6246230517809984,0.5635840364810065,0.6264392132797164,0.5639627932446916
00000000000000000085,built_loss,good,0,0.48959262936675574,0.49503873151307975,0.7107252083534233,0.6107525278023974,0.6871420198595716,0.5993333689889044
00000000000000000085,built_loss,good,0,0.4947168692387923,0.4976090750082877,0.677927346956098,0.5920406686130169,0.6734675169445217,0.5896615797200084
00000000000000000085,built_loss,good,0,0.5540376200906278,0.5270572209568111,0.648702259802312,0.5761774378851231,0.5458154606991439,0.5233323469289349
00000000000000000085,built_loss,good,0,0.5131862263222687,0.5068276804495194,0.5370745508567345,0.5182738044404934,0.5310807770691419,0.5159993265168286
