parent_id,parent_label,dor_median_v2,category_v2,dor_knn,dor_median_v3,category_knn,category_median,dor_change,changed
00000000000000000001,built_loss,0.4457660778568862,degraded,0.519907304505465,0.4457660778568862,indistinguishable,degraded,0.07414122664857875,True
00000000000000000049,built_loss,0.4931784321263063,indistinguishable,0.3279500614668739,0.4931784321263063,indistinguishable,indistinguishable,-0.1652283706594324,False
0000000000000000004a,built_loss,0.4399635974690063,degraded,0.4571906015517337,0.4399635974690063,indistinguishable,degraded,0.01722700408272737,True
0000000000000000004f,built_loss,0.4338715639144099,degraded,0.3625847066084168,0.4338715639144099,degraded,degraded,-0.0712868573059931,False
0000000000000000005a,built_loss,0.4341876403329874,degraded,0.4636116898155982,0.4341876403329874,indistinguishable,degraded,0.029424049482610792,True
00000000000000000079,built_loss,0.610284403541861,recovering,0.6576939448147957,0.610284403541861,recovering,recovering,0.04740954127293473,False
00000000000000000085,built_loss,0.3935463838584332,degraded,0.2467093246192367,0.3935463838584332,degraded,degraded,-0.14683705923919652,False
00000000000000000087,built_loss,0.5266498190547633,indistinguishable,0.4303723624417322,0.5266498190547633,indistinguishable,indistinguishable,-0.09627745661303105,False
000000000000000000a1,built_loss,0.4493490161217572,degraded,0.3973405938541909,0.4493490161217572,degraded,degraded,-0.0520084222675663,False
000000000000000000b8,built_loss,0.5311818475002759,indistinguishable,0.3426513157619865,0.5311818475002759,degraded,indistinguishable,-0.18853053173828938,True
000000000000000000c0,built_loss,0.6135637693591418,recovering,0.6294820557826859,0.6135637693591418,recovering,recovering,0.015918286423544092,False
000000000000000000e2,built_loss,0.3793295411885945,degraded,0.5103674773184775,0.3793295411885945,indistinguishable,degraded,0.13103793612988301,True
000000000000000000f0,built_loss,0.6679900963561605,recovering,0.6489883367608036,0.6679900963561605,recovering,recovering,-0.019001759595356882,False
000000000000000000f8,built_loss,0.5584459640469653,recovering,0.537087228551852,0.5584459640469653,indistinguishable,recovering,-0.021358735495113357,True
00000000000000000114,built_loss,0.6814796386966279,recovering,0.5324914029571705,0.6814796386966279,indistinguishable,recovering,-0.1489882357394574,True
0000000000000000011c,built_loss,0.7250914899770797,recovering,0.6754856463400416,0.7250914899770797,recovering,recovering,-0.04960584363703813,False
00000000000000000151,built_loss,0.2572199409406152,degraded,0.1643209555294352,0.2572199409406152,degraded,degraded,-0.09289898541117997,False
00000000000000000161,built_loss,0.6669426699012915,recovering,0.7540377787248473,0.6669426699012915,recovering,recovering,0.08709510882355587,False
0000000000000000016a,built_loss,0.2475365050003912,degraded,0.0502469071434678,0.2475365050003912,degraded,degraded,-0.1972895978569234,False
00000000000000000176,built_loss,0.6577268895390618,recovering,0.5006028040910563,0.6577268895390618,indistinguishable,recovering,-0.1571240854480055,True
000000000000000001a8,built_loss,0.5869390663134306,recovering,0.4658644837640325,0.5869390663134306,indistinguishable,recovering,-0.12107458254939812,True
000000000000000001be,built_loss,0.5139802074309038,indistinguishable,0.5844148937362947,0.5139802074309038,recovering,indistinguishable,0.07043468630539096,True
000000000000000001cd,built_loss,0.7599614133742899,recovering,0.6835539060739005,0.7599614133742899,recovering,recovering,-0.07640750730038937,False
000000000000000001e5,built_loss,0.5440990904736995,recovering,0.6646592934440602,0.5440990904736995,recovering,indistinguishable,0.12056020297036063,False
00000000000000000206,built_loss,0.7470837853266461,recovering,0.4258230934138856,0.7470837853266461,indistinguishable,recovering,-0.3212606919127605,True
00000000000000000209,built_loss,0.600126269845666,recovering,0.688692519407157,0.600126269845666,recovering,recovering,0.08856624956149106,False
00000000000000000231,built_loss,0.5079632442802016,indistinguishable,0.502321611988523,0.5079632442802016,indistinguishable,indistinguishable,-0.005641632291678578,False
0000000000000000024c,built_loss,0.7157987079804445,recovering,0.6632592635982184,0.7157987079804445,recovering,recovering,-0.05253944438222613,False
0000000000000000026d,built_loss,0.5813015845916578,recovering,0.6099095656070448,0.5813015845916578,recovering,recovering,0.028607981015386974,False
00000000000000000278,built_loss,0.7927442142022334,recovering,0.587380500729972,0.7927442142022334,indistinguishable,recovering,-0.20536371347226134,True
00000000000000000293,built_loss,0.499497522010921,indistinguishable,0.5027243879090834,0.499497522010921,indistinguishable,indistinguishable,0.0032268658981623455,False
000000000000000002a4,built_loss,0.4113313291342232,degraded,0.4333562213030799,0.4113313291342232,indistinguishable,degraded,0.02202489216885667,True
00000000000000000316,built_loss,0.1189497311010705,degraded,0.1210535939915515,0.1189497311010705,degraded,degraded,0.0021038628904809925,False
0000000000000000034d,built_loss,0.4127644319166293,degraded,0.5600078097890269,0.4127644319166293,indistinguishable,degraded,0.14724337787239755,True
00000000000000000356,built_loss,0.4757208579676072,indistinguishable,0.3634762804194012,0.4757208579676072,degraded,indistinguishable,-0.11224457754820599,True
00000000000000000362,built_loss,0.578149959672384,recovering,0.5818582305964286,0.578149959672384,indistinguishable,recovering,0.0037082709240445766,True
00000000000000000363,built_loss,0.2523768279986098,degraded,0.2554424098448962,0.2523768279986098,degraded,degraded,0.0030655818462864137,False
00000000000000000364,built_loss,0.6192298588967509,recovering,0.6767381180893309,0.6192298588967509,recovering,recovering,0.05750825919258007,False
00000000000000000375,built_loss,0.6636427916295601,recovering,0.5757091019003738,0.6636427916295601,indistinguishable,recovering,-0.08793368972918625,True
00000000000000000380,built_loss,0.4943172447382904,indistinguishable,0.5262682338384377,0.4943172447382904,recovering,indistinguishable,0.031950989100147265,True
00000000000000000384,built_loss,0.5942720153739336,recovering,0.6696496544041395,0.5942720153739336,recovering,recovering,0.07537763903020589,False
0000000000000000039e,built_loss,0.5119224468680891,indistinguishable,0.5133928727337365,0.5119224468680891,indistinguishable,indistinguishable,0.0014704258656473845,False
000000000000000003a1,built_loss,0.597156473421793,recovering,0.5434793784278694,0.597156473421793,indistinguishable,recovering,-0.05367709499392359,True
