size,median_ci_width,p90_ci_width,median_neff_min,mean_dor,median_dor_std,p90_dor_std
10,0.22504325007633694,0.39172929552566715,7.950395200818498,0.4757019800059314,0.05256253277276473,0.09481088436183342
20,0.15966012555510709,0.2964614937943582,13.229731666524726,0.47918510539889864,0.03629090645332189,0.06838898320574062
30,0.1317946827675707,0.2521988359321242,17.257229314030017,0.4822051183088402,0.028833048152430686,0.06157114639767911
50,0.10286955164391182,0.1952597498127593,22.627256930878907,0.48163751425368473,0.0203091667393651,0.043676163801559774
75,0.08521641587485793,0.16367110082723368,26.309996204803618,0.48080701567027595,0.01708871158996786,0.033845666037214436
100,0.0737783565622391,0.13672342308230181,28.498399135864048,0.48058583567823593,0.012313640366510819,0.025889286023452494
150,0.060270795260693344,0.113259886341541,31.129046442975177,0.48046938677237694,0.007348113277378977,0.015689745262244217
200,0.052879985138444524,0.10028240918755255,32.707995976564185,0.4811000364834154,0.0,0.0
