parent_id,parent_label_v1,applicable_v1,dor_median_v1,dor_median_ci_low_v1,dor_median_ci_high_v1,n_eff_min_v1,parent_label_v2,applicable_v2,dor_median_v2,dor_median_ci_low_v2,dor_median_ci_high_v2,n_eff_min_v2,dor_delta_v2_minus_v1,n_eff_min_delta_v2_minus_v1,category_v1,category_v2,category_changed
00000000000000000001,built_loss,True,0.4706867407616261,0.4063839019380479,0.5173367782040836,3.051880900306309,built_loss,True,0.4457660778568862,0.4217692843774445,0.4784522672487948,5.861247670445409,-0.024920662904739876,2.8093667701391,indistinguishable,degraded,True
00000000000000000011,crop_loss,True,0.3211165256704967,0.2384322064425415,0.4151436709287951,7.080049390419231,crop_loss,True,0.730354391026093,0.5025980660985244,0.8474615733089188,1.3257441993383745,0.4092378653555963,-5.7543051910808565,degraded,recovering,True
0000000000000000002b,crop_loss,True,0.1573219483022262,0.1107219643027015,0.2083672212279881,5.827711333482542,crop_loss,True,0.1751743266164742,0.1329922821589321,0.2414283591659508,1.4308948328822289,0.01785237831424799,-4.396816500600313,degraded,degraded,False
0000000000000000002d,crop_loss,True,0.4711545637979996,0.4318786761032954,0.5153382760127518,4.965861242425682,crop_loss,True,0.4824669151948398,0.4505139344180263,0.5218400215181154,2.689612978682966,0.011312351396840226,-2.2762482637427155,indistinguishable,indistinguishable,False
0000000000000000003a,crop_loss,True,0.3759444888694576,0.3185408412443395,0.4069024840158464,6.171197014516915,crop_loss,True,0.3053277522367648,0.260147331698719,0.3487000260929097,1.4860809458833943,-0.0706167366326928,-4.685116068633521,degraded,degraded,False
00000000000000000049,built_loss,True,0.0966234364249358,0.0684764111142682,0.150551854531313,1.0735909189619943,built_loss,True,0.4931784321263063,0.4710751277848942,0.5062313170734001,1.8367837076667397,0.3965549957013705,0.7631927887047454,degraded,indistinguishable,True
0000000000000000004a,built_loss,True,0.4542581874572043,0.436284149941775,0.4671332462005291,8.02975907914793,built_loss,True,0.4399635974690063,0.4246255725572515,0.4553978557994535,1.0725907529657952,-0.014294589988197992,-6.957168326182134,degraded,degraded,False
0000000000000000004f,built_loss,True,0.3347843652939558,0.2825903827211757,0.4909180429161309,5.580937789925945,built_loss,True,0.4338715639144099,0.3699159540722352,0.4914364488976445,3.596940951487859,0.09908719862045412,-1.9839968384380855,degraded,degraded,False
0000000000000000005a,built_loss,True,0.3667226847183818,0.3429126703869784,0.3843987084690894,4.176941754526285,built_loss,True,0.4341876403329874,0.4084048742687035,0.4614315875733328,1.2830163899690867,0.06746495561460558,-2.8939253645571985,degraded,degraded,False
00000000000000000079,built_loss,True,0.5735675459802546,0.5306345001409573,0.6094190519739253,7.562530238510735,built_loss,True,0.610284403541861,0.575208703469726,0.6560986029057196,1.7978572685631924,0.036716857561606364,-5.764672969947543,recovering,recovering,False
