strategy,parent_id,parent_label,n_good,n_bad,n_eff_good,n_eff_bad,n_eff_min,dor,ci_low,ci_high,ci_width
random_100,00000000000000000001,built_loss,100,100,4.896282819147796,2.088656582497664,2.088656582497664,0.4131729692943043,0.36953312959480183,0.4503654909601553,0.08083236136535349
random_100,00000000000000000049,built_loss,100,100,4.036348919895724,1.0368476804006412,1.0368476804006412,0.454692198118574,0.40257687116644075,0.47805965147264123,0.07548278030620048
random_100,0000000000000000004a,built_loss,100,100,5.07951026968501,4.357246126210911,4.357246126210911,0.44749070805464114,0.39555237130018867,0.5319573748271872,0.13640500352699853
random_100,0000000000000000004f,built_loss,100,100,5.4848114483581325,3.325038071247037,3.325038071247037,0.4358521307240228,0.392440484711641,0.4626279220822326,0.07018743737059158
random_100,0000000000000000005a,built_loss,100,100,3.817071482401347,2.4318742187506985,2.4318742187506985,0.3606162848780728,0.31892587156012847,0.38313936288970996,0.06421349132958148
random_100,00000000000000000079,built_loss,66,64,5.031452067189228,3.768212416834767,3.768212416834767,0.3942024811707779,0.345659826546812,0.4637834952946996,0.1181236687478876
random_100,00000000000000000085,built_loss,100,100,5.48801311268361,3.755773245384515,3.755773245384515,0.35818071524252304,0.32022753178485963,0.42504337071704973,0.1048158389321901
random_100,00000000000000000087,built_loss,100,100,3.6746267701396094,4.887226936946705,3.6746267701396094,0.5436063860512141,0.4983071134346023,0.6039311749288714,0.10562406149426906
random_100,000000000000000000a1,built_loss,100,100,4.424631986522282,2.9721200756876325,2.9721200756876325,0.47070830401414,0.4349143152982239,0.5101018361034965,0.07518752080527258
random_100,000000000000000000b8,built_loss,100,100,4.242688312671707,3.6388860775514837,3.6388860775514837,0.545671328589278,0.5061412282147575,0.565505304768163,0.059364076553405476
random_100,000000000000000000c0,built_loss,100,100,4.167781221409551,3.818868926928088,3.818868926928088,0.37747594582682925,0.34919197991545015,0.4130641964525152,0.06387221653706504
random_100,000000000000000000e2,built_loss,100,100,5.357968879218433,3.5133785766236563,3.5133785766236563,0.4259615946330105,0.3846581843694773,0.4606953338757503,0.076037149506273
random_100,000000000000000000f0,built_loss,100,100,3.5304622516889257,5.207660056017944,3.5304622516889257,0.483348406883337,0.4312862514251129,0.5476294622585752,0.11634321083346233
random_100,000000000000000000f8,built_loss,100,100,5.731771403964968,4.9139755135021845,4.9139755135021845,0.46990014340365904,0.4282870874767251,0.5135847635274521,0.08529767605072697
random_100,00000000000000000114,built_loss,100,100,4.23582493406256,3.353784984019657,3.353784984019657,0.4583166213401604,0.4078400686544955,0.5268388851663652,0.11899881651186972
