strategy,n_parents,median_ci_width,p90_ci_width,median_neff_min,p25_neff_min,min_neff10_coverage,min_neff20_coverage,min_neff30_coverage,pooled_auc
random_100,158,0.08828266227343354,0.14323100349071297,3.3945902292026107,2.5236644533435606,0.0,0.0,0.0,0.8826408491684552
random_60,158,0.11501911038191476,0.17372033671214535,3.3201881027625877,2.4865419685151915,0.0,0.0,0.0,0.8822337724926218
feature_diverse_60,158,0.11860812192274026,0.16341708857361023,3.5497251000633927,2.6866107167996844,0.0,0.0,0.0,0.857200633981846
random_40,158,0.13866124597800936,0.20934886194510674,3.234526011739,2.4127540567212744,0.0,0.0,0.0,0.8809274527232047
spatial_thin_150_cap60,158,0.16185938424254334,0.26365755900573484,4.003470854111355,3.121684488386477,0.0,0.0,0.0,0.8250784481685988
spatial_thin_300_cap60,158,0.23491577294043586,0.37550542596207453,4.412166566157422,3.4449803928176825,0.0,0.0,0.0,0.78972835464777
hybrid_300_diverse_60,158,0.23491577294043586,0.37550542596207453,4.412166566157422,3.4449803928176825,0.0,0.0,0.0,0.78972835464777
