parent_id,parent_label,dor,n_good,n_bad,n_blocks_good,n_blocks_bad,corr_range_m,ci_iid,ci_block,ci_ratio,lo_iid,hi_iid,lo_blk,hi_blk,cat_iid,cat_blk,category_changed
00000000000000000001,built_loss,0.5108616159496109,200,200,11,12,1482.142857142857,0.12179295496572606,0.11411395586937007,0.936950383554476,0.4423796192188538,0.5641725741845799,0.44985622665334574,0.5639701825227158,indistinguishable,indistinguishable,False
00000000000000000049,built_loss,0.07326746638347315,200,200,6,5,2475.4201680672268,0.100365017772049,0.6699687286092635,6.675321177453579,0.04868675435575738,0.14905177212780638,0.04806664298780666,0.7180353715970702,degraded,indistinguishable,True
0000000000000000004a,built_loss,0.3108728086602425,200,200,2,1,4586.134453781512,0.3314458634626771,0.3294177048271822,0.9938808751018752,0.12337801869131922,0.45482388215399633,0.12136177198602505,0.45077947681320724,degraded,degraded,False
0000000000000000004f,built_loss,0.4313575054908349,200,200,8,5,1978.781512605042,0.10858646438056796,0.2097204679961791,1.9313684186379083,0.37447767093321854,0.4830641353137865,0.34174660239306814,0.5514670703892472,degraded,indistinguishable,True
0000000000000000005a,built_loss,0.4679489390275692,200,200,1,2,5000.0,0.12394722597185448,0.12674225770963737,1.0225501758177111,0.41050427422829894,0.5344515002001534,0.4092728090746612,0.5360150667842986,indistinguishable,indistinguishable,False
00000000000000000079,built_loss,0.6515694312968434,164,158,4,3,3965.3361344537816,0.09742258388761504,0.17686449687581618,1.8154363169000312,0.5966175221449912,0.6940401060326062,0.5393661482272505,0.7162306451030667,recovering,recovering,False
00000000000000000085,built_loss,0.2127176677952619,200,200,1,1,5000.0,0.1256787052012156,0.12533318393875986,0.9972507573028975,0.15205772694719188,0.2777364321484075,0.15532267110817521,0.2806558550469351,degraded,degraded,False
00000000000000000087,built_loss,0.4075381276784844,200,200,2,1,4958.613445378152,0.22704597527238857,0.21854889783337245,0.9625755205357764,0.29033308726978035,0.5173790625421689,0.29072665640891787,0.5092755542422903,indistinguishable,indistinguishable,False
000000000000000000a1,built_loss,0.4038262903101153,200,200,3,1,5000.0,0.10181909310287662,0.10471646663260176,1.0284560924815709,0.3519988622648004,0.45381795536767705,0.3500460325885066,0.45476249922110834,degraded,degraded,False
000000000000000000b8,built_loss,0.32695665053112555,200,200,6,1,2516.806722689076,0.1480920848269623,0.1477726360984532,0.9978429047785886,0.25788516167049114,0.4059772464974534,0.25819887689821747,0.40597151299667067,degraded,degraded,False
000000000000000000c0,built_loss,0.6157936559908197,200,200,1,1,5000.0,0.11503740001305451,0.11320118952540004,0.9840381433564553,0.5490238493400721,0.6640612493531266,0.5529802805811683,0.6661814701065684,recovering,recovering,False
000000000000000000e2,built_loss,0.5658379057958295,200,200,3,2,3841.176470588235,0.22881425293106744,0.46446802922989094,2.029891159663977,0.41090220202225153,0.639716454953319,0.26762211718529905,0.73209014641519,indistinguishable,indistinguishable,False
000000000000000000f0,built_loss,0.6264119796210202,200,200,2,1,4793.0672268907565,0.27502699091972727,0.2683480172988735,0.9757152067201899,0.5098660616849979,0.7848930526047252,0.509033354168919,0.7773813714677925,recovering,recovering,False
000000000000000000f8,built_loss,0.5436741524159441,200,200,2,1,5000.0,0.12806245551188444,0.13126089169981742,1.0249755962834568,0.48110371407927055,0.609166169591155,0.4812281914687116,0.612489083168529,indistinguishable,indistinguishable,False
00000000000000000114,built_loss,0.553183976755982,200,200,1,2,3717.016806722689,0.1276005644614711,0.13092736999867155,1.0260720283741767,0.4951321860885985,0.6227327505500696,0.492437598650803,0.6233649686494745,recovering,recovering,False
0000000000000000011c,built_loss,0.6550095495076286,200,200,15,7,1233.8235294117646,0.17065255792232636,0.16059877087920738,0.94108622123499,0.5679155580181978,0.7385681159405242,0.5742740280957047,0.7348727989749121,recovering,recovering,False
00000000000000000151,built_loss,0.13586654735830234,200,200,1,6,5000.0,0.07942678729585197,0.08411331754582951,1.0590044040497444,0.11775057183507638,0.19717735913092835,0.11744030367387362,0.20155362121970313,degraded,degraded,False
00000000000000000161,built_loss,0.730003729923557,200,200,2,2,5000.0,0.1531343181391106,0.5628186854569154,3.6753269436680966,0.6332641685680971,0.7863984867072077,0.3158326530881147,0.8786513385450301,recovering,indistinguishable,True
0000000000000000016a,built_loss,0.06194793760496232,200,200,4,1,2765.126050420168,0.08266273983938294,0.08381368438810091,1.01392337770263,0.03862542586334329,0.12128816570272623,0.03850488710022106,0.12231857148832198,degraded,degraded,False
00000000000000000176,built_loss,0.48369104758407405,200,200,1,1,5000.0,0.18477614201291936,0.18293473216803052,0.9900343744336858,0.3854064199070143,0.5701825619199337,0.3849928020056392,0.5679275341736697,indistinguishable,indistinguishable,False
000000000000000001a8,built_loss,0.5107246849149326,200,200,6,6,2309.873949579832,0.2301724617657453,0.3347356078345753,1.4542817384264135,0.361258725241926,0.5914311870076713,0.3468785476404221,0.6816141554749974,indistinguishable,indistinguishable,False
000000000000000001be,built_loss,0.5625745313502809,200,200,2,3,5000.0,0.19285835216235064,0.5871048595751588,3.0442283312725102,0.48057847959780203,0.6734368317601527,0.22079995839649427,0.807904817971653,indistinguishable,indistinguishable,False
000000000000000001cd,built_loss,0.6308779927111339,200,200,1,2,5000.0,0.13123352428894375,0.12890143271275223,0.982229452505925,0.5839540767995443,0.715187601088488,0.5857107818043628,0.714612214517115,recovering,recovering,False
000000000000000001e5,built_loss,0.6665350307069369,200,200,6,5,2061.5546218487398,0.15241558929001153,0.42905572097804445,2.815038297438531,0.5894407976695127,0.7418563869595243,0.3827410726868087,0.8117967936648531,recovering,indistinguishable,True
00000000000000000206,built_loss,0.43323025067363424,200,200,2,2,3923.9495798319326,0.16806070865247946,0.5879451547197257,3.4984093512035277,0.3549480934697252,0.5230088021222047,0.1494147174236368,0.7373598721433625,indistinguishable,indistinguishable,False
00000000000000000209,built_loss,0.6025172724029323,200,200,7,6,2144.327731092437,0.20579039084124368,0.2628384782963866,1.2772145347600439,0.4875796963380929,0.6933700871793366,0.4457666184932849,0.7086050967896715,recovering,indistinguishable,True
