dataset,parent_id,ref_state,n,r_cos_spatial,selected_median_km,remaining_median_km
candidate,00000000000000000001,bad,100,-0.11343698668847679,2.716229708908608,3.2030409570382936
candidate,00000000000000000001,good,100,0.1687733170204614,0.83120882427345,2.160432253963677
candidate,00000000000000000011,bad,100,0.14374261806996094,2.283112920929101,2.487895383053526
candidate,00000000000000000011,good,100,0.004209504019125739,2.2070326546114463,2.0783142868475726
candidate,0000000000000000002b,bad,100,0.22348501917576555,1.2686495421315336,2.7403881588619803
candidate,0000000000000000002b,good,100,0.08058695828320857,1.7510840417359756,2.365956621929554
candidate,0000000000000000002d,bad,100,0.2917728024866427,1.7126514431529691,2.7441473390306075
candidate,0000000000000000002d,good,100,0.24897388307903065,2.468387399334775,2.2551296106927445
candidate,0000000000000000003a,bad,100,0.10051694132161394,0.5422190930066704,2.2481544610187925
candidate,0000000000000000003a,good,100,0.2236411103579423,2.707334267648084,2.069358343774149
candidate,00000000000000000049,bad,100,0.36139704501601516,0.039300181912371314,1.4844325135819805
candidate,00000000000000000049,good,100,-0.24758508686376812,3.49989661754073,2.4707556300052795
candidate,0000000000000000004a,bad,100,0.34991309961942935,0.30805743753854636,0.8671351769674569
candidate,0000000000000000004a,good,100,0.3421379546420331,2.0738992028944305,2.351605632337503
candidate,0000000000000000004f,bad,100,-0.2632037110932532,1.673899333877295,2.291116469847909
candidate,0000000000000000004f,good,100,-0.051340637296546046,2.0749007517014415,2.4799847946836038
candidate,0000000000000000005a,bad,100,0.195953886734337,1.3659253263464237,2.263021117540559
candidate,0000000000000000005a,good,100,0.06348964177000262,1.6328821654971142,2.3197362697668034
candidate,00000000000000000079,bad,100,-0.043169433804405376,2.60382556653393,2.4221995632042423
candidate,00000000000000000079,good,100,-0.15048106716886778,2.963933990261137,2.454612633571101
candidate,00000000000000000085,bad,100,0.34372491172245034,0.32509869830912913,1.0619480119711182
candidate,00000000000000000085,good,100,0.11605034688444645,1.8684282738615297,2.046481092321772
candidate,00000000000000000087,bad,100,0.25345620894242193,0.8318280885628053,2.0893222654412367
candidate,00000000000000000087,good,100,-0.04934121596263813,2.6354782585297523,2.664564123078436
candidate,0000000000000000009b,bad,100,0.2713809799870882,0.659627364191365,3.730330301991413
candidate,0000000000000000009b,good,100,0.27126463575218,1.262060068156426,2.165054540257163
candidate,0000000000000000009d,bad,100,-0.2858155961249752,0.7364815900086064,1.336933922665276
candidate,0000000000000000009d,good,100,-0.037032607684806595,2.9781244569932817,2.20503140397227
candidate,000000000000000000a1,bad,100,0.20488287506980885,1.3320282025391321,1.3548451184058774
candidate,000000000000000000a1,good,100,0.3752333049936489,1.5617911770039061,3.4122864869958103
candidate,000000000000000000a8,bad,100,0.2571131082168352,1.0527682843195891,1.6352005403720073
candidate,000000000000000000a8,good,100,0.28634618102272014,1.9067547836051189,3.1166331467635926
candidate,000000000000000000b8,bad,100,0.48884376201644053,0.45905487950073315,0.9258143395280682
candidate,000000000000000000b8,good,100,0.14556970643206132,2.113785945149889,2.5088705852559112
candidate,000000000000000000c0,bad,100,0.20642002475647106,1.604149530137348,2.313105196624039
candidate,000000000000000000c0,good,100,-0.2166186768076307,0.49771685858012965,2.4316104120745097
candidate,000000000000000000da,bad,100,0.08770283067231174,1.9371324398890675,2.528697598251741
candidate,000000000000000000da,good,100,0.23123162316207932,0.966404019508931,1.5667574003833697
candidate,000000000000000000e2,bad,100,0.18413554426489875,0.6597465966346598,1.8582332053491726
candidate,000000000000000000e2,good,100,0.1511855058539533,1.442233750615047,2.505700044695867
candidate,000000000000000000e3,bad,100,0.0995475907135337,2.3165683583913523,2.5463846391762437
