parent_id,lon,lat,country_iso3,vote_dw,vote_wc100,vote_wc200,vote_worldcereal,vote_vida,vote_msbuildings,n_nature,n_crop,n_built,stable_class
000000000000000000fb,112.44387582804454,-7.421386803989221,IDN,crop,crop,crop,unknown,unknown,unknown,0,3,0,crop
000000000000000000fe,75.64591735007134,54.47154812503328,RUS,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
0000000000000000010b,99.24241407568087,3.4495756067831684,IDN,unknown,crop,crop,unknown,unknown,unknown,0,2,0,crop
0000000000000000010e,-84.45120376501089,32.58050296632466,USA,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
00000000000000000119,75.2945862424522,16.38037496404162,IND,built,crop,crop,unknown,unknown,unknown,0,2,1,crop
00000000000000000127,101.18349374160634,13.414766716577844,THA,crop,crop,crop,unknown,unknown,unknown,0,3,0,crop
00000000000000000129,-62.95847160328087,-16.60621142646927,BOL,nature,crop,crop,unknown,unknown,unknown,1,2,0,crop
0000000000000000012b,128.41107067715538,37.60639731791656,KOR,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
00000000000000000135,31.812263735345645,30.493087740616126,EGY,crop,nature,crop,unknown,unknown,unknown,1,2,0,crop
0000000000000000013e,11.745696918683773,45.007437280720474,ITA,crop,unknown,crop,unknown,unknown,unknown,0,2,0,crop
00000000000000000150,-107.89094447354157,51.65146695359687,CAN,nature,crop,crop,unknown,unknown,unknown,1,2,0,crop
00000000000000000160,46.17363018256444,21.404113358951633,SAU,nature,nature,crop,unknown,unknown,unknown,2,1,0,nature
0000000000000000019a,-100.5443424169553,28.366955126162043,MEX,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
000000000000000001a3,-84.39694552185007,40.85461555376433,USA,built,crop,crop,unknown,unknown,unknown,0,2,1,crop
000000000000000001a5,125.87539612467121,47.244511832763315,CHN,crop,crop,crop,unknown,unknown,unknown,0,3,0,crop
000000000000000001bf,23.10570217013083,10.69637483530376,SDN,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
000000000000000001c6,29.315755729249084,-0.23396621574892937,COD,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
000000000000000001cc,-80.32820610548752,-4.122773080702338,ECU,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
000000000000000001e0,-66.3099960968024,10.2141591907884,VEN,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
000000000000000001fc,16.6906530631765,-11.471890420084144,AGO,built,built,built,unknown,unknown,unknown,0,0,3,built
00000000000000000211,36.09803612435147,-5.039683491203133,TZA,nature,nature,crop,unknown,unknown,unknown,2,1,0,nature
00000000000000000221,143.08406269643524,-6.6696765742380055,PNG,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
00000000000000000222,-16.109892231993232,14.673755587271353,SEN,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
0000000000000000022d,36.10118022784589,-13.48411665651187,MOZ,nature,built,built,unknown,unknown,unknown,1,0,2,built
