parent_id,parent_label,min_dist_m,n_good,n_bad,dor_knn
00000000000000000001,built_loss,0,200,200,0.5108616159496109
00000000000000000049,built_loss,0,200,200,0.07326746638347315
0000000000000000004a,built_loss,0,200,200,0.3108728086602425
0000000000000000004f,built_loss,0,200,200,0.4313575054908349
0000000000000000005a,built_loss,0,200,200,0.4679489390275692
00000000000000000079,built_loss,0,164,158,0.6515694312968434
00000000000000000085,built_loss,0,200,200,0.2127176677952619
00000000000000000087,built_loss,0,200,200,0.4075381276784844
000000000000000000a1,built_loss,0,200,200,0.4038262903101153
000000000000000000b8,built_loss,0,200,200,0.32695665053112555
000000000000000000c0,built_loss,0,200,200,0.6157936559908197
000000000000000000e2,built_loss,0,200,200,0.5658379057958295
000000000000000000f0,built_loss,0,200,200,0.6264119796210202
000000000000000000f8,built_loss,0,200,200,0.5436741524159441
00000000000000000114,built_loss,0,200,200,0.553183976755982
0000000000000000011c,built_loss,0,200,200,0.6550095495076286
00000000000000000151,built_loss,0,200,200,0.13586654735830234
00000000000000000161,built_loss,0,200,200,0.730003729923557
0000000000000000016a,built_loss,0,200,200,0.06194793760496232
00000000000000000176,built_loss,0,200,200,0.48369104758407405
000000000000000001a8,built_loss,0,200,200,0.5107246849149326
000000000000000001be,built_loss,0,200,200,0.5625745313502809
000000000000000001cd,built_loss,0,200,200,0.6308779927111339
000000000000000001e5,built_loss,0,200,200,0.6665350307069369
00000000000000000206,built_loss,0,200,200,0.43323025067363424
00000000000000000209,built_loss,0,200,200,0.6025172724029323
00000000000000000231,built_loss,0,200,200,0.5105630674638949
0000000000000000024c,built_loss,0,200,200,0.6407004451618222
0000000000000000026d,built_loss,0,200,200,0.6023220553379393
00000000000000000278,built_loss,0,172,172,0.6145871107144155
00000000000000000293,built_loss,0,200,200,0.4964642207673124
000000000000000002a4,built_loss,0,200,200,0.4785724571911289
00000000000000000316,built_loss,0,200,200,0.14920599375457552
0000000000000000034d,built_loss,0,200,200,0.5732511107609733
00000000000000000356,built_loss,0,200,200,0.41763883846026373
00000000000000000362,built_loss,0,200,200,0.4549024471295339
00000000000000000363,built_loss,0,198,195,0.3065274313925424
00000000000000000364,built_loss,0,161,187,0.6766876899163271
00000000000000000375,built_loss,0,200,200,0.42041520322888937
00000000000000000380,built_loss,0,200,200,0.534146097838248
00000000000000000384,built_loss,0,200,200,0.6345323424700211
0000000000000000039e,built_loss,0,200,200,0.44312496365663057
000000000000000003a1,built_loss,0,200,200,0.42451205362911
000000000000000003a5,built_loss,0,195,191,0.41813722461377845
000000000000000003b7,built_loss,0,200,200,0.5234890216380336
000000000000000003bf,built_loss,0,200,200,0.5955800395381331
000000000000000003d2,built_loss,0,200,200,0.523558816495584
000000000000000003f8,built_loss,0,200,200,0.36152185432573675
000000000000000003fa,built_loss,0,200,200,0.4159665871632022
