strategy,n_parents,median_ci_width,p90_ci_width,median_neff_min,p25_neff_min,min_neff10_coverage,min_neff20_coverage,min_neff30_coverage,pooled_auc
random_100,158,0.0887195525347282,0.1448929367708154,6.191455812710406,4.23288226479909,0.012658227848101266,0.0,0.0,0.8826408491684552
fscs_100,158,0.0887195525347282,0.1448929367708154,6.191455812710406,4.23288226479909,0.012658227848101266,0.0,0.0,0.8826408491684552
random_60,158,0.1167561810655594,0.17538565864838077,6.070931963332682,4.144919960033311,0.0,0.0,0.0,0.879019894949782
feature_diverse_60,158,0.1184374907955244,0.16607827955372362,6.501469637319523,4.683707112879247,0.04430379746835443,0.0,0.0,0.8574402333862183
fscs_60,158,0.12014010485540594,0.1694015980743981,6.034264326789488,4.275622259418381,0.006329113924050633,0.0,0.0,0.8779516847345571
random_40,158,0.13945257891613075,0.20929083080239413,5.6633969789606216,4.05956417300419,0.0,0.0,0.0,0.8741934338635691
spatial_thin_150_cap60,158,0.1609408234528728,0.241272164074874,8.144332778178558,6.101626750223658,0.20253164556962025,0.0,0.0,0.8216084874165691
spatial_thin_300_cap60,158,0.23465445051167844,0.33016384266154425,8.369663572978808,6.359911858701688,0.24050632911392406,0.0,0.0,0.7844456721915285
hybrid_300_diverse_60,158,0.23465445051167844,0.33016384266154425,8.369663572978808,6.359911858701688,0.24050632911392406,0.0,0.0,0.7844456721915285
