strategy,n_parents,median_ci_width,p90_ci_width,median_neff_min,p25_neff_min,min_neff10_coverage,min_neff20_coverage,min_neff30_coverage,pooled_auc
random_200,158,0.0629668297887504,0.08384744552092148,32.70799597656418,17.43826778759881,0.8481012658227848,0.7025316455696202,0.5759493670886076,0.9102017100831705
fscs_200,158,0.0629668297887504,0.08384744552092148,32.70799597656418,17.43826778759881,0.8481012658227848,0.7025316455696202,0.5759493670886076,0.9102017100831705
fscs_150,158,0.07092742405500538,0.09875764319800376,31.670895711290093,16.84873253689568,0.8481012658227848,0.689873417721519,0.5632911392405063,0.9091525859378674
random_150,158,0.07102544306159453,0.09545469023008779,31.014591019961415,16.70107178331719,0.8481012658227848,0.6772151898734177,0.5253164556962026,0.908285831135279
feature_diverse_150,158,0.0715031127536799,0.09850027445015617,33.06733637533446,18.977547436491918,0.8607594936708861,0.7215189873417721,0.5822784810126582,0.9005366245010737
spatial_thin_100_cap150,158,0.07387944489778625,0.11592911407108501,37.78146464149134,21.12490468511146,0.9240506329113924,0.7658227848101266,0.6392405063291139,0.8923414120451588
hybrid_150_diverse_150,158,0.07917144112617508,0.12655105329686187,39.78644499460841,23.093728789945033,0.930379746835443,0.7974683544303798,0.6582278481012658,0.8850139648026975
spatial_thin_150_cap150,158,0.08236667829933933,0.12766555636094262,39.8785299853203,22.2426925886492,0.9367088607594937,0.7974683544303798,0.6582278481012658,0.884486140083752
feature_diverse_100,158,0.08394300353163214,0.11047700032039065,31.38866893865905,19.11354674780286,0.8670886075949367,0.7278481012658228,0.5443037974683544,0.883278765422208
random_100,158,0.08444817329652027,0.11960822238269331,28.656108002739586,16.415419370310243,0.8354430379746836,0.6835443037974683,0.45569620253164556,0.9083628665278001
fscs_100,158,0.08722667279908228,0.11646707176108077,28.97499695230402,16.27057747478591,0.8417721518987342,0.6772151898734177,0.4936708860759494,0.9078238703733376
spatial_thin_100_cap100,158,0.08921888582849405,0.12867155612860956,33.86640405053497,19.918585883812316,0.9177215189873418,0.7468354430379747,0.5949367088607594,0.8958081802526902
spatial_thin_150_cap100,158,0.09177353968496388,0.13253863662021068,38.049022173492745,22.363154679686325,0.930379746835443,0.7911392405063291,0.6645569620253164,0.8885022209382358
hybrid_150_diverse_100,158,0.09268387679532555,0.12843818226910234,38.97364179397859,23.149829836811616,0.9240506329113924,0.7974683544303798,0.6518987341772152,0.8726603879698135
spatial_thin_250_cap150,158,0.09751205628091714,0.14932210941332544,42.47339788155973,25.088534022170066,0.9430379746835443,0.8227848101265823,0.6708860759493671,0.8719221812733811
spatial_thin_250_cap100,158,0.09957704255497302,0.15160773827820367,42.743878558120464,24.931532650640385,0.9430379746835443,0.8164556962025317,0.6708860759493671,0.8742813592257844
hybrid_300_diverse_150,158,0.10429860554177742,0.1600420934962754,41.65325593804182,24.481893416829195,0.9430379746835443,0.8164556962025317,0.6835443037974683,0.8698258261812597
spatial_thin_300_cap150,158,0.10429860554177742,0.1600420934962754,41.65325593804182,24.481893416829195,0.9430379746835443,0.8164556962025317,0.6835443037974683,0.8698258261812597
hybrid_300_diverse_100,158,0.10473833732203244,0.15393540635410197,41.8004192900716,24.559363653104597,0.9430379746835443,0.8291139240506329,0.6645569620253164,0.8671897953156857
spatial_thin_300_cap100,158,0.10705791517544577,0.16235636686881708,42.185869833185876,24.374285235027365,0.9430379746835443,0.8164556962025317,0.6708860759493671,0.8681424165258839
feature_diverse_60,158,0.10828854382145228,0.14003949577299496,25.91655878190626,17.715772196864705,0.8734177215189873,0.6772151898734177,0.3987341772151899,0.8589209461624739
fscs_60,158,0.10951152019762336,0.1670986042252143,25.08574490364867,14.962410055793956,0.8227848101265823,0.6582278481012658,0.3291139240506329,0.9027099801491926
random_60,158,0.10971913330884081,0.1519905863728249,23.78867265831942,14.288776173327786,0.8227848101265823,0.6139240506329114,0.3291139240506329,0.907212007513041
spatial_thin_100_cap60,158,0.11057395027123476,0.15484464354156793,27.72979248243601,18.205787399440766,0.9177215189873418,0.6962025316455697,0.4240506329113924,0.8963105172509322
spatial_thin_150_cap60,158,0.11384525636477585,0.16197137274964035,29.98160381445203,21.094073175988616,0.9367088607594937,0.7721518987341772,0.5,0.8946100944094666
spatial_thin_300_cap60,158,0.12202575479814229,0.18212914574238553,41.46404235214365,24.518796957403175,0.9430379746835443,0.8164556962025317,0.6835443037974683,0.8724066786382914
spatial_thin_250_cap60,158,0.12350204492308214,0.1732530029147257,37.54719018013341,25.175582053140293,0.9430379746835443,0.8164556962025317,0.6708860759493671,0.881014159174769
random_40,158,0.13299017270100194,0.18504511804869878,20.21601049099112,13.235129360313802,0.8164556962025317,0.5063291139240507,0.0189873417721519,0.9064211965229931
