strategy,parent_id,parent_label,n_good,n_bad,n_eff_good,n_eff_bad,n_eff_min,dor,ci_low,ci_high,ci_width
random_40,00000000000000000085,built_loss,40,40,37.31523635690072,23.42990467852548,23.42990467852548,0.4158467295456255,0.3184854691215618,0.5064798516377804,0.18799438251621864
random_40,00000000000000000114,built_loss,40,40,29.011927813630233,29.8789045102297,29.011927813630233,0.4656003289362361,0.40196036782332073,0.5211039082646213,0.11914354044130054
random_40,0000000000000000024c,built_loss,40,40,37.879518157389285,27.914081351946074,27.914081351946074,0.5240428952259346,0.44144986318419466,0.6332039142143299,0.1917540510301352
random_40,00000000000000000375,built_loss,40,40,33.21627836426272,30.329958727804442,30.329958727804442,0.4106719195548258,0.37741272650441776,0.4694811361865713,0.09206840968215352
random_40,000000000000000004d2,built_loss,40,40,34.417691152808246,27.70072626097089,27.70072626097089,0.4532576188617708,0.40898199202783886,0.5099479697805109,0.10096597775267208
random_40,000000000000000005bd,built_loss,40,40,35.506317157496284,8.882665445190582,8.882665445190582,0.31730050910527635,0.2560932942085751,0.4379175831674686,0.18182428895889352
random_40,00000000000000000281,crop_loss,40,40,33.24649947508607,38.80805036442615,33.24649947508607,0.5831881092232822,0.4788859803750066,0.6670181758623468,0.18813219548734017
random_40,000000000000000003a2,crop_loss,40,40,32.40177144652921,34.46299800187119,32.40177144652921,0.3310748490579866,0.2647804066456973,0.4531122473082818,0.18833184066258452
random_40,00000000000000000001,built_loss,40,40,37.185869622071436,24.582088367185975,24.582088367185975,0.45395358949722214,0.39596632012884386,0.5214193199677408,0.12545299983889696
random_40,00000000000000000049,built_loss,40,40,33.63762103173718,5.534095960561777,5.534095960561777,0.5377032137552511,0.4694331712671186,0.5910674747327821,0.1216343034656635
random_40,0000000000000000004f,built_loss,40,40,35.65786256956005,30.4857716430674,30.4857716430674,0.4255835891184796,0.35547319145811673,0.47212739266148485,0.11665420120336811
random_40,0000000000000000005a,built_loss,40,40,37.384452341630954,29.88631495913237,29.88631495913237,0.37289493448950106,0.3348580456721898,0.41219153467249225,0.07733348900030246
random_40,00000000000000000079,built_loss,40,40,34.75631375516019,39.52123254505896,34.75631375516019,0.44868158933402946,0.38205964495101846,0.49588784073348785,0.11382819578246939
random_40,00000000000000000087,built_loss,40,40,37.5827208612211,36.41448343547548,36.41448343547548,0.5663280867604051,0.5159510838800686,0.6639181636637238,0.1479670797836552
random_40,000000000000000000a1,built_loss,40,40,34.8087057094099,13.36418856733929,13.36418856733929,0.4388464506558005,0.3569513373306416,0.4839304627550142,0.12697912542437262
random_40,000000000000000000b8,built_loss,40,40,37.62403468454282,20.188929516686528,20.188929516686528,0.5827506184120934,0.5452139967005323,0.6392743228775833,0.09406032617705107
random_40,000000000000000000c0,built_loss,40,40,33.87497554094881,35.728773800756095,33.87497554094881,0.3986530091912063,0.33822230608565723,0.46378500749496,0.12556270140930276
random_40,000000000000000000e2,built_loss,40,40,37.70700337795141,22.120884282745685,22.120884282745685,0.4447248444736661,0.3992880079217795,0.49761327453795273,0.09832526661617325
random_40,000000000000000000f0,built_loss,40,40,36.27462230408554,31.000987117247668,31.000987117247668,0.5173137347204655,0.4590615505381753,0.5526662761940625,0.09360472565588718
random_40,000000000000000000f8,built_loss,40,40,36.33431685129539,32.39126049387148,32.39126049387148,0.5084661342050428,0.42027831474402827,0.5657308964726193,0.14545258172859105
random_40,0000000000000000011c,built_loss,40,40,38.69555467458916,13.96445141195451,13.96445141195451,0.5180793372940558,0.4552858908334633,0.5830595569142543,0.12777366608079094
random_40,00000000000000000161,built_loss,40,40,32.4402269189957,29.58625620328282,29.58625620328282,0.48735188077754843,0.4405901568382227,0.5370030000931105,0.0964128432548878
random_40,0000000000000000016a,built_loss,40,40,37.057551100061566,13.04881146464562,13.04881146464562,0.40039029803375903,0.33934674405429505,0.4985169223277881,0.15917017827349306
random_40,00000000000000000176,built_loss,40,40,36.05086167719981,32.07529974557641,32.07529974557641,0.6251012273020091,0.5774421513860885,0.6723948661955402,0.09495271480945178
random_40,000000000000000001a8,built_loss,40,40,36.595274925300835,38.22218231300718,36.595274925300835,0.3601597877402019,0.32114542949990227,0.43296025075849975,0.11181482125859749
random_40,000000000000000001cd,built_loss,40,40,32.94052283846638,32.549558463668525,32.549558463668525,0.6133254200635073,0.49260767202266137,0.6833824854540322,0.19077481343137087
random_40,000000000000000001e5,built_loss,40,40,35.482145559214814,23.573501643637584,23.573501643637584,0.5312268118264619,0.48235717855101334,0.5785540503938478,0.09619687184283443
random_40,00000000000000000209,built_loss,40,40,34.548630993733546,33.02878433717202,33.02878433717202,0.4338108075036228,0.38762414379776944,0.4990729772936242,0.11144883349585477
random_40,00000000000000000231,built_loss,40,40,36.75617582817017,39.2906544805684,36.75617582817017,0.4519948152372031,0.3855367161740993,0.5072730191115573,0.12173630293745802
random_40,0000000000000000026d,built_loss,40,40,35.29503897213971,30.878417043338356,30.878417043338356,0.4395307329569428,0.3920289847385035,0.48908110242491826,0.09705211768641475
random_40,00000000000000000278,built_loss,40,40,30.544185448392927,36.96224339857246,30.544185448392927,0.5715813267000384,0.469138223980331,0.6567927356158163,0.1876545116354853
random_40,00000000000000000293,built_loss,40,40,28.54359777715544,30.179321433666264,28.54359777715544,0.5217517053845103,0.4583053459079062,0.5892739637794175,0.13096861787151132
random_40,00000000000000000316,built_loss,40,40,38.218179071280126,4.0736484336243155,4.0736484336243155,0.43804972018642635,0.41394125494539835,0.4847886070040017,0.07084735205860337
random_40,00000000000000000356,built_loss,40,40,33.33522799141838,36.22311316611008,33.33522799141838,0.48209947344980303,0.3966248302245285,0.5572518403679368,0.16062701014340836
random_40,00000000000000000362,built_loss,40,40,37.481926407515225,33.53992957005632,33.53992957005632,0.5467803347200823,0.4794870573223959,0.6312254437533698,0.15173838643097387
random_40,00000000000000000363,built_loss,40,40,36.710091079744195,27.80505096208093,27.80505096208093,0.3826191599112985,0.32017466935597433,0.4453199821225089,0.12514531276653457
random_40,00000000000000000364,built_loss,40,40,36.66503162757833,36.356178697153894,36.356178697153894,0.3943308625835652,0.3408236785027205,0.4799749938820852,0.1391513153793647
random_40,00000000000000000380,built_loss,40,40,34.599541250242794,31.057973728933614,31.057973728933614,0.36985672067342296,0.3235933584495407,0.4701955248555395,0.14660216640599882
random_40,00000000000000000384,built_loss,40,40,35.94410252633348,27.27379120405397,27.27379120405397,0.35532326560579863,0.3144239321496676,0.39428471914442154,0.07986078699475396
random_40,0000000000000000039e,built_loss,40,40,39.21499608456592,11.989306427647692,11.989306427647692,0.38316841224430226,0.33962861357224094,0.4159611522752148,0.07633253870297385
random_40,000000000000000003a1,built_loss,40,40,35.06346679921835,26.843462699353402,26.843462699353402,0.46624589080864154,0.4111239672601479,0.529204298078207,0.11808033081805913
random_40,000000000000000003a5,built_loss,40,40,36.44852411270202,31.72929529386214,31.72929529386214,0.3208587353187022,0.23460103507389798,0.42265912810490813,0.18805809303101015
random_40,000000000000000003b7,built_loss,40,40,38.40707892238949,24.45157806815472,24.45157806815472,0.4288072278209846,0.38231043351332067,0.521416039196938,0.13910560568361735
random_40,000000000000000003bf,built_loss,40,40,38.06126684831711,34.51725881657534,34.51725881657534,0.4173533890230505,0.34274472922659077,0.4978886386184285,0.15514390939183775
random_40,000000000000000003d2,built_loss,40,40,34.52150144505207,37.31256047759773,34.52150144505207,0.5159799794551836,0.43436666708999183,0.5790099143306653,0.14464324724067346
random_40,000000000000000003f8,built_loss,40,40,37.068517951263104,12.096033434321503,12.096033434321503,0.4021079663620675,0.3403158346089297,0.44221958800889405,0.10190375339996433
random_40,000000000000000003fa,built_loss,40,40,33.19227455227134,29.15469603871872,29.15469603871872,0.5619924206814647,0.46514044505268826,0.6096626107430406,0.14452216569035237
random_40,00000000000000000407,built_loss,40,40,36.831102221624015,38.20035045459115,36.831102221624015,0.490705837527353,0.42931146335361137,0.541772128694263,0.11246066534065169
random_40,0000000000000000040f,built_loss,40,40,33.9665564838968,35.362212409809004,33.9665564838968,0.3581095741760325,0.2960769301689473,0.4173194885182742,0.1212425583493269
random_40,00000000000000000426,built_loss,40,40,33.470334936946344,31.526734196900644,31.526734196900644,0.38001583959838126,0.33133494047706125,0.45789106629807924,0.126556125821018
random_40,0000000000000000042b,built_loss,40,40,35.85567034127634,31.57745829773841,31.57745829773841,0.4184236446114816,0.30466301138290924,0.4901717545249218,0.18550874314201254
random_40,00000000000000000442,built_loss,40,40,36.507608670904176,10.814519192926353,10.814519192926353,0.2705003653583989,0.2242235081537564,0.314681040091566,0.09045753193780959
random_40,00000000000000000465,built_loss,40,40,34.43357520591651,39.46233677881653,34.43357520591651,0.5175358482173412,0.46709313565149646,0.5898127420144542,0.12271960636295776
random_40,0000000000000000047e,built_loss,40,40,34.22385246845318,26.961493517675276,26.961493517675276,0.5635286722229871,0.48869549597742384,0.6106723719016068,0.12197687592418299
random_40,00000000000000000490,built_loss,40,40,37.402758337203224,37.999441946704835,37.402758337203224,0.43485960057673967,0.3745602863359295,0.49993798356330144,0.1253776972273719
random_40,000000000000000004c0,built_loss,40,40,34.6918095897031,34.715192995054025,34.6918095897031,0.4813460865229688,0.41322931202169677,0.5270624663410706,0.1138331543193738
random_40,000000000000000004c5,built_loss,40,40,37.65818487393891,19.150493901668344,19.150493901668344,0.48814937582781615,0.3983707598530315,0.5864284418122346,0.18805768195920314
random_40,000000000000000004d9,built_loss,40,40,32.10903608533083,36.096555085490174,32.10903608533083,0.4755985510740635,0.37400861585236816,0.5556428284395317,0.18163421258716356
random_40,000000000000000004eb,built_loss,40,40,36.23553445202266,36.053391870581216,36.053391870581216,0.3222767790504242,0.29422841209945905,0.4331744585566414,0.13894604645718234
random_40,000000000000000004f7,built_loss,40,40,34.25705809214323,19.299790796819014,19.299790796819014,0.46688382800240685,0.412840288355772,0.5348364351753749,0.12199614681960291
random_40,000000000000000004fe,built_loss,40,40,36.17026072289476,21.92159988373777,21.92159988373777,0.460284370823258,0.35139285023472716,0.5164559626802712,0.165063112445544
random_40,0000000000000000051d,built_loss,40,40,35.88567009726405,23.341812469680157,23.341812469680157,0.4429873782967442,0.3818697043647458,0.5167637323454815,0.13489402798073563
random_40,00000000000000000559,built_loss,40,40,39.27024040397105,34.60517567898165,34.60517567898165,0.43578005993948526,0.37072440447468563,0.5062822384702539,0.13555783399556826
random_40,00000000000000000576,built_loss,40,40,37.53987583851143,17.98795666568197,17.98795666568197,0.45038670203443865,0.37641131261557936,0.4983226921271872,0.12191137951160785
random_40,00000000000000000577,built_loss,40,40,37.25796819959319,19.580929655485832,19.580929655485832,0.4881884345214657,0.42234718884580164,0.5608490619207968,0.13850187307499512
random_40,0000000000000000057f,built_loss,40,40,36.849367841006355,5.166347003840162,5.166347003840162,0.27454026521647534,0.2353803015428321,0.3132520734257368,0.0778717718829047
random_40,00000000000000000594,built_loss,40,40,37.79688532693719,22.251319328184536,22.251319328184536,0.3961000922221292,0.3035584987560369,0.47047428942752173,0.16691579067148482
random_40,000000000000000005ad,built_loss,40,40,38.06216221732059,36.04230622157682,36.04230622157682,0.45262638232675634,0.3965214519875708,0.5231513718871658,0.12662991989959493
random_40,000000000000000005bf,built_loss,40,40,35.54364187790245,27.51610016220791,27.51610016220791,0.43757468682031053,0.37164940224682835,0.49244412107945057,0.12079471883262222
random_40,000000000000000005cc,built_loss,40,40,32.04875839582367,21.70854979242947,21.70854979242947,0.39927142560155804,0.352090114450095,0.4565130977906818,0.10442298334058675
random_40,000000000000000005de,built_loss,40,40,38.6914784892228,26.174924318564393,26.174924318564393,0.5046330226221272,0.461028739003394,0.5832414100881581,0.12221267108476414
random_40,000000000000000005e7,built_loss,40,40,35.35122994170928,35.005544422905146,35.005544422905146,0.49213155021196664,0.42251262144815976,0.565265189798063,0.14275256834990319
random_40,000000000000000005f9,built_loss,40,40,34.34676966537989,23.1377506019845,23.1377506019845,0.47546118959455297,0.43648412695553296,0.5562190437252477,0.1197349167697147
random_40,0000000000000000061c,built_loss,40,40,35.8259728617421,26.533729030246896,26.533729030246896,0.4203203357229386,0.37372300967400546,0.4901813606745764,0.11645835100057095
random_40,00000000000000000624,built_loss,40,40,28.629694055514705,10.825561549840401,10.825561549840401,0.48469926895278237,0.42495697930818455,0.53854921379347,0.11359223448528544
random_40,00000000000000000626,built_loss,40,40,35.600803423279096,30.23687129973763,30.23687129973763,0.45330715694738155,0.41370895390861384,0.5049274607051819,0.09121850679656807
random_40,0000000000000000062a,built_loss,40,40,32.437800735043425,31.839059106205166,31.839059106205166,0.5351169812309108,0.4649432805823397,0.5952346578987459,0.13029137731640617
random_40,00000000000000000636,built_loss,40,40,35.22875848541067,24.536822488711323,24.536822488711323,0.4870427351143805,0.39903715134551965,0.5865466589107635,0.18750950756524387
random_40,0000000000000000064a,built_loss,40,40,34.88496162717594,9.630615132677622,9.630615132677622,0.3859110616480879,0.2894886430561858,0.48113439064251695,0.19164574758633113
random_40,0000000000000000064d,built_loss,40,40,35.739232071745576,20.279683834252722,20.279683834252722,0.42807187693058685,0.3588918854773705,0.49278698942373544,0.13389510394636495
random_40,00000000000000000694,built_loss,40,40,36.86567069965017,29.8467818852376,29.8467818852376,0.4884339114089682,0.4517320324568971,0.5242555744736022,0.07252354201670508
random_40,0000000000000000069d,built_loss,40,40,34.13165466763391,35.295090685487146,34.13165466763391,0.4438010349743585,0.3844821812468002,0.4969868120228478,0.11250463077604755
random_40,000000000000000006b7,built_loss,40,40,32.51262676781595,30.993131746161573,30.993131746161573,0.4098566006642101,0.33638350874005385,0.48235430291565123,0.14597079417559738
random_40,000000000000000006df,built_loss,40,40,36.58011772608558,20.55635992766498,20.55635992766498,0.40803218519190193,0.32009153351696334,0.48125004157408524,0.1611585080571219
random_40,000000000000000006e3,built_loss,40,40,35.06748382133919,29.883894421814084,29.883894421814084,0.49192090592198096,0.42798294044714474,0.5598710637140925,0.1318881232669477
random_40,00000000000000000011,crop_loss,40,40,33.99060091242612,35.890301916537126,33.99060091242612,0.5649814398144457,0.43667898312325626,0.7506800423927869,0.3140010592695306
random_40,0000000000000000002b,crop_loss,40,40,35.171399141079576,37.79515604491238,35.171399141079576,0.42530808013713345,0.3469043579948716,0.49424867823562796,0.14734432024075633
random_40,0000000000000000002d,crop_loss,40,40,33.159189817324766,36.7532524642908,33.159189817324766,0.37698820852017506,0.2719728531536075,0.4481360632833244,0.17616321012971692
random_40,0000000000000000003a,crop_loss,40,40,33.828897888708255,36.27490278654927,33.828897888708255,0.46154340296057844,0.3638699710343384,0.5310571101829782,0.1671871391486398
random_40,0000000000000000009b,crop_loss,40,40,33.778438629915065,23.985700353328706,23.985700353328706,0.3572424914130687,0.2820526073463937,0.45491642462175186,0.17286381727535816
random_40,0000000000000000009d,crop_loss,40,40,38.198115579225075,9.97218818503772,9.97218818503772,0.36967778845505206,0.33619108716122753,0.42757578166613686,0.09138469450490933
random_40,000000000000000000a8,crop_loss,40,40,36.162046231549894,28.505364681108098,28.505364681108098,0.4310307244960431,0.37207785672049454,0.4658660207874,0.09378816406690549
random_40,000000000000000000da,crop_loss,40,40,30.271521120438955,37.723181705187265,30.271521120438955,0.5024620599289911,0.41188701645463743,0.590324230704166,0.17843721424952852
random_40,000000000000000000e3,crop_loss,40,40,39.39047668285149,37.19418542880102,37.19418542880102,0.4680531771052981,0.4361627545916194,0.5368015992560461,0.10063884466442669
random_40,000000000000000000e9,crop_loss,40,40,35.083350975682954,10.445583718394099,10.445583718394099,0.32771364803031305,0.2751766749279887,0.4394383699690432,0.16426169504105448
random_40,0000000000000000011b,crop_loss,40,40,37.10005781280478,28.458953298100212,28.458953298100212,0.45714857449776947,0.4040993284096482,0.5023315577311542,0.09823222932150605
random_40,00000000000000000128,crop_loss,40,40,36.10134068820682,31.103261717491133,31.103261717491133,0.5031735784083601,0.43935091137450755,0.5607640560355286,0.12141314466102104
random_40,00000000000000000192,crop_loss,40,40,37.19391261630403,35.15949977801272,35.15949977801272,0.36878492168865795,0.3264280955481354,0.43152312178442515,0.10509502623628975
random_40,00000000000000000196,crop_loss,40,40,35.53096443119505,23.167103191715455,23.167103191715455,0.5193255286654365,0.392523787600245,0.5545870749641856,0.1620632873639406
random_40,000000000000000001a6,crop_loss,40,40,36.21864812431335,33.49212397200239,33.49212397200239,0.2734765965488018,0.20527935781715712,0.33638329486353635,0.13110393704637924
random_40,000000000000000001e4,crop_loss,40,40,34.05950156671763,39.08880043665666,34.05950156671763,0.37485101935015147,0.3046550239877179,0.40527672737806325,0.10062170339034537
random_40,000000000000000001f9,crop_loss,40,40,33.8508060152876,36.06122583899536,33.8508060152876,0.553956906566144,0.48390565664994745,0.5969197954426491,0.11301413879270161
random_40,00000000000000000228,crop_loss,40,40,35.06556476021328,30.5326944777425,30.5326944777425,0.4933791558027419,0.3871155272071531,0.6117869778277747,0.2246714506206216
random_40,0000000000000000028c,crop_loss,40,40,35.47927108555801,8.349163133844447,8.349163133844447,0.3608194545670024,0.28042161300010937,0.4017489789991987,0.12132736599908933
random_40,0000000000000000028d,crop_loss,40,40,35.32379919505861,29.00071307971863,29.00071307971863,0.5024724495726859,0.3911096557569929,0.6038531038921852,0.21274344813519225
random_40,00000000000000000291,crop_loss,40,40,37.50132074551468,21.87186060593208,21.87186060593208,0.5622026470846647,0.5342595039431411,0.6126780084646567,0.07841850452151555
random_40,000000000000000002c5,crop_loss,40,40,36.761100723962606,25.942072597428947,25.942072597428947,0.4526376333325198,0.3750572957171912,0.5031382391289867,0.1280809434117955
random_40,000000000000000002dc,crop_loss,40,40,30.275092610628143,32.68566253937446,30.275092610628143,0.42488210219196443,0.36484567479093627,0.4780550785885146,0.11320940379757832
random_40,000000000000000002e4,crop_loss,40,40,34.292327504504804,35.64170802603494,34.292327504504804,0.46360225207079087,0.35763054716814446,0.5165906223269797,0.15896007515883526
random_40,000000000000000002ec,crop_loss,40,40,35.51224563348039,37.161113647413494,35.51224563348039,0.41399626511123133,0.34440286665102393,0.5251859667812133,0.1807831001301894
random_40,00000000000000000314,crop_loss,40,40,38.61685217515614,30.851874665029253,30.851874665029253,0.3353587668154714,0.3001544652403591,0.3755081334434123,0.07535366820305317
random_40,00000000000000000335,crop_loss,40,40,37.08128956559843,38.837818599978405,37.08128956559843,0.4914800145514992,0.427950602622925,0.5511851073572378,0.1232345047343128
random_40,0000000000000000033a,crop_loss,40,40,26.941101626766955,34.144821624226914,26.941101626766955,0.3790122658122801,0.3004744930919413,0.4376924843336348,0.13721799124169348
random_40,000000000000000003b0,crop_loss,40,40,36.65858994706275,37.41442372578911,36.65858994706275,0.46479986646716775,0.36339542803269553,0.5112357216959648,0.14784029366326923
random_40,000000000000000003c8,crop_loss,40,40,34.833818620964955,36.12761882603847,34.833818620964955,0.4456808955436177,0.3831635464792534,0.4998630998808855,0.11669955340163213
random_40,000000000000000003f1,crop_loss,40,40,37.652300463689535,39.20517767330301,37.652300463689535,0.4682111851761884,0.3637229812250548,0.5456049770087346,0.18188199578367975
random_40,000000000000000003f2,crop_loss,40,40,35.34694586535711,29.763502730375084,29.763502730375084,0.5468109018434535,0.47572640763816737,0.5885251881249995,0.11279878048683217
random_40,0000000000000000044b,crop_loss,40,40,35.4770762243606,21.343737525864793,21.343737525864793,0.4725936136779922,0.41966726511053953,0.5238326655098426,0.10416540039930311
random_40,0000000000000000046c,crop_loss,40,40,37.14648444422827,36.6550479968441,36.6550479968441,0.49454495456196057,0.43527578885626694,0.5664870593959701,0.13121127053970316
random_40,00000000000000000480,crop_loss,40,40,36.916177738318545,19.761570656971184,19.761570656971184,0.42882549586630647,0.39362297326130247,0.47760226635064273,0.08397929308934027
random_40,00000000000000000483,crop_loss,40,40,39.22435655032868,23.377483863320183,23.377483863320183,0.5954642065092994,0.5276372234203032,0.6404957355490472,0.11285851212874398
random_40,00000000000000000485,crop_loss,40,40,35.71139083796715,38.83084570996964,35.71139083796715,0.4161225668871024,0.3823417011646586,0.4569261547312245,0.0745844535665659
random_40,00000000000000000497,crop_loss,40,40,35.50274221697643,34.80834139796484,34.80834139796484,0.3226126142680153,0.29339645258416697,0.4253868402878505,0.13199038770368354
random_40,0000000000000000049b,crop_loss,40,40,38.70619863280048,34.39227980384553,34.39227980384553,0.3725605741906745,0.32340926539194115,0.4159457514355132,0.09253648604357206
random_40,000000000000000004a1,crop_loss,40,40,33.89149893909801,35.2192484719479,33.89149893909801,0.3519646668216427,0.31580771118081413,0.429104907713745,0.11329719653293086
random_40,000000000000000004e7,crop_loss,40,40,35.23635300553357,32.47646489004954,32.47646489004954,0.4021495600987066,0.32122453842127535,0.4827068531802502,0.16148231475897484
random_40,000000000000000004e9,crop_loss,40,40,39.477103687804664,24.04770900913347,24.04770900913347,0.36405393829064703,0.27726766182301854,0.49736951988689,0.22010185806387145
random_40,000000000000000004ee,crop_loss,40,40,35.72677723976731,24.62984366174113,24.62984366174113,0.5103200331603158,0.31216587173950106,0.6524517572238859,0.3402858854843849
random_40,000000000000000004f9,crop_loss,40,40,37.30318048487517,32.59046296343428,32.59046296343428,0.4296847799830406,0.2775928116977354,0.4688500523743707,0.1912572406766353
random_40,00000000000000000517,crop_loss,40,40,38.92775150196435,31.966375409246517,31.966375409246517,0.34804453924931855,0.26752666589735274,0.5066160955718544,0.23908942967450164
random_40,00000000000000000538,crop_loss,40,40,34.809199335432425,1.2907694501228264,1.2907694501228264,0.1191230590542612,0.1060197587352196,0.15011054327306908,0.04409078453784948
random_40,0000000000000000057e,crop_loss,40,40,37.23575520551568,8.11860640154487,8.11860640154487,0.414776095726446,0.3475394954600882,0.5836565805533834,0.2361170850932952
random_40,000000000000000005d1,crop_loss,40,40,39.27515018626484,27.501982944869347,27.501982944869347,0.34514321601069764,0.3002671745799647,0.4093674161613724,0.10910024158140769
random_40,00000000000000000611,crop_loss,40,40,36.816204651857106,36.894477522658256,36.816204651857106,0.5130714388624437,0.383422871706149,0.5713649431359957,0.1879420714298467
random_40,0000000000000000062f,crop_loss,40,40,34.2646381559485,34.7994933237393,34.2646381559485,0.3965256969226833,0.33939275678592973,0.557367093955025,0.2179743371690953
