strategy,n_parents,median_ci_width,p90_ci_width,median_neff_min,p25_neff_min,min_neff10_coverage,min_neff20_coverage,min_neff30_coverage,pooled_auc
random_200,158,0.06135858799139929,0.08656723857890247,76.26032138273332,41.671477380929915,0.9430379746835443,0.8734177215189873,0.8227848101265823,0.9115494736662181
fscs_200,158,0.06135858799139929,0.08656723857890247,76.26032138273332,41.671477380929915,0.9430379746835443,0.8734177215189873,0.8227848101265823,0.9115494736662181
fscs_150,158,0.07001662516556015,0.09524989760550731,69.02461780353673,39.36282063486031,0.9493670886075949,0.8670886075949367,0.8164556962025317,0.9096159799617246
feature_diverse_150,158,0.07018312747916997,0.09198204773030136,74.15040720044945,44.4516599479723,0.9493670886075949,0.879746835443038,0.8417721518987342,0.901499204852962
random_150,158,0.07029516485292278,0.10049985726715795,68.73129016530447,39.249405066519685,0.9430379746835443,0.8670886075949367,0.8164556962025317,0.9108836231772537
spatial_thin_100_cap150,158,0.07693617085422327,0.1117160647250039,85.84842977382172,54.347541456802816,0.9746835443037974,0.930379746835443,0.8734177215189873,0.8943835089609735
spatial_thin_150_cap150,158,0.07971062831205836,0.12174805177197687,86.13785926521112,53.72511179206457,0.9810126582278481,0.9367088607594937,0.879746835443038,0.8856663716780996
hybrid_150_diverse_150,158,0.08025927791498913,0.11922333458281675,86.53104152319423,54.14511185383091,0.9810126582278481,0.9430379746835443,0.879746835443038,0.8854912269930878
fscs_100,158,0.08327913173875792,0.11355535503159675,55.83225204861273,35.14513434803693,0.9430379746835443,0.8734177215189873,0.7848101265822784,0.9105407106232976
feature_diverse_100,158,0.08394841500319891,0.10865197209087835,61.99154219066177,39.93905192888737,0.9430379746835443,0.8860759493670886,0.8227848101265823,0.8834284049030604
spatial_thin_100_cap100,158,0.08494625180741133,0.1231650891418541,68.32193639607516,51.37016297069333,0.9746835443037974,0.930379746835443,0.8734177215189873,0.8992062332869402
random_100,158,0.08550921674713724,0.12454415928938363,55.21469195987018,34.04725044374485,0.9430379746835443,0.8670886075949367,0.7911392405063291,0.9088280283608396
spatial_thin_150_cap100,158,0.08769135425131278,0.13688737785071756,79.89100996885077,54.119435589856046,0.9810126582278481,0.9367088607594937,0.879746835443038,0.8931102303783371
hybrid_150_diverse_100,158,0.09140769660302908,0.130706214497778,81.35604511332984,54.16826087537271,0.9810126582278481,0.9367088607594937,0.879746835443038,0.8739789111143744
spatial_thin_250_cap150,158,0.10100857385076092,0.1491037878245587,68.96789199283624,43.131075344637026,0.9683544303797469,0.9050632911392406,0.8417721518987342,0.874452229439892
spatial_thin_250_cap100,158,0.10163058482062112,0.15845050005398978,67.99400815999165,42.3354550750447,0.9620253164556962,0.9240506329113924,0.8354430379746836,0.8757413070281544
hybrid_300_diverse_100,158,0.10766947720238365,0.1626020498449283,57.128027730077676,35.73729172556964,0.9556962025316456,0.8734177215189873,0.8037974683544303,0.8667634418718433
spatial_thin_300_cap100,158,0.10772862852008466,0.16113453271066208,57.546613230192634,36.06296799394909,0.9556962025316456,0.8734177215189873,0.7974683544303798,0.86895871597886
feature_diverse_60,158,0.10811880459568449,0.13923234282929814,44.50410822392415,33.14263256682895,0.9430379746835443,0.9050632911392406,0.8037974683544303,0.8600799484591145
fscs_60,158,0.10826073219835114,0.15534614538521424,42.52330151944037,29.242494624526522,0.9240506329113924,0.8607594936708861,0.7278481012658228,0.905198652726593
spatial_thin_300_cap150,158,0.11028809855933011,0.16217071406785993,58.54590779347065,35.587343367730426,0.9556962025316456,0.8734177215189873,0.8037974683544303,0.868126491864098
hybrid_300_diverse_150,158,0.11028809855933011,0.16217071406785993,58.54590779347065,35.587343367730426,0.9556962025316456,0.8734177215189873,0.8037974683544303,0.868126491864098
random_60,158,0.11032877201477614,0.1494532806711442,40.5263636609125,28.36273897149435,0.9367088607594937,0.8670886075949367,0.7088607594936709,0.9102728262030657
spatial_thin_100_cap60,158,0.11212177722504282,0.1543458158993083,47.71497624459174,39.30226662701608,0.9746835443037974,0.930379746835443,0.8607594936708861,0.8990899315614068
spatial_thin_150_cap60,158,0.11403755239543825,0.154621901082155,52.92230820712405,46.7481119516398,0.9810126582278481,0.9367088607594937,0.879746835443038,0.8934392845839134
spatial_thin_250_cap60,158,0.11670859706396486,0.17406943064278366,58.64907309044199,43.3008180356974,0.9620253164556962,0.9050632911392406,0.8417721518987342,0.8731397954979496
spatial_thin_300_cap60,158,0.12196699672664454,0.17349717266201894,56.74926831396584,35.666167399086476,0.9556962025316456,0.8607594936708861,0.810126582278481,0.8756023167585671
random_40,158,0.12680452266198378,0.18808032376790915,29.885104690473227,22.577246617723638,0.9240506329113924,0.8227848101265823,0.4936708860759494,0.9074094946723281
