strategy,n_parents,median_ci_width,p90_ci_width,median_neff_min,p25_neff_min,min_neff10_coverage,min_neff20_coverage,min_neff30_coverage,pooled_auc
random_200,158,0.06135858799139929,0.08656723857890247,16.932175908278573,8.22857936576349,0.7088607594936709,0.3987341772151899,0.056962025316455694,0.9115494736662181
fscs_200,158,0.06135858799139929,0.08656723857890247,16.932175908278573,8.22857936576349,0.7088607594936709,0.3987341772151899,0.056962025316455694,0.9115494736662181
fscs_150,158,0.07001662516556015,0.09524989760550731,16.491132545323058,8.405349901443259,0.7088607594936709,0.35443037974683544,0.02531645569620253,0.9096159799617246
feature_diverse_150,158,0.07018312747916997,0.09198204773030136,17.467408700268862,8.87299953514873,0.7278481012658228,0.41139240506329117,0.04430379746835443,0.901499204852962
random_150,158,0.07029516485292278,0.10049985726715795,16.828087683187153,8.286452058014934,0.7088607594936709,0.34810126582278483,0.0189873417721519,0.9108836231772537
spatial_thin_100_cap150,158,0.07693617085422327,0.1117160647250039,19.052821880800593,10.059543894235281,0.7531645569620253,0.43670886075949367,0.06329113924050633,0.8943835089609735
spatial_thin_150_cap150,158,0.07971062831205836,0.12174805177197687,19.677248388079157,11.20667384663676,0.7721518987341772,0.4873417721518987,0.11392405063291139,0.8856663716780996
hybrid_150_diverse_150,158,0.08025927791498913,0.11922333458281675,19.840043920353075,11.075649822877436,0.7721518987341772,0.4936708860759494,0.11392405063291139,0.8854912269930878
fscs_100,158,0.08327913173875792,0.11355535503159675,15.733914091179741,8.467912927820027,0.7088607594936709,0.3227848101265823,0.012658227848101266,0.9105407106232976
feature_diverse_100,158,0.08394841500319891,0.10865197209087835,16.912674251172863,9.533608124313188,0.7341772151898734,0.41139240506329117,0.0189873417721519,0.8834284049030604
spatial_thin_100_cap100,158,0.08494625180741133,0.1231650891418541,17.57041633774326,10.532790381983519,0.759493670886076,0.3987341772151899,0.0189873417721519,0.8992062332869402
random_100,158,0.08550921674713724,0.12454415928938363,16.129429640843977,7.923112010478551,0.7088607594936709,0.31645569620253167,0.012658227848101266,0.9088280283608396
spatial_thin_150_cap100,158,0.08769135425131278,0.13688737785071756,19.352464994668452,11.364990006349254,0.7784810126582279,0.45569620253164556,0.03164556962025317,0.8931102303783371
hybrid_150_diverse_100,158,0.09140769660302908,0.130706214497778,19.825958151996343,10.98556324628406,0.7784810126582279,0.4936708860759494,0.06962025316455696,0.8739789111143744
spatial_thin_250_cap150,158,0.10100857385076092,0.1491037878245587,21.352791998418553,12.456551036958716,0.8417721518987342,0.5569620253164557,0.1962025316455696,0.874452229439892
spatial_thin_250_cap100,158,0.10163058482062112,0.15845050005398978,21.60024845820389,12.319071243843268,0.8291139240506329,0.5632911392405063,0.23417721518987342,0.8757413070281544
hybrid_300_diverse_100,158,0.10766947720238365,0.1626020498449283,21.90358893092983,13.016914387252344,0.8354430379746836,0.5759493670886076,0.25316455696202533,0.8667634418718433
spatial_thin_300_cap100,158,0.10772862852008466,0.16113453271066208,21.906447523978443,12.982994893379132,0.8417721518987342,0.569620253164557,0.25316455696202533,0.86895871597886
feature_diverse_60,158,0.10811880459568449,0.13923234282929814,15.397820509442365,9.679966874781845,0.7341772151898734,0.26582278481012656,0.0,0.8600799484591145
fscs_60,158,0.10826073219835114,0.15534614538521424,14.61289235415136,8.068037071716512,0.6962025316455697,0.22784810126582278,0.0,0.905198652726593
spatial_thin_300_cap150,158,0.11028809855933011,0.16217071406785993,21.766382913803337,13.186224724197842,0.8417721518987342,0.569620253164557,0.25949367088607594,0.868126491864098
hybrid_300_diverse_150,158,0.11028809855933011,0.16217071406785993,21.766382913803337,13.186224724197842,0.8417721518987342,0.569620253164557,0.25949367088607594,0.868126491864098
random_60,158,0.11032877201477614,0.1494532806711442,14.43823046943001,7.627640593516582,0.6835443037974683,0.20253164556962025,0.0,0.9102728262030657
spatial_thin_100_cap60,158,0.11212177722504282,0.1543458158993083,15.412310896980294,9.47058840869266,0.7341772151898734,0.2721518987341772,0.0,0.8990899315614068
spatial_thin_150_cap60,158,0.11403755239543825,0.154621901082155,17.0164297641835,10.646643668914315,0.759493670886076,0.3037974683544304,0.0,0.8934392845839134
spatial_thin_250_cap60,158,0.11670859706396486,0.17406943064278366,20.405287643016997,12.521567050235195,0.8354430379746836,0.5189873417721519,0.006329113924050633,0.8731397954979496
spatial_thin_300_cap60,158,0.12196699672664454,0.17349717266201894,21.405798068332242,12.738800805559071,0.8417721518987342,0.5759493670886076,0.0379746835443038,0.8756023167585671
random_40,158,0.12680452266198378,0.18808032376790915,12.840675722790483,7.6692047782652075,0.6392405063291139,0.03164556962025317,0.0,0.9074094946723281
