strategy,n_parents,median_ci_width,p90_ci_width,median_neff_min,p25_neff_min,min_neff10_coverage,min_neff20_coverage,min_neff30_coverage,pooled_auc,x_obs_fallback_parents,median_ci_width__built_loss,median_neff_min__built_loss,median_dor__built_loss,n_parents__built_loss,median_ci_width__crop_loss,median_neff_min__crop_loss,median_dor__crop_loss,n_parents__crop_loss
random_200,158,0.05328044586194916,0.10003787558117488,16.934548809365477,8.178326590308057,0.7088607594936709,0.3860759493670886,0.06329113924050633,0.9102017100831705,0,0.051237465753086686,14.942985604123953,0.5214722313810917,90,0.05603487389582937,18.918512624143553,0.46934956693059376,68
fscs_200,158,0.05328044586194916,0.10003787558117488,16.934548809365477,8.178326590308057,0.7088607594936709,0.3860759493670886,0.06329113924050633,0.9102017100831705,0,0.051237465753086686,14.942985604123953,0.5214722313810917,90,0.05603487389582937,18.918512624143553,0.46934956693059376,68
fscs_150,158,0.06025198474819493,0.11058196866060857,16.45148790749907,8.343276725963696,0.7151898734177216,0.35443037974683544,0.0189873417721519,0.9097579414954179,0,0.058626236806845144,14.90717461634561,0.5152495236200245,90,0.06213654460327134,18.470352229084504,0.4674518534610981,68
random_150,158,0.061873976986497714,0.11537713593676933,16.438821413588883,8.006678839925165,0.7088607594936709,0.35443037974683544,0.0189873417721519,0.9095380648144585,0,0.060960922608745916,14.755456829577362,0.5193465254213239,90,0.06435404416125104,18.52575892570804,0.4716008709353251,68
feature_diverse_150,158,0.06422541860128578,0.10674093988754697,17.33517625072887,8.78685256923461,0.7215189873417721,0.4240506329113924,0.06329113924050633,0.9003596312541235,0,0.060006732691756326,15.490271737748612,0.5252686058547299,90,0.06735786055312187,20.576589666938613,0.4587186655030243,68
spatial_thin_100_cap150,158,0.06725728788670413,0.14698609874139634,18.931046710650858,10.110141833668614,0.7531645569620253,0.4240506329113924,0.06962025316455696,0.8937517280774202,0,0.06669690765188876,16.61261165947529,0.5051212867520996,90,0.07116481040649553,20.632980594083527,0.4572607534706994,68
spatial_thin_150_cap150,158,0.07273771577221572,0.1640459210500058,19.761759702680415,11.201829187102838,0.7721518987341772,0.4936708860759494,0.12025316455696203,0.884846876951249,0,0.07025408281449622,17.754944353714045,0.4956779676795293,90,0.0747661875956942,21.56700175450319,0.4675476920184283,68
fscs_100,158,0.07424648963478697,0.1440621548218429,16.136969908430977,8.32662253035484,0.7025316455696202,0.3037974683544304,0.006329113924050633,0.9086724323025156,0,0.07181453970216439,13.906589246548553,0.511290135045423,90,0.07602785272575122,17.541813111682615,0.45627230493342125,68
feature_diverse_100,158,0.07499844894552246,0.11456375748086335,16.884709665442912,9.51974045283254,0.7341772151898734,0.3987341772151899,0.006329113924050633,0.8825533247876943,0,0.07234222188823597,15.19889570613827,0.523163311271613,90,0.07694844917619988,20.018236574983025,0.43278968564066206,68
hybrid_150_diverse_150,158,0.07514743078718886,0.14201348048676873,19.815548800150154,11.367237674206812,0.7658227848101266,0.4873417721518987,0.11392405063291139,0.8829381639886945,0,0.0724432526739826,17.677806167586837,0.4940993940100117,90,0.07782462449576738,21.61923642971282,0.4674282333300728,68
