parent_label,min_dist_m,median_dor,step_delta,residual_to_max
built_loss,0,0.5234890216380336,0.0,-0.04304102171695734
built_loss,25,0.5234890216380336,0.0,-0.04304102171695734
built_loss,50,0.5234890216380336,0.0,-0.04304102171695734
built_loss,75,0.5271199129703226,0.003630891332288999,-0.03941013038466834
built_loss,100,0.5389821376519286,0.011862224681606026,-0.027547905703062314
built_loss,150,0.5380785878876182,-0.0009035497643103962,-0.02845145546737271
built_loss,200,0.5436741524159441,0.00559556452832588,-0.02285589093904683
built_loss,300,0.5501594326310493,0.006485280215105194,-0.016370610723941637
built_loss,500,0.5543065642778773,0.004147131646828006,-0.01222347907711363
built_loss,1000,0.5527222947776068,-0.0015842695002704632,-0.013807748577384094
built_loss,2000,0.5665300433549909,0.013807748577384094,0.0
crop_loss,0,0.4866221391032586,0.0,-0.007173941378839199
crop_loss,25,0.4866221391032586,0.0,-0.007173941378839199
crop_loss,50,0.48560106096988154,-0.0010210781333770402,-0.00819501951221624
crop_loss,75,0.48649760333484904,0.0008965423649675008,-0.007298477147248739
crop_loss,100,0.48649760333484904,0.0,-0.007298477147248739
crop_loss,150,0.48649760333484904,0.0,-0.007298477147248739
crop_loss,200,0.48859895092951244,0.0021013475946634053,-0.005197129552585333
crop_loss,300,0.48474083553268,-0.003858115396832451,-0.009055244949417784
crop_loss,500,0.48474083553268,0.0,-0.009055244949417784
crop_loss,1000,0.48694575112044214,0.0022049155877621462,-0.006850329361655638
crop_loss,2000,0.4937960804820978,0.006850329361655638,0.0
stable_built,0,0.3659765758614906,0.0,-0.03170797406012876
stable_built,25,0.3692655642746586,0.0032889884131679925,-0.02841898564696077
stable_built,50,0.3716395474585086,0.002373983183849959,-0.02604500246311081
stable_built,75,0.3716395474585086,0.0,-0.02604500246311081
stable_built,100,0.3692655642746586,-0.002373983183849959,-0.02841898564696077
stable_built,150,0.3716395474585086,0.002373983183849959,-0.02604500246311081
stable_built,200,0.3725365945303364,0.0008970470718278056,-0.025147955391283006
stable_built,300,0.3771432185001561,0.004606623969819701,-0.020541331421463305
stable_built,500,0.38469527399346015,0.007552055493304066,-0.012989275928159238
stable_built,1000,0.38901201344169967,0.004316739448239515,-0.008672536479919724
stable_built,2000,0.3976845499216194,0.008672536479919724,0.0
stable_crop,0,0.3640341649339894,0.0,-0.0450192171152175
stable_crop,25,0.3640341649339894,0.0,-0.0450192171152175
stable_crop,50,0.36675194864768434,0.0027177837136949656,-0.04230143340152254
stable_crop,75,0.3666503164620184,-0.00010163218566594523,-0.04240306558718848
stable_crop,100,0.36675194864768434,0.00010163218566594523,-0.04230143340152254
stable_crop,150,0.37151178066361645,0.004759832015932108,-0.03754160138559043
stable_crop,200,0.3746164559160205,0.0031046752524040433,-0.034436926133186385
stable_crop,300,0.3795032156535235,0.004886759737503021,-0.029550166395683364
stable_crop,500,0.3854559993623524,0.0059527837088289015,-0.023597382686854462
stable_crop,1000,0.4001345868386937,0.014678587476341265,-0.008918795210513197
stable_crop,2000,0.4090533820492069,0.008918795210513197,0.0
stable_nature,0,0.5831942165365579,0.0,0.012746808251420605
stable_nature,25,0.5831942165365579,0.0,0.012746808251420605
stable_nature,50,0.5831942165365579,0.0,0.012746808251420605
stable_nature,75,0.5801794515937476,-0.0030147649428102774,0.009732043308610328
stable_nature,100,0.5796792368710786,-0.0005002147226690346,0.009231828585941293
stable_nature,150,0.5801794515937476,0.0005002147226690346,0.009732043308610328
stable_nature,200,0.5809921577553242,0.0008127061615765818,0.01054474947018691
stable_nature,300,0.5796792368710786,-0.0013129208842456164,0.009231828585941293
stable_nature,500,0.5800791951050275,0.00039995823394889385,0.009631786819890187
stable_nature,1000,0.575978460230248,-0.004100734874779466,0.005531051945110721
stable_nature,2000,0.5704474082851373,-0.005531051945110721,0.0
