parent_id,r,lon,lat
00000000000000000001,built_loss,-52.07673090606908,-31.197090541137932
00000000000000000049,built_loss,89.83908745159604,22.272237662123377
0000000000000000004a,built_loss,40.067571784242254,59.46991730588534
0000000000000000004f,built_loss,30.32949886638594,-1.7196813155035375
0000000000000000005a,built_loss,111.37904442392033,36.0869129058078
00000000000000000079,built_loss,121.53259411308866,31.085341004711196
00000000000000000085,built_loss,108.73925529995687,40.66993235792918
00000000000000000087,built_loss,39.27536969072226,21.4877502516686
000000000000000000a1,built_loss,-0.22362549650622487,35.65824138121351
000000000000000000b8,built_loss,68.45933394311085,58.27257733074025
000000000000000000c0,built_loss,-43.28069850217318,-22.768108331184347
000000000000000000e2,built_loss,50.71427267166629,61.85780472760167
000000000000000000f0,built_loss,93.50550126579434,42.85247944276183
000000000000000000f8,built_loss,48.07048611545865,28.573902045176485
00000000000000000114,built_loss,116.38466896138479,33.93051056679258
0000000000000000011c,built_loss,110.04773338775378,39.227140051972896
00000000000000000151,built_loss,57.7006227290997,58.912109205601126
00000000000000000161,built_loss,104.75104150663373,29.35663891412709
0000000000000000016a,built_loss,47.52402515874902,61.2916336997425
00000000000000000176,built_loss,29.137015230111093,-26.488579662595335
000000000000000001a8,built_loss,117.61251096204182,36.27582496970896
000000000000000001be,built_loss,-53.382453784541944,-17.933024003918355
000000000000000001cd,built_loss,28.263117970873807,-26.14093591517625
000000000000000001e5,built_loss,41.14748981562401,44.89486259378114
00000000000000000206,built_loss,39.200607299146625,21.525713168991995
00000000000000000209,built_loss,112.62062962249182,37.73874479949363
00000000000000000231,built_loss,113.0811984887826,27.861337062842196
0000000000000000024c,built_loss,-71.3623641241561,10.27200337435522
0000000000000000026d,built_loss,102.8847616705384,25.031516347813888
00000000000000000278,built_loss,31.306330035161686,30.495253668499256
00000000000000000293,built_loss,105.69344129461876,9.354184013151361
000000000000000002a4,built_loss,119.38818970132913,30.02334702350402
00000000000000000316,built_loss,59.59629435893606,59.71558670727056
0000000000000000034d,built_loss,77.27063881661263,21.399409840777963
00000000000000000356,built_loss,115.95308369002223,39.03847103036052
00000000000000000362,built_loss,39.28171724093411,21.475271466473508
00000000000000000363,built_loss,37.79637057337322,59.136522365000914
00000000000000000364,built_loss,118.74726229633282,31.834801875710035
00000000000000000375,built_loss,118.19029051406548,36.77236923854596
00000000000000000380,built_loss,-118.97621446147184,34.306193486579225
00000000000000000384,built_loss,107.01324267166716,20.98644732656889
0000000000000000039e,built_loss,82.80297156541062,28.039193068293596
000000000000000003a1,built_loss,39.26383396705283,45.19115203518171
000000000000000003a5,built_loss,103.22151788766595,35.58472033980371
000000000000000003b7,built_loss,107.84964633439299,-6.6203336957097525
000000000000000003bf,built_loss,118.19694972682325,33.8911066808986
000000000000000003d2,built_loss,117.45126807671711,38.90227669740292
000000000000000003f8,built_loss,51.41674826437313,33.73529779836349
000000000000000003fa,built_loss,105.93997648893985,21.07499022360902
00000000000000000407,built_loss,28.159140274475938,-25.983718055263648
0000000000000000040f,built_loss,-34.838149794247556,-7.980726268214967
00000000000000000426,built_loss,121.11836410887155,31.692702849635353
0000000000000000042b,built_loss,116.49878668553743,31.76082681167744
00000000000000000442,built_loss,107.12912588378376,52.115757157692876
00000000000000000465,built_loss,30.495560247184784,60.009995613070544
0000000000000000047e,built_loss,77.87531931012126,12.909382941550986
00000000000000000490,built_loss,113.25209580145109,22.93685074622759
000000000000000004c0,built_loss,116.85534269002774,39.87519456679629
000000000000000004c5,built_loss,25.286092349389556,35.32952787167502
000000000000000004d2,built_loss,-17.89177734416,28.61222322371109
000000000000000004d9,built_loss,121.41001786470267,30.920202643175006
000000000000000004eb,built_loss,119.23357077692174,34.63676303843916
000000000000000004f5,built_loss,116.97526232799035,45.50824065920216
000000000000000004f7,built_loss,29.30670149852893,-24.95447165363029
000000000000000004fe,built_loss,76.89710180497971,31.54859032126433
0000000000000000051d,built_loss,76.5344743321424,61.17208637059196
00000000000000000559,built_loss,118.6730127174395,31.95910632046976
00000000000000000576,built_loss,64.73386468106712,60.139895884211015
00000000000000000577,built_loss,72.7785066131115,60.75698197777618
0000000000000000057f,built_loss,52.61635019574183,53.69082533649102
00000000000000000594,built_loss,76.53438069207127,61.17092034978074
000000000000000005ad,built_loss,115.95614262797316,39.70707977389265
000000000000000005bd,built_loss,84.27955269407397,52.20344761438387
000000000000000005bf,built_loss,106.79189735071445,10.65938483184352
000000000000000005cc,built_loss,37.42107311163296,48.072147139905944
000000000000000005de,built_loss,-3.3825112613931982,40.53477586975268
000000000000000005e7,built_loss,114.55082126985528,38.1004211112425
000000000000000005f9,built_loss,-95.33206277475566,36.246439446756405
0000000000000000061c,built_loss,20.683593728077966,67.17094403925161
00000000000000000624,built_loss,6.406915939234249,35.78220944031625
00000000000000000626,built_loss,-35.74783838107322,-9.635095872558248
0000000000000000062a,built_loss,112.34128096780984,28.528844730919495
00000000000000000636,built_loss,140.24844625624613,48.999323728758036
0000000000000000064a,built_loss,34.99289292952559,57.426540808537936
0000000000000000064d,built_loss,-120.88782252700511,38.825319587960934
00000000000000000694,built_loss,10.851718389853971,59.81835218790859
0000000000000000069d,built_loss,119.84995341466231,31.305301460293308
000000000000000006b7,built_loss,-35.74351229783393,-9.640292232597291
000000000000000006df,built_loss,60.46356863403737,60.67169498510024
000000000000000006e3,built_loss,21.0314949909995,64.79785503417888
