parent_label,inner_m,outer_m,n_parents,n,n_pos,n_neg,mcc,f1,roc_auc,opt_threshold,good_score_median,bad_score_median
built_loss,0,1000,86,11003,2890,8113,0.8842181539069321,0.9130512408498482,0.9859747929014777,0.4864082511012265,0.700557455041893,0.1615836710692632
built_loss,0,2000,89,29777,11267,18510,0.9074840965825837,0.9423196933226353,0.989572422094673,0.46982647325889265,0.7224585153392686,0.23075169564711615
built_loss,0,3000,89,51982,24141,27841,0.9121805052365505,0.9524725964354447,0.9907930995555917,0.484727451617096,0.7390397228370318,0.2660875112219287
built_loss,0,4000,90,67989,34423,33566,0.9207415568930197,0.9604175218436639,0.992205943057216,0.4888699728427812,0.7477682485155559,0.27799207530569164
built_loss,0,5000,90,101080,51889,49191,0.9200251561344797,0.9608765510966568,0.9923687090264303,0.48392020835549915,0.7464498458824802,0.29205515493580464
built_loss,0,6000,90,102267,52019,50248,0.9205692372499326,0.9607693570345767,0.9924514560416869,0.48389853226460555,0.7450533592224334,0.29052028702558425
built_loss,0,7000,90,102723,52019,50704,0.920851218195068,0.9607307346934835,0.9924934827621514,0.48389853226460555,0.7448522560682698,0.2894134462649611
built_loss,0,8000,90,103017,52019,50998,0.921041595061352,0.9607106647998841,0.9925322693451142,0.48389853226460555,0.7445347257255736,0.28867533677039114
built_loss,500,1000,77,6697,1961,4736,0.8640927145140495,0.9006410256410257,0.9831185524828755,0.49842576015917706,0.7079357587983537,0.15980483843303656
built_loss,500,2000,88,25844,10401,15443,0.9058273039227321,0.9436633281972265,0.9889455000438512,0.4697544732370539,0.7262444689211311,0.2382804222041407
built_loss,500,3000,88,47881,23107,24774,0.9111305356498967,0.9535579379462433,0.9903815636383154,0.48547803198928235,0.7409764295407314,0.2727780103256207
built_loss,500,4000,90,64174,33673,30501,0.9201846470596093,0.9616679888042389,0.9920068539158513,0.4888699728427812,0.7520500321858712,0.2836898644972627
built_loss,500,5000,90,97265,51139,46126,0.9191304176259049,0.961310519994487,0.992248285059282,0.4890052676432871,0.7498186635110811,0.2959702561429189
built_loss,500,6000,90,98452,51269,47183,0.9197848142053889,0.9612177755953842,0.9923585898180466,0.4890052676432871,0.7482164959684305,0.2944318950259819
built_loss,500,7000,90,98908,51269,47639,0.9201386334132227,0.9611973719100793,0.9924082482556117,0.4890052676432871,0.7480431869586915,0.29347056677909633
built_loss,500,8000,90,99202,51269,47933,0.9203476070197373,0.9611784925116622,0.9924454714433729,0.4890052676432871,0.7474579274005914,0.29279663251744853
built_loss,1000,2000,83,18208,7811,10397,0.8934080669446358,0.9382876445368326,0.985683670039294,0.48338303698398893,0.7301142349838325,0.247386632562138
built_loss,1000,3000,83,39617,19889,19728,0.9039581573096491,0.9516120842853516,0.9887705562506135,0.48687981042259065,0.7420392147141484,0.28402293263272166
built_loss,1000,4000,85,55180,29727,25453,0.9152120600890681,0.9607409781856832,0.9910322067775068,0.48223181099003726,0.7508179522690623,0.29247444978432374
built_loss,1000,5000,89,89457,48379,41078,0.9174353015741961,0.9617744317118316,0.9918641444183656,0.48840068535255104,0.7527593357227841,0.3017742766042562
built_loss,1000,6000,90,91214,49079,42135,0.9185199262974154,0.9620510086927997,0.9920738372725448,0.48840068535255104,0.7536678864126528,0.29976385944931216
built_loss,1000,7000,90,91670,49079,42591,0.9188950274497949,0.9620100049204526,0.992126598341392,0.48840068535255104,0.7531446721215246,0.2986485280301753
built_loss,1000,8000,90,91964,49079,42885,0.9191440830617235,0.9619902823051848,0.9921702543407571,0.48840068535255104,0.7524920706002463,0.2977778268981817
built_loss,2000,3000,66,19003,9672,9331,0.8892639744694714,0.9451705285082009,0.9849834511977871,0.48456551650940494,0.7321741658610244,0.2878211624146639
built_loss,2000,4000,68,32259,17203,15056,0.9076449909725549,0.9569058204748205,0.989240363075837,0.47823683615443013,0.7387848944510451,0.2929654115335142
built_loss,2000,5000,89,70733,40052,30681,0.9136867207157678,0.9624252134077653,0.9914861983160361,0.48307426513828,0.7613645427326755,0.302387433570507
built_loss,2000,6000,90,72382,40644,31738,0.9150946968963553,0.9626422959756293,0.9917256069771481,0.48307426513828,0.7612828785933903,0.2999273821759237
built_loss,2000,7000,90,72838,40644,32194,0.9157111987998912,0.9626167071621505,0.9918122339790759,0.48307426513828,0.7606022515790302,0.29804241523897634
built_loss,2000,8000,90,73132,40644,32488,0.9160235978403227,0.9625673725625624,0.9918676944629049,0.48307426513828,0.7595486825147235,0.2970211930937516
built_loss,3000,4000,48,10685,5395,5290,0.9068004055794172,0.9537002603198215,0.9889786629431788,0.48127945910746966,0.744920767510906,0.2584637816390103
built_loss,3000,5000,89,48496,27150,21346,0.9121002357883384,0.960941699879507,0.9910717997376903,0.48628135426823044,0.7653094668323314,0.290999426461662
built_loss,3000,6000,90,50001,27598,22403,0.914267329432691,0.9612241920186766,0.9913959625740779,0.48628135426823044,0.7646049673105724,0.28668421060167665
built_loss,3000,7000,90,50457,27598,22859,0.9151182668229397,0.9611862984715281,0.9915459209235647,0.48628135426823044,0.7637863474624522,0.28391820002765966
built_loss,3000,8000,90,50751,27598,23153,0.9156985350917884,0.9611862984715281,0.991637578142272,0.48628135426823044,0.7630044479173714,0.28159763146230327
built_loss,4000,5000,88,32687,17066,15621,0.9041378707674076,0.9538162085643506,0.9887132423139279,0.48605742827452997,0.7604891166568326,0.2755768692120169
built_loss,4000,6000,90,34278,17596,16682,0.907813456545005,0.9548906526580254,0.989326597207314,0.48236232608371366,0.7616843279247876,0.27016785688515976
built_loss,4000,7000,90,34734,17596,17138,0.9091763558916951,0.954945180447693,0.989592908810713,0.48236232608371366,0.7607359237377672,0.2666305932321624
built_loss,4000,8000,90,35028,17596,17432,0.9099445845334672,0.954945180447693,0.98975680423948,0.48236232608371366,0.7600148722635345,0.26387472174171284
crop_loss,0,1000,61,5832,2207,3625,0.8724044430830855,0.9201190203707942,0.9798469446744684,0.4792794891931674,0.7240194738941451,0.13362235813505396
crop_loss,0,2000,68,20807,9099,11708,0.892142700733782,0.9392070484581497,0.9864602626996445,0.48040864693431073,0.7111156309148099,0.18674935369470996
crop_loss,0,3000,68,38233,18846,19387,0.9035184905780148,0.9510355815188529,0.9881197967409254,0.4877262979388756,0.7222698557852787,0.2191836098990926
crop_loss,0,4000,68,50409,25635,24774,0.9093693751501962,0.9553592369634899,0.9894130106043557,0.49083663377785164,0.7255052734482385,0.22958051239284236
crop_loss,0,5000,68,75527,38505,37022,0.9131402509032591,0.9573895754551479,0.9898674320285917,0.49055615623377646,0.7269818451188919,0.23671515107479726
crop_loss,0,6000,68,76229,38581,37648,0.9131470369857431,0.9570631729147749,0.9899297368010319,0.49055615623377646,0.7255325188115187,0.23604827894893943
crop_loss,0,7000,68,76435,38643,37792,0.9129647497940515,0.9569226784095325,0.989886577742637,0.49055615623377646,0.7250380283810572,0.23614866041594204
crop_loss,0,8000,68,76435,38643,37792,0.9129647497940515,0.9569226784095325,0.989886577742637,0.49055615623377646,0.7250380283810572,0.23614866041594204
crop_loss,500,1000,54,3787,1498,2289,0.8637199288188167,0.9166666666666666,0.9766197656289645,0.4776105978376267,0.7337266213710361,0.1393657062598707
crop_loss,500,2000,67,18830,8364,10466,0.8895722472482249,0.9383339343671114,0.9858934256657458,0.48474656218491546,0.7117297142421627,0.1869030692956145
crop_loss,500,3000,67,36152,18007,18145,0.9036841806614095,0.9516079717597354,0.9878528638697394,0.488392146389618,0.7223661898166918,0.22062022237832168
crop_loss,500,4000,67,48238,24706,23532,0.9091675657757478,0.9555744888023369,0.9892060256355691,0.49115399902464507,0.7250395615135419,0.23074942295701356
crop_loss,500,5000,68,73646,37866,35780,0.913657597420176,0.9580200584045773,0.9897820104178965,0.49043823203170095,0.727938165031493,0.23742573150329663
crop_loss,500,6000,68,74348,37942,36406,0.9136174359848864,0.9576595351781992,0.9898501274058524,0.49043823203170095,0.7265293147867102,0.23649156956195647
crop_loss,500,7000,68,74554,38004,36550,0.9134513098738387,0.9576243348006044,0.9898060352492235,0.48749741025263016,0.7259792790238986,0.23680283889784387
crop_loss,500,8000,68,74554,38004,36550,0.9134513098738387,0.9576243348006044,0.9898060352492235,0.48749741025263016,0.7259792790238986,0.23680283889784387
crop_loss,1000,2000,67,14681,6608,8073,0.88165702814425,0.9349076597033,0.984296423915068,0.48031892019793637,0.7177621679127811,0.1771667035089915
crop_loss,1000,3000,67,32003,16251,15752,0.8991951327438981,0.9505927037706374,0.9871407803978091,0.4819136836885196,0.7279794037310408,0.22064360754452592
crop_loss,1000,4000,67,44089,22950,21139,0.9060043547580441,0.9551805558564218,0.9888477935392058,0.48070069007236077,0.7313089697410913,0.23037349496775456
crop_loss,1000,5000,68,69475,36088,33387,0.9117749439910013,0.9576200764500582,0.9896247583399151,0.49043823203170095,0.7319915783907667,0.23733161236634567
crop_loss,1000,6000,68,70177,36164,34013,0.9118795714912807,0.9573819345759579,0.9896967791123463,0.4877262979388756,0.7302403433838662,0.2363139890165531
crop_loss,1000,7000,68,70383,36226,34157,0.9117461601095304,0.9572583644402816,0.989667457844321,0.4877262979388756,0.7297118375726925,0.23658446055101656
crop_loss,1000,8000,68,70383,36226,34157,0.9117461601095304,0.9572583644402816,0.989667457844321,0.4877262979388756,0.7297118375726925,0.23658446055101656
crop_loss,2000,3000,57,16389,8722,7667,0.89618324688707,0.9516304037462167,0.9863397413077192,0.4801825905133043,0.7476523543345832,0.2182182140058465
crop_loss,2000,4000,57,27552,14498,13054,0.905821743760435,0.9553300193316764,0.9885724795691985,0.4911671438765324,0.7439685372139768,0.22932452071677165
crop_loss,2000,5000,67,54656,29342,25314,0.9134428653671848,0.9600271923861319,0.9896510232946485,0.4876537891083214,0.746386586937095,0.2366432451996515
crop_loss,2000,6000,68,55422,29482,25940,0.9139262928733792,0.9598172743422723,0.9897132834916664,0.4876537891083214,0.7436220692284928,0.23511848961038334
crop_loss,2000,7000,68,55628,29544,26084,0.9137594751178343,0.9597044883363975,0.9897045517153376,0.48535436763760115,0.7432358716936069,0.23514632588806192
crop_loss,2000,8000,68,55628,29544,26084,0.9137594751178343,0.9597044883363975,0.9897045517153376,0.48535436763760115,0.7432358716936069,0.23514632588806192
crop_loss,3000,4000,45,9606,4857,4749,0.8843372708499636,0.9423475736209042,0.9835748392659239,0.49666705858233745,0.739784685797361,0.20599050409730593
crop_loss,3000,5000,67,37248,19613,17635,0.9105514996700116,0.9577170786345238,0.9887773642552139,0.4877926154688301,0.7536171596158663,0.2229308842845542
crop_loss,3000,6000,68,37996,19735,18261,0.9115365790394299,0.9575297393065046,0.9889032806086927,0.4877926154688301,0.7516308966506251,0.22085599143811654
crop_loss,3000,7000,68,38202,19797,18405,0.9112965261459471,0.9572986069049061,0.9888947003885142,0.4877926154688301,0.7503667972874773,0.22109406164855647
crop_loss,3000,8000,68,38202,19797,18405,0.9112965261459471,0.9572986069049061,0.9888947003885142,0.4877926154688301,0.7503667972874773,0.22109406164855647
crop_loss,4000,5000,67,25072,12824,12248,0.9063799019858683,0.95426722289368,0.9878295979065216,0.48978432329589,0.7555454062922028,0.20214727375252312
crop_loss,4000,6000,68,25820,12946,12874,0.9072827596523118,0.9538283510125362,0.9880300758632174,0.48683617713204225,0.7527176474768181,0.20026090600240104
crop_loss,4000,7000,68,26026,13008,13018,0.9069406806991555,0.9534928376665771,0.9880072678722639,0.48683617713204225,0.7520310817254678,0.20084073549137058
crop_loss,4000,8000,68,26026,13008,13018,0.9069406806991555,0.9534928376665771,0.9880072678722639,0.48683617713204225,0.7520310817254678,0.20084073549137058
stable_built,0,1000,207,17180,3597,13583,0.7649395801228484,0.8092707410687925,0.9524558194103977,0.48158355460386965,0.6060538063939709,0.1742031227618052
stable_built,0,2000,233,43768,15268,28500,0.8075103915015536,0.8722594550904254,0.9662226466086621,0.483919736814624,0.6616414572320666,0.255765477452602
stable_built,0,3000,234,72634,32957,39677,0.8143293582667629,0.8951143125587222,0.9684353512228748,0.4967807594613602,0.6841016204594873,0.29809957691659117
stable_built,0,4000,235,89958,45394,44564,0.8227379822090573,0.9088641465792875,0.9714290601942932,0.49916640475378826,0.6986174344522578,0.31023450188330476
stable_built,0,5000,236,133738,68526,65212,0.8229105385839494,0.9118912662848325,0.9709823387466788,0.4920019826852024,0.6922145088833334,0.32594404747595324
