parent_id,n_bad_total,closest_bad_m,closest_bad_cosine,min_cosine_any_bad,median_bad_m,n_bad_within_30m,n_bad_within_50m,n_bad_within_100m,n_bad_within_200m,n_bad_within_300m
0000000000000000064a,200,3.6770481985477748,2.000177801164682e-12,2.000177801164682e-12,338.01435625441025,4,6,21,58,84
0000000000000000057f,200,11.826627633006776,0.005849078846236866,0.005849078846236866,627.8191017401631,1,1,1,2,6
0000000000000000016a,200,12.27319048345644,0.0035713570947295548,0.0035713570947295548,1165.3307034441711,6,8,14,22,30
00000000000000000316,200,13.588600784248335,0.0020164688165252853,0.0020164688165252853,261.59148856917164,10,18,28,54,113
00000000000000000577,200,19.522329578226024,0.008273656373123273,0.008273656373123273,707.5328642366136,2,2,4,11,21
00000000000000000559,200,22.071882054287517,0.002837891956521288,0.002837891956521288,2023.5822552865725,1,1,1,1,2
00000000000000000049,200,22.804085970598884,0.0043390788279922266,0.0043390788279922266,1475.4268855864939,3,11,22,26,26
00000000000000000624,200,23.804222987047403,0.04240708218591904,0.04240708218591904,730.83915853047,1,1,1,3,5
0000000000000000004a,200,24.12563096886406,0.01052911621392738,0.01052911621392738,890.4064723669533,1,1,3,6,9
0000000000000000051d,200,24.311829604317477,0.0072573505992262755,0.005416772993479424,1980.8424653941245,1,1,8,25,26
00000000000000000594,200,24.419897426634908,0.008568362401543017,0.004122087524077944,1909.6420962464229,1,1,6,15,25
000000000000000003a5,191,27.083670260893005,0.0076878360009857705,0.0076878360009857705,1075.1566009203495,1,1,2,3,6
00000000000000000576,200,27.764052572833616,0.007376541264927927,0.007376541264927927,597.4691644495178,1,1,2,8,31
0000000000000000061c,200,29.70103421222267,0.008322109389160226,0.008322109389160226,1659.574649887425,1,1,2,5,11
000000000000000004d9,200,31.832628394154483,0.1058269148592963,0.08192244524497061,2436.527512284234,0,1,1,4,6
00000000000000000442,200,37.486020435938045,0.01464528791653441,0.008791612378047042,546.3853867318188,0,2,6,24,40
000000000000000003f8,200,39.801885066728445,0.10184204365455418,0.04494839130220252,762.8862453125691,0,1,8,27,37
0000000000000000064d,200,43.36142560274888,0.04203436212521339,0.04203436212521339,1998.4855859753511,0,1,2,5,9
00000000000000000085,200,43.789696513076706,0.03652166860075079,0.014288527982523336,980.3495543589099,0,2,3,7,9
000000000000000002a4,200,45.52574191360899,0.08935680529107926,0.08935680529107926,1137.9012308322665,0,1,2,4,6
00000000000000000694,200,50.17370531127713,0.00933101951897708,0.00933101951897708,2059.0226076500385,0,0,3,9,15
00000000000000000356,200,50.95035310187937,0.023067135450451692,0.023067135450451692,2646.472094072541,0,0,2,3,5
000000000000000006df,200,51.4109270271705,0.006649507230705787,0.006407436996730298,2190.2712082937155,0,0,7,14,17
00000000000000000087,200,51.50477782645122,0.017829184976902446,0.017829184976902446,2029.990426605068,0,0,1,2,4
000000000000000004fe,200,52.25391704398571,0.22368280883474367,0.08472275450408939,1087.6653375337,0,0,3,4,11
00000000000000000151,200,53.01573150347455,0.02749269028461332,0.02482951136161382,6304.065020535618,0,0,9,26,46
00000000000000000490,200,56.82108718734939,0.028592599123590468,0.027545379333113185,2042.1250017175785,0,0,1,2,2
00000000000000000176,200,57.57078123654925,0.031182624287066196,0.024880521195754457,2738.043269676738,0,0,2,2,4
000000000000000000b8,200,63.38427842953775,0.07329873247513718,0.017372965105396543,915.0345723575273,0,0,1,5,8
00000000000000000407,200,64.77033181444267,0.0409894039568669,0.03903188462998375,2940.105108450899,0,0,1,1,2
00000000000000000293,200,79.98016578303394,0.057591079903736464,0.03770367751102344,3078.3125503832366,0,0,1,3,3
000000000000000005bd,200,80.35210356082959,0.17210523671747047,0.04301426211877535,1380.0119367225602,0,0,11,60,77
000000000000000005f9,200,82.72769193980548,0.04556705462990296,0.026763474081374583,1049.3986210819912,0,0,3,6,7
000000000000000003a1,200,86.18179453551271,0.007463662780501257,0.006244575773340366,1895.7953656423786,0,0,1,2,3
000000000000000004f5,200,88.60608818523346,0.2563504266811948,0.018682257454562978,573.2638068055194,0,0,3,9,25
00000000000000000375,200,95.5630931810218,0.021093196529603397,0.021093196529603397,2047.0759503902307,0,0,1,3,3
00000000000000000426,200,100.48245150246142,0.15514522532870734,0.07579151440042609,2088.2219994606003,0,0,0,2,3
00000000000000000114,200,101.12796373567441,0.05639896403989475,0.0464972731588692,1857.14835554201,0,0,0,1,3
00000000000000000363,195,110.17260076441559,0.03184662148512307,0.022154538494724263,1350.8115066763187,0,0,0,5,11
000000000000000006b7,200,116.79011193181987,0.04382741249801969,0.04382741249801969,1609.1028402197526,0,0,0,5,5
000000000000000004f7,200,119.50713421837098,0.08506099755216368,0.05423233242830605,1739.8316967687679,0,0,0,1,2
000000000000000000e2,200,120.43928132388447,0.11931782089846821,0.021194215434837793,1834.4576800837367,0,0,0,2,5
0000000000000000024c,200,124.33573066514863,0.06706691592899461,0.044446486779123884,1580.5406263374307,0,0,0,1,3
000000000000000005de,200,128.48727612910156,0.44039618924220747,0.04115661554523076,2793.4395182405588,0,0,0,4,8
000000000000000005cc,200,129.8297864106299,0.04232711856608762,0.032667035185521165,3377.7868822306227,0,0,0,1,1
000000000000000001a8,200,134.89933642873197,0.08459613617259787,0.014212225986525384,2517.7713721301297,0,0,0,2,2
00000000000000000465,200,137.71422795615584,0.3931586965826135,0.06804455406965215,3193.920188304879,0,0,0,1,1
00000000000000000161,200,137.835468961136,0.2626390660340995,0.0600578560191507,1935.7463710228194,0,0,0,1,2
000000000000000004c5,200,142.10259846010126,0.2619524229780147,0.06417383359757789,996.0594878665993,0,0,0,4,10
0000000000000000040f,200,146.6947069277398,0.4423028178407422,0.16804705275490628,1622.4331026651107,0,0,0,1,8
000000000000000000f0,200,157.197339811796,0.03895662295070412,0.02609384183709451,1458.5335487590978,0,0,0,1,1
0000000000000000047e,200,157.9530953704209,0.13621826568086504,0.05681066520304123,1471.2782458625502,0,0,0,2,7
000000000000000004c0,200,168.22077236114868,0.09423854379064589,0.05803569619480009,1747.2407391077463,0,0,0,2,4
00000000000000000206,200,171.02283408589358,0.04716550856247825,0.02034429405247129,2120.6891767071525,0,0,0,1,1
