parent_label,inner_m,outer_m,n_sites,mean_sim_all,median_sim_all,mean_sim_good,mean_sim_bad
built_loss,0,1000,90,0.8079106489852904,0.8083715396861371,0.8226802926697726,0.8514925995010378
built_loss,0,2000,90,0.7762673787711198,0.7815739682419047,0.79770691673275,0.8321686523954794
built_loss,0,3000,90,0.7554328134576898,0.7558743547003199,0.7869370300292274,0.82817122644096
built_loss,0,4000,90,0.7447182030520993,0.7435575926631851,0.7837788950509043,0.82617006927938
built_loss,0,5000,90,0.7407684514308016,0.7431717503472287,0.7803497108422284,0.8215299620307956
built_loss,0,6000,90,0.7406044260268854,0.7443210737844062,0.7797339702288224,0.8206715375708774
built_loss,0,7000,90,0.7403951350699589,0.7441659556285949,0.7799047561009582,0.819808192998116
built_loss,0,8000,90,0.7407852583135018,0.7452659992164725,0.7800803245147081,0.8197890855628343
built_loss,500,1000,90,0.8078892972475625,0.8177970207978273,0.8278759307563895,0.8576371174726674
built_loss,500,2000,90,0.7767768017324393,0.7794065164816497,0.797585967737275,0.8360172245931118
built_loss,500,3000,90,0.7564488653039758,0.7570613852308272,0.7871919335525179,0.8318025016435854
built_loss,500,4000,90,0.7463636134353243,0.7454086815863452,0.7839132394836308,0.8285079534023195
built_loss,500,5000,90,0.7423641713690499,0.7443036481766363,0.7800072731277651,0.8231465743205818
built_loss,500,6000,90,0.742339025197381,0.7432030032330452,0.7801789422952498,0.8212809466207086
built_loss,500,7000,90,0.741649994020214,0.7458169499953697,0.7798679834451504,0.82092055592452
built_loss,500,8000,90,0.7410889934660402,0.7449288980291247,0.7796687448904656,0.8205564177046702
built_loss,1000,2000,90,0.7768017023908524,0.7770247922990716,0.7980466624854591,0.8336018320047818
built_loss,1000,3000,90,0.7574706762546117,0.7569260488869536,0.7869318545071656,0.8269839873102087
built_loss,1000,4000,90,0.7481057684151494,0.7516130478751388,0.7839408689822139,0.8264846498041668
built_loss,1000,5000,90,0.7446364115382669,0.7489578761440119,0.7798379255947974,0.8235179814371109
built_loss,1000,6000,90,0.7434105575337641,0.7474023655976896,0.7800897415142971,0.8233188058387152
built_loss,1000,7000,90,0.7427435696812452,0.7480934977500897,0.7800255297964365,0.8224451300373136
built_loss,1000,8000,90,0.7421371071612259,0.7492484734650364,0.7798385719949976,0.8214155713088775
built_loss,2000,3000,90,0.7631865287710095,0.7646794102105806,0.7859978540339482,0.8241945251088967
built_loss,2000,4000,90,0.7562904877738441,0.7546463714851942,0.7832109198750816,0.821311439759281
built_loss,2000,5000,90,0.746346543553255,0.7490800694995694,0.7807656700449802,0.8246681458821676
built_loss,2000,6000,90,0.7453325272769626,0.7501921139614285,0.7802376192455276,0.8243847050472902
built_loss,2000,7000,90,0.7441495674656345,0.7504935913057489,0.7801915899561742,0.8232754106544212
built_loss,2000,8000,90,0.7433577619253232,0.7524508948962445,0.7806342821309493,0.8221625402354807
built_loss,3000,4000,90,0.776509782727985,0.7765484933851035,0.793076067684695,0.8240496941120706
built_loss,3000,5000,90,0.7468971960067241,0.7487960588663181,0.7823507234121881,0.826983587122178
built_loss,3000,6000,90,0.7452802909449907,0.7469017034185512,0.7817830291858272,0.8267887827274182
built_loss,3000,7000,90,0.7442610764630034,0.747463186539792,0.7819329782053999,0.8258764569559202
built_loss,3000,8000,90,0.7435088196455168,0.7474810946312187,0.7824815692668707,0.8249654341552056
built_loss,4000,5000,90,0.7463057599012862,0.748438546316872,0.7833657595627904,0.8295002588134249
built_loss,4000,6000,90,0.7449983470109877,0.7466263808513038,0.7830328657691035,0.8288923704507767
built_loss,4000,7000,90,0.7434721643248151,0.747385830761025,0.7827667180588991,0.8277059470040636
built_loss,4000,8000,90,0.7431354982382866,0.7480512318636081,0.7831270068810641,0.8270240113406045
crop_loss,0,1000,68,0.8655099941704996,0.8815800460155834,0.8670619247525622,0.9135472540713562
crop_loss,0,2000,68,0.8367769017899896,0.8375136936184687,0.8357126274663476,0.8977647442108351
crop_loss,0,3000,68,0.82109522438099,0.8298379744432673,0.8237228208770718,0.892283695945389
crop_loss,0,4000,68,0.8113012269996128,0.8163874067744152,0.8193798989375569,0.8897861001704326
crop_loss,0,5000,68,0.8033707063759393,0.8152255269450046,0.8114454520672055,0.8806701565612988
crop_loss,0,6000,68,0.8026948504129081,0.8162507056319233,0.8116709150648402,0.8799697296640491
crop_loss,0,7000,68,0.8030700056012793,0.8167032440488904,0.8116905879785001,0.8804338835217207
crop_loss,0,8000,68,0.803269169078758,0.8144651948588759,0.811323725269734,0.8802817388196535
crop_loss,500,1000,68,0.862856081644515,0.87628109075247,0.8737841172834973,0.9123722893806298
crop_loss,500,2000,68,0.8320573373972938,0.8337939300436445,0.8363572273026915,0.8967572842825258
crop_loss,500,3000,68,0.8187305649715713,0.8275358622794922,0.8248501676350515,0.8910127799119116
crop_loss,500,4000,68,0.8102621457710808,0.8207789668886589,0.8193796589580111,0.8882464000239616
crop_loss,500,5000,68,0.8018731104338466,0.8164664978368932,0.8118721994582009,0.8806467012776062
crop_loss,500,6000,68,0.8018017655910405,0.8148739871504238,0.8120001579284947,0.8798034651713944
crop_loss,500,7000,68,0.801570480481607,0.816797652424678,0.8115423097486653,0.8796675306823811
crop_loss,500,8000,68,0.801771849786059,0.8157599769869718,0.8119228014403619,0.8791903344407329
crop_loss,1000,2000,68,0.8301834365473032,0.8330102220702763,0.8351795798384716,0.8987692436750649
crop_loss,1000,3000,68,0.8168492655295863,0.8300247809724798,0.8246258600349874,0.8911180250773146
crop_loss,1000,4000,68,0.8084960185047292,0.8208276987675653,0.8198810326403151,0.888640821177412
crop_loss,1000,5000,68,0.8013533030859465,0.8181979549324173,0.8116045504408119,0.8801918128546105
crop_loss,1000,6000,68,0.800596618997728,0.8162503811647874,0.8113812434200952,0.8796903151068478
crop_loss,1000,7000,68,0.8009897905559902,0.8171059244639792,0.8117210728890236,0.8796241140389517
crop_loss,1000,8000,68,0.8009275696753138,0.8179144184303869,0.8114095718322956,0.8795238638093641
crop_loss,2000,3000,68,0.8151561218881547,0.8272388275496336,0.8231337494105563,0.8920068574061113
crop_loss,2000,4000,68,0.8093247676709006,0.8161152710189508,0.8179461813851284,0.8881896995222827
crop_loss,2000,5000,68,0.7995073285525285,0.8141175897626025,0.8105326287293056,0.8810211471910597
crop_loss,2000,6000,68,0.7983504692777977,0.8123486841725938,0.8096107301895004,0.8811346092429073
crop_loss,2000,7000,68,0.7994232524349929,0.81281790861121,0.8101436902483601,0.8802977101677246
crop_loss,2000,8000,68,0.7989678457051115,0.8123322319988739,0.8102376500103531,0.8803310073194572
crop_loss,3000,4000,68,0.8134093276167826,0.8186901578723882,0.8151431470111213,0.884815901200652
crop_loss,3000,5000,68,0.7988038850813444,0.8105637751833341,0.8107880149479739,0.8818829603589474
crop_loss,3000,6000,68,0.7967030782891137,0.8062563163205068,0.8086224207084887,0.8825715739538508
crop_loss,3000,7000,68,0.7975384310169712,0.8077661193074709,0.8086855230596184,0.8818889092701185
crop_loss,3000,8000,68,0.7975190176678378,0.8064239173173755,0.8087025921379392,0.881931180950048
crop_loss,4000,5000,68,0.7985339285406335,0.806141963286038,0.8108706977554943,0.883913760538176
crop_loss,4000,6000,68,0.7961017120873033,0.8021729483464677,0.8091142103050358,0.8840448893268325
crop_loss,4000,7000,68,0.7973925819229379,0.8019708393716298,0.8090100764383987,0.8832466821059874
crop_loss,4000,8000,68,0.7971262599871547,0.8034578193158878,0.8094377317804063,0.8833977838370233
stable_built,0,1000,236,0.8273810429009586,0.8310118885058859,0.8327515783549099,0.8607832401720209
