inner_m,outer_m,raw_mcc,raw_f1,raw_abs_rho,raw_ci_w,raw_retention,raw_autocorr,raw_contam_excl,d_contamination,d_separability,d_autocorrelation,d_confidence,d_retention,diag_abs_rho,z_contamination,z_separability,z_autocorrelation,z_confidence,z_retention,retention_ok,desirability,z_composite,disqualified
3000,8000,0.8422269658965419,0.9255749092192488,0.15336605452256005,0.11212311411622236,323.8,0.775173353749642,1.0,1.0,0.8422269658965419,0.22482664625035798,0.9355928469301135,0.995633187772926,0.15336605452256005,0.5163977794943223,0.6573552068909728,0.6546226565223551,0.7984188752308702,0.5511467665172964,True,0.6737164879153928,0.629558324016868,False
2000,8000,0.8403533569950203,0.9259490001065405,0.10830492410088713,0.10832924538105426,324.2,0.7763085075888647,1.0,1.0,0.8403533569950203,0.22369149241113528,0.9932844839083733,0.9985443959243087,0.10830492410088713,0.5163977794943223,0.5280619895887676,0.5840727092544207,1.0436882820320095,0.5652596891100566,True,0.6791093560809859,0.6233456444074357,False
3000,7000,0.8415600231196987,0.925343688856497,0.13974589277099966,0.11202095810056396,322.2,0.7755557216241733,1.0,1.0,0.8415600231196987,0.2244442783758267,0.9371462870151323,0.9839883551673946,0.13974589277099966,0.5163977794943223,0.6113310994561199,0.6308584472557012,0.8050231483648991,0.494695076146252,True,0.672282752305461,0.6057844944339025,False
2000,7000,0.8398307723299094,0.9257336383215172,0.10253789943721461,0.10887485760689193,322.6,0.7767205019550828,1.0,1.0,0.8398307723299094,0.2232794980449172,0.9849876068519423,0.9868995633187776,0.10253789943721461,0.5163977794943223,0.4919996861858997,0.558467209975772,1.0084150566475458,0.5088079987390142,True,0.6766255773035136,0.5950030875185462,False
2000,6000,0.8392173728271839,0.9256442836431977,0.10044039072412585,0.10788762528020426,321.4,0.7769569068209916,1.0,1.0,0.8392173728271839,0.2230430931790084,1.0,0.9781659388646288,0.10044039072412585,0.5163977794943223,0.4496704705558116,0.5437746192030796,1.072238531850323,0.46646923096072984,True,0.676995457054563,0.5851495487216728,False
3000,6000,0.840786871283963,0.9252786577569753,0.13819956960448948,0.1125302337837433,320.8,0.775785545920357,1.0,1.0,0.840786871283963,0.22421445407964302,0.9294019632425451,0.9737991266375549,0.13819956960448948,0.5163977794943223,0.5579777618282982,0.6165748396807565,0.7720990401706006,0.44529984707158965,True,0.6700500909099469,0.5775114551918855,False
500,8000,0.8409514675500723,0.9225232930450389,0.1462500940017816,0.11535758514105945,324.4,0.7763370831346256,1.0,1.0,0.8409514675500723,0.22366291686537443,0.8864077166034223,1.0,0.1462500940017816,0.5163977794943223,0.5693361519298403,0.5822967356577835,0.5893139101003049,0.5723161504064367,True,0.6675585610240535,0.5636424709430248,False
1000,8000,0.8395968185604381,0.9236039130351624,0.11179812959022603,0.11384415552224274,324.4,0.7765080106692049,1.0,1.0,0.8395968185604381,0.22349198933079506,0.9094217527379781,1.0,0.11179812959022603,0.5163977794943223,0.47585510258023805,0.5716735688811376,0.6871554567520246,0.5723161504064367,True,0.6698287166310305,0.5546709667064628,False
500,6000,0.8401401758560103,0.9222322695246312,0.1381789350456571,0.11527118408414234,321.8,0.7767414515465239,1.0,1.0,0.8401401758560103,0.22325854845347615,0.8877215781938337,0.9810771470160119,0.1381789350456571,0.5163977794943223,0.5133508749541328,0.5571651903548339,0.5948996426219948,0.48058215355349193,True,0.6653249373337841,0.5316696251354492,False
500,7000,0.840504909813564,0.9222974336999901,0.1404176090723393,0.11660916527461873,322.8,0.7766004176021096,1.0,1.0,0.840504909813564,0.22339958239789037,0.8673755065416515,0.9883551673944689,0.1404176090723393,0.5163977794943223,0.5385202829309956,0.5659304669170184,0.5084006423120421,0.5158644600353942,True,0.663873369089003,0.5316212148247602,False
1000,7000,0.8391239838274129,0.923379857822451,0.11200267485340203,0.11451163011637633,322.8,0.7768516556361793,1.0,1.0,0.8391239838274129,0.2231483443638207,0.8992717700514369,0.9883551673944689,0.11200267485340203,0.5163977794943223,0.4432259216260875,0.5503159929639087,0.6440039643874046,0.5158644600353942,True,0.6671455132119407,0.5268889177768117,False
4000,8000,0.8384412025570439,0.9184746366322273,0.14564179511175412,0.11793924686621744,323.6,0.7744750927366068,1.0,1.0,0.8384412025570439,0.22552490726339325,0.8471495604980599,0.9941775836972346,0.14564179511175412,0.5163977794943223,0.39610883807252023,0.6980196622380084,0.42241234230986063,0.5440903052209164,True,0.6631378345686921,0.5203526257289313,False
2000,5000,0.8376287865108875,0.925553015482049,0.0989378175446397,0.10922759661277057,318.4,0.7780208162290254,1.0,1.0,0.8376287865108875,0.2219791837709746,0.979623665161872,0.9563318777292577,0.0989378175446397,0.5163977794943223,0.3400459722790231,0.4776525218792125,0.9856108710610766,0.360622311515023,True,0.6714796754456008,0.5149811681622979,False
1000,6000,0.8386678700060344,0.9232948398139225,0.1064169205169269,0.11484823803688646,321.6,0.7770425221786724,1.0,1.0,0.8386678700060344,0.22295747782132758,0.8941531264425886,0.9796215429403206,0.1064169205169269,0.5163977794943223,0.41175061033025323,0.5384536144537649,0.6222426355826466,0.4735256922571119,True,0.6654353865768081,0.507026359116503,False
500,5000,0.8394057557031145,0.9224495914545653,0.13029503466736134,0.11603318899690711,320.6,0.7770043861477347,1.0,1.0,0.8394057557031145,0.2229956138522653,0.8761341159299534,0.9723435225618635,0.13029503466736134,0.5163977794943223,0.46267031705201933,0.540823773350912,0.5456368699802085,0.4382433857752096,True,0.6627545607686389,0.5021104708617382,False
4000,7000,0.8376234212983444,0.9182661913515101,0.12963567243090174,0.1171566953508281,321.8,0.7747469706834,1.0,1.0,0.8376234212983444,0.22525302931659996,0.8590494656065664,0.9810771470160119,0.12963567243090174,0.5163977794943223,0.3396757319419743,0.6811224152333953,0.4730034300277054,0.48058215355349193,True,0.6628737906179188,0.501442995936267,False
3000,5000,0.8383310973020028,0.9250807958415608,0.1264594487530703,0.11345964283672436,316.8,0.7771310445510075,1.0,1.0,0.8383310973020028,0.22286895544899255,0.9152688623284684,0.9446870451237266,0.1264594487530703,0.5163977794943223,0.38851074080975695,0.5329519383949979,0.7120137754941537,0.3041706211439806,True,0.6639863251641004,0.48815001302873073,False
1000,5000,0.8374998903399952,0.9232585974033493,0.11388265319654658,0.11412841554395062,319.4,0.7777718994910713,1.0,1.0,0.8374998903399952,0.22222810050892872,0.9050991398263122,0.9636098981077147,0.11388265319654658,0.5163977794943223,0.3311511593759327,0.4931227270003045,0.668778361557538,0.3959046179969253,True,0.6642777300365899,0.47318315051696974,False
4000,6000,0.8365760760419079,0.9181836128805541,0.1238021514962265,0.11739793845478394,320.0,0.7750227376947316,1.0,1.0,0.8365760760419079,0.22497726230526838,0.8553809914055703,0.967976710334789,0.1238021514962265,0.5163977794943223,0.26740096973257316,0.6639834624012387,0.4574073308654885,0.41707400188606747,True,0.6606912493163349,0.4686391769528857,False
4000,5000,0.8333385435641729,0.9179774808638965,0.1169291361275449,0.11822401182714855,315.0,0.7762267353022148,1.0,1.0,0.8333385435641729,0.22377326469778525,0.8428192692051963,0.9315866084425037,0.1169291361275449,0.5163977794943223,0.04398668629978439,0.5891548666781965,0.4040026033545071,0.2406624694765561,True,0.6539181842697107,0.36445754946761816,False
500,4000,0.8377731233399288,0.9209613458576928,0.11924900109947947,0.12186332646771443,315.4,0.7838371779478109,1.0,1.0,0.8377731233399288,0.21616282205218906,0.7874778660757361,0.9344978165938864,0.11924900109947947,0.5163977794943223,0.3500063076439973,0.11616494339157901,0.16872494738817712,0.2547753920693162,True,0.643069808988474,0.2919005977311294,False
1000,4000,0.8333563861880731,0.9206277801571545,0.09906289264392723,0.1198106635077886,307.6,0.7846883672856447,1.0,1.0,0.8333563861880731,0.21531163271435527,0.8186917784668074,0.8777292576419217,0.09906289264392723,0.5163977794943223,0.04521796260685646,0.06326342394614175,0.3014273316000473,-0.020426598489519943,True,0.6393561254487683,0.18743376648946278,False
500,3000,0.8305076897740022,0.9123451560314015,0.10493738343308079,0.12641461125056655,311.2,0.7931985799926223,1.0,1.0,0.8305076897740022,0.20680142000737767,0.7182685476185573,0.9039301310043669,0.10493738343308079,0.5163977794943223,-0.1513636848187946,-0.4656473165815936,-0.12551056701575775,0.10658970484532704,True,0.6231313644866141,-0.026129337696850715,False
0,8000,0.8423498220271666,0.9216233325723039,0.2634646123317131,0.13019551594344453,324.4,0.7764482735785785,0.0,0.0,0.8423498220271666,0.22355172642142151,0.6607740489373185,1.0,0.2634646123317131,-1.9364916731037087,0.6658332112284123,0.575386236228959,-0.36994186285834757,0.5723161504064367,True,0.026324666934383553,-0.1293129309109872,False
0,6000,0.8416872294661413,0.9214429700157556,0.2593516486373245,0.12961160650222095,322.4,0.7764520678802214,0.0,0.0,0.8416872294661413,0.22354793211977864,0.6696532943363444,0.9854439592430859,0.2593516486373245,-1.9364916731037087,0.6201093016622817,0.5751504199267325,-0.3321927649660225,0.5017515374426321,True,0.026314460267190205,-0.1449675622762203,False
1000,3000,0.8246921289421305,0.9118036716759296,0.09992502923150608,0.12432507602864451,303.0,0.7933782981115736,1.0,1.0,0.8246921289421305,0.20662170188842643,0.7500431597338795,0.844250363901019,0.09992502923150608,0.5163977794943223,-0.5526814677129516,-0.47681681923137015,0.009575568047425405,-0.1827252083062712,True,0.6196076883485503,-0.14504621560520692,False
0,7000,0.8419753258131794,0.9214550327583069,0.26258060407803485,0.13080684328600278,323.2,0.7764729722933977,0.0,0.0,0.8419753258131794,0.22352702770660227,0.651477871978209,0.9912663755458516,0.26258060407803485,-1.9364916731037087,0.6399901335537808,0.5738512081403636,-0.40946349766892476,0.5299773826281543,True,0.02622856228807291,-0.1482248634084795,False
0,5000,0.841058690594363,0.9216872678162181,0.25425132703831677,0.13105586006464623,321.2,0.7767416298600819,0.0,0.0,0.841058690594363,0.22325837013991812,0.6476911870405299,0.9767103347889375,0.25425132703831677,-1.9364916731037087,0.5767353548019123,0.5571541081458139,-0.42556215627965877,0.4594127696643498,True,0.02613165404553566,-0.18000810797681274,False
0,4000,0.8404031814198349,0.9201859550957308,0.245764473034166,0.13883160720231724,317.6,0.7835826888938605,0.0,0.0,0.8404031814198349,0.2164173111061395,0.529448935551198,0.9505094614264923,0.245764473034166,-1.9364916731037087,0.5315002526004775,0.13198146862023283,-0.9282555863958497,0.3323964663295028,True,0.025042900222779305,-0.38544216121397606,False
500,2000,0.8214103144951503,0.897257258715018,0.09649227003901362,0.14072401667580792,302.4,0.8094007560391809,1.0,1.0,0.8214103144951503,0.19059924396081906,0.5006719250693088,0.8398835516739447,0.09649227003901362,0.5163977794943223,-0.7791515427079719,-1.472614501305405,-1.050597760410826,-0.20389459219541337,True,0.5705267959208878,-0.5934684229822802,False
0,3000,0.833403065552698,0.9114749361030752,0.2266264122293577,0.14485622737811576,313.8,0.7936407606601474,0.0,0.0,0.833403065552698,0.20635923933985256,0.4378352756234861,0.9228529839883554,0.2266264122293577,-1.9364916731037087,0.04843919262401028,-0.49312889810728167,-1.3177406002084868,0.19832370169827376,True,0.023900638644748413,-0.7217213794447205,False
