parent_label,min_dist_m,n_sites_paired,median_dor,p25_dor,p75_dor,median_m_g,median_m_b,median_n_good,median_n_bad
stable_built,0,235,0.33853046632391376,0.2507822435223235,0.44032898443675206,0.07246472018847686,0.03860970492372513,300.0,300.0
stable_built,25,235,0.3431973895197561,0.2622939255615465,0.44194551321130915,0.07246472018847686,0.039656037272196576,300.0,300.0
stable_built,50,235,0.3490161961536235,0.26649708965914287,0.45164386714250027,0.07246472018847686,0.040998496772088444,300.0,300.0
stable_built,75,235,0.3490161961536235,0.2754339701041548,0.45164386714250027,0.0725784710820323,0.041787279227698516,300.0,299.0
stable_built,100,235,0.35041691466670527,0.27789301679213047,0.4535650965574325,0.07330329160584037,0.04214258529240167,300.0,298.0
stable_built,150,235,0.35431358136597524,0.2802314584710779,0.4547051637274667,0.07330329160584037,0.04305173247013372,300.0,297.0
stable_built,200,235,0.3561270604879166,0.2809775830086257,0.4561964862064669,0.07330329160584037,0.043873052555488436,299.0,295.0
stable_built,300,235,0.3614669611632707,0.3035935293374496,0.45850521507455144,0.07359029825944645,0.045016937612713526,299.0,292.0
stable_built,500,235,0.3794050748598636,0.3140506792798564,0.46700599282458555,0.07498517869947212,0.049704105482753835,296.0,283.0
stable_built,1000,235,0.4055789015865901,0.3257257321867508,0.4773875800394841,0.07888698381600523,0.054118936869584536,283.0,248.0
stable_built,2000,235,0.4052794706839717,0.31761175026872973,0.4788087347945206,0.08732427475139508,0.06163847253710077,236.0,170.0
stable_built,3000,235,0.39444186016811894,0.30672669181190737,0.47421844822311554,0.10670991806443067,0.06717287171538207,155.0,100.0
stable_built,4000,235,0.38250954328713427,0.28742336428463466,0.4690292519843362,0.11295511817480372,0.06862162363366357,100.0,100.0
stable_crop,0,523,0.3495567340100152,0.22193223886639646,0.45811531516451953,0.04641657511957342,0.018571780935517767,300.0,300.0
stable_crop,25,523,0.35082422500452126,0.22193223886639646,0.45811531516451953,0.04641657511957342,0.01860822790496921,300.0,300.0
stable_crop,50,523,0.35386443462234707,0.22320329034844918,0.45930529959117594,0.04641657511957342,0.01910408819191527,300.0,300.0
stable_crop,75,523,0.35895929695368606,0.22408294896615705,0.46184299285719616,0.04641657511957342,0.019351323662289623,300.0,300.0
stable_crop,100,523,0.362472891544598,0.22408294896615705,0.4665673426509686,0.04641657511957342,0.01995560910005838,300.0,300.0
stable_crop,150,523,0.3688211992621212,0.23613069049283508,0.46946133473508056,0.04641657511957342,0.020408835741141072,300.0,299.0
stable_crop,200,523,0.37241141098343944,0.24101039030359078,0.4710162086862506,0.04646596824903888,0.02112090310424284,300.0,299.0
stable_crop,300,523,0.37929484722299944,0.25685879520701993,0.47464182462107307,0.04646596824903888,0.022227844145783583,299.0,297.0
stable_crop,500,523,0.38842375585302186,0.27094831404561415,0.48375201608727625,0.046628539477194766,0.023221362838725047,295.0,293.0
stable_crop,1000,523,0.4054564370213022,0.27994999311885843,0.4941510760893403,0.04796558235566721,0.026372397292499274,283.0,277.0
stable_crop,2000,523,0.42145083750296214,0.29364340707194564,0.4995388098010102,0.05437773568249062,0.030786874783009188,233.0,221.0
stable_crop,3000,523,0.4157118903006185,0.29562228792585676,0.5017325086974205,0.06278924726171398,0.03510702758458335,160.0,135.0
stable_crop,4000,523,0.3997647023762702,0.2859897531960134,0.4969381258008163,0.06978703617694837,0.03877416639540336,100.0,100.0
stable_nature,0,702,0.5727789443669948,0.476788745316041,0.7378628531105527,0.038090315177145576,0.05936846490197617,300.0,300.0
stable_nature,25,702,0.5718972515432139,0.476788745316041,0.7362313606908493,0.03824851440353248,0.06001671951361941,300.0,300.0
stable_nature,50,702,0.5710131906795857,0.4776906299985989,0.7325768041329452,0.038394039429752475,0.06001671951361941,300.0,300.0
stable_nature,75,702,0.5697132549331835,0.47875577691343074,0.7325768041329452,0.038647429523015794,0.0601747459093228,300.0,300.0
stable_nature,100,702,0.5670735377065772,0.47802450135527835,0.7295630052286223,0.038647429523015794,0.06027142413158766,300.0,300.0
stable_nature,150,702,0.5687834699817846,0.48045800611782674,0.7290158899552102,0.038647429523015794,0.06068424020947895,300.0,299.0
stable_nature,200,702,0.5687834699817846,0.4806753270844811,0.7250073884822508,0.038834554230606874,0.06112500625215181,299.0,298.0
stable_nature,300,702,0.5681796174065061,0.4806753270844811,0.7215141048284937,0.039554155870699936,0.061521134032324974,298.0,296.0
stable_nature,500,702,0.5712313442621291,0.4880651329524372,0.7112826232944727,0.04104189763930678,0.06319963807016887,295.0,291.0
stable_nature,1000,702,0.568295055592859,0.4901552150044632,0.6983368721189372,0.04329945477553286,0.06658851410931786,281.0,273.0
stable_nature,2000,702,0.5703109136311839,0.4878260576871077,0.697456885659331,0.04775938377182639,0.0726165497661228,230.0,213.0
stable_nature,3000,702,0.564532864392046,0.48402181838502384,0.6889843985601517,0.05328371426351521,0.07836895342968464,149.0,134.0
stable_nature,4000,702,0.5657836671154393,0.47861094530628595,0.6861453399241386,0.060572908448795836,0.08594199590986953,100.0,100.0
