parent_label,inner_m,outer_m,n,spearman_dor_ghm,spearman_p,pearson_dor_ghm,pearson_p,spearman_dor_lo_ghm,spearman_dor_lo_p,spearman_dor_hi_ghm,spearman_dor_hi_p,n_sites_valid,rank_in_class
built_loss,0,1000,86,0.27532430775036554,0.010297301965327707,0.2633252651178464,0.014299749395652208,0.24981367045615355,0.020357887755352445,0.2835133732723242,0.00816344218314523,86,31
built_loss,0,2000,89,0.27728975144705487,0.00851921801269983,0.31700887566286884,0.002471116595043246,0.2081035069799115,0.05035064214489974,0.3409771876064011,0.0010759468256814264,89,32
built_loss,0,3000,89,0.29124957439564186,0.005621067214088965,0.3062415564070426,0.0035148701816894536,0.2275621382362956,0.03197749067085496,0.33043922369765066,0.001563518036198288,89,38
built_loss,0,4000,90,0.2794172120014816,0.007651445770981935,0.28278183704853527,0.006922284520271027,0.22005185825410542,0.037157227718701516,0.3076676132855908,0.003178777117886368,90,33
built_loss,0,5000,90,0.2813433757253982,0.007226154253783124,0.2840152299058674,0.006670776223155631,0.21287401736839937,0.043965186295176525,0.30373297114870146,0.0036111387923096444,90,34
built_loss,0,6000,90,0.28751697740461785,0.006000164174102259,0.28394349804158786,0.0066851792533285225,0.21239659217187307,0.044452510898873476,0.3218586656788904,0.0019781314452762917,90,35
built_loss,0,7000,90,0.28751697740461785,0.006000164174102259,0.28394349804158786,0.0066851792533285225,0.21517882866197474,0.04167452464939098,0.3088200189323785,0.003061242522004581,90,35
built_loss,0,8000,90,0.28751697740461785,0.006000164174102259,0.28394349804158786,0.0066851792533285225,0.20745771082849734,0.04976164560184715,0.30539572786763797,0.003422392702546125,90,35
built_loss,500,1000,77,0.19672432830327566,0.08637926767642978,0.20351515244972782,0.07585531414658292,0.16691203533308793,0.14681034893228595,0.20745044429254955,0.07024233700838114,77,27
built_loss,500,2000,88,0.19382903032651194,0.07037629147207942,0.23445872506702395,0.027898196061915903,0.11237716177661937,0.2972149460857567,0.2825014969532599,0.007658622172404466,88,26
built_loss,500,3000,88,0.09698496002254238,0.368699248089537,0.05893143714859001,0.5854813327922123,0.036895495051248645,0.7328943994186989,0.18305096685569375,0.08780834168053642,88,16
built_loss,500,4000,90,0.08416676956002798,0.4302782961356165,0.055024245993870756,0.6064834945571943,0.061546693007367155,0.5644339506055353,0.17227641272585092,0.10444490964522644,90,15
built_loss,500,5000,90,0.08042968267687368,0.4511019888356684,0.03485952447837872,0.7442859952526657,0.050318969420093014,0.6376454878098786,0.14206692184220274,0.1816436068030052,90,14
built_loss,500,6000,90,0.11681277523974153,0.2728813338707683,0.06845523342579944,0.5214589407174017,0.06577766802485903,0.5379166168507805,0.18648392805696173,0.07842729655722148,90,17
built_loss,500,7000,90,0.11936453060048564,0.26246921949374874,0.07074156556957198,0.5076104185469541,0.07198419557970119,0.50016410392994,0.19552208091533935,0.06477251455734982,90,18
built_loss,500,8000,90,0.11936453060048564,0.26246921949374874,0.07074156556957198,0.5076104185469541,0.07815779725892084,0.4640303268001201,0.18931555336049716,0.07392166138318616,90,18
built_loss,1000,2000,83,0.12560345913269802,0.2578718761244052,0.07846986350512501,0.4807224751567339,0.08509298518114268,0.4443514544191814,0.16176902732882747,0.14399418052937893,83,21
built_loss,1000,3000,83,0.017001805129927376,0.8787486222831434,-0.002979366147018628,0.978673709902524,-0.04185382645564837,0.7071485363259733,0.07938373703874732,0.4756111950529893,83,6
built_loss,1000,4000,85,0.027789720539378542,0.8006825975964237,-0.022479380504979142,0.8381918857851735,-0.05436779362907955,0.6211717072088391,0.10994723470783663,0.3164906544885971,85,10
built_loss,1000,5000,89,-0.023493360572012262,0.8270139296539992,-0.07017487031254198,0.5134495086459342,-0.08638066053796392,0.420877684930641,0.05861423220973784,0.5853285607611356,89,2
built_loss,1000,6000,90,-0.001144174177882043,0.9914605160611425,-0.09273393824934162,0.3846671486945541,-0.04269662921348314,0.6894688122368998,0.0751286167016504,0.4815789781428531,90,3
built_loss,1000,7000,90,0.012948100588550027,0.9035924547492953,-0.07818807772304562,0.46385669110130834,-0.046203234967279905,0.6654315634934166,0.09857184014487386,0.3553215756123444,90,5
built_loss,1000,8000,90,0.020405811417047368,0.8486036741367304,-0.027006725127240918,0.8005209372253884,-0.03286825534016545,0.7584323424312481,0.10868008396098285,0.30789849254944873,90,7
built_loss,2000,3000,66,-0.07266464878405178,0.562037012886206,-0.18548073806104487,0.135952753567074,-0.08164074731238911,0.5146145900609318,0.04715582924538149,0.7069277682606151,66,1
built_loss,2000,4000,68,0.020651219605298313,0.8672481879409173,-0.1402245434414041,0.25406598287905896,-0.05722029239989311,0.6430184531274983,0.08497156162919417,0.4908545729211968,68,8
built_loss,2000,5000,89,0.010503915560095337,0.9221740292251235,-0.09325380119664792,0.38473003623962715,-0.04227102485529452,0.6940813001331096,0.06130405175348997,0.5682011817831033,89,4
built_loss,2000,6000,90,0.04386549779808207,0.6814206560088858,-0.10335160517889698,0.3323592090551938,0.0044367617401325265,0.9668951810378181,0.09073548174671768,0.3950382165552423,90,11
built_loss,2000,7000,90,0.05002263653949047,0.6396300373198602,-0.08446755818533014,0.4286264505544801,0.0065440177799728355,0.9511881138111178,0.09705724986623863,0.3627982520705106,90,12
built_loss,2000,8000,90,0.05586697946248508,0.6009736584525307,-0.03285157062253694,0.7585512176108921,0.01658640984483681,0.8766923385756569,0.10868008396098285,0.30789849254944873,90,13
built_loss,3000,4000,48,0.027029960920538432,0.8552955570689368,-0.1888969847577654,0.1985018865106552,-0.01650021710811984,0.9113697334381131,0.07142857142857142,0.6294905664416662,48,9
built_loss,3000,5000,89,0.12478719782090571,0.24395471888675566,0.029215641023171344,0.7857900283129422,0.15338781069118151,0.15125600679318352,0.1537282941777324,0.1503395650165844,89,20
built_loss,3000,6000,90,0.13860970490183971,0.1926140122803906,0.0430870824100018,0.6867764791687281,0.16858871465613037,0.1121940571412838,0.17039963781536815,0.10833476619427623,90,22
built_loss,3000,7000,90,0.14911305922541876,0.1607086775221369,0.06021335343140096,0.5729168157366351,0.17094291476313947,0.1071973446799245,0.174433057579125,0.10011055672699648,90,23
built_loss,3000,8000,90,0.20401695682594556,0.05376089344318162,0.12744321679959286,0.2312986923470914,0.22759188377165904,0.030979012065832204,0.23149360003292585,0.028138092521698466,90,29
built_loss,4000,5000,88,0.18821105279842207,0.07907788083965209,0.12243409567639472,0.25579214139199113,0.21209186009650946,0.047280275644933076,0.1898665069916523,0.07642883629390744,88,25
built_loss,4000,6000,90,0.18460715314647896,0.08153277243624389,0.10699553813356374,0.3155015852266344,0.20037864756965879,0.058272824584249566,0.18686257562662056,0.07781237425189726,90,24
built_loss,4000,7000,90,0.19759641107955714,0.06192786464730552,0.12323551138572887,0.24719497071568497,0.215261143351031,0.04159458779844901,0.2000987776268675,0.058632332602790486,90,28
built_loss,4000,8000,90,0.25319175206815653,0.016049654410697188,0.19091031553376425,0.07147712878565268,0.2757295139317611,0.008527565758944599,0.2661645470634234,0.011222947237979437,90,30
crop_loss,0,1000,61,0.10185087255420412,0.43476823193650405,0.08018590000521468,0.5390130512140356,0.11374933897408777,0.3827343246747538,0.1014806980433633,0.43644833044989606,61,32
crop_loss,0,2000,68,0.04977669198763217,0.6868679387300778,0.012003877974424988,0.9226034712035743,0.07038973928312402,0.5684094870809061,0.05909073558040997,0.6321810129577841,68,29
crop_loss,0,3000,68,0.06397679123563767,0.604237365160943,0.02178505057614183,0.860031203856385,0.08646028171164637,0.4832619065278087,0.026529755315494136,0.8299608554851369,68,30
crop_loss,0,4000,68,0.11688361262740009,0.3425004582621434,0.056902409078198074,0.6448677680735049,0.11531854792533497,0.34904674623020066,0.08386456464480664,0.49654073680151567,68,33
crop_loss,0,5000,68,0.12436538534946748,0.31227525852314486,0.06074633421087965,0.6226522860223226,0.1282207886399206,0.29739237674710023,0.09543077451616597,0.43885882342467847,68,34
crop_loss,0,6000,68,0.12566324388288735,0.30721255783989077,0.06322790770313896,0.608485009425204,0.1347864259266328,0.27313100664116596,0.11195938466236591,0.36335735178204254,68,35
crop_loss,0,7000,68,0.12566324388288735,0.30721255783989077,0.06322790770313896,0.608485009425204,0.13803107226018244,0.2616440161246301,0.10226361797152343,0.40663396089540405,68,35
crop_loss,0,8000,68,0.12566324388288735,0.30721255783989077,0.06322790770313896,0.608485009425204,0.13951979234263465,0.2564843139439869,0.11768523113333586,0.3391773860703599,68,35
crop_loss,500,1000,54,0.09418715456451304,0.4981238467523991,0.08648093016651544,0.5340739909268819,0.16805793786925857,0.22446763760087435,0.025957690108633504,0.8521959403515112,54,31
crop_loss,500,2000,67,-0.028892968313512655,0.8164627573258658,-0.093517850353942,0.45161642713997247,-0.05243834304413761,0.6734346160209222,0.012730465320456541,0.9185610515645195,67,9
crop_loss,500,3000,67,-0.03396120999281667,0.7849825162771895,-0.09907972187620921,0.42504121209187545,-0.030369542661026427,0.8072590522470664,-0.030170005587038074,0.8085013038721657,67,6
crop_loss,500,4000,67,0.016362040067044458,0.8954451081604817,-0.06608893707116043,0.5951676468855421,0.004589352701731982,0.9705976637292187,-0.0018756484954904626,0.9879811793947676,67,23
crop_loss,500,5000,68,-0.012711379165553306,0.9180570341023329,-0.07167713790441071,0.5613385279051006,-0.02393403824865442,0.84638437751107,-0.01889529335420086,0.8784460502493437,68,14
crop_loss,500,6000,68,-0.013360308432263233,0.9138892800607362,-0.06247111553866714,0.6127906600150129,-0.023628659770202697,0.8483209930542813,-0.01889529335420086,0.8784460502493437,68,11
crop_loss,500,7000,68,-0.013360308432263233,0.9138892800607362,-0.06247111553866714,0.6127906600150129,-0.023285108981944497,0.8505007548393255,-0.018666259495362065,0.8799084427058234,68,11
crop_loss,500,8000,68,-0.013360308432263233,0.9138892800607362,-0.06247111553866714,0.6127906600150129,-0.02626254914684887,0.8316482900395157,-0.026377066076268274,0.830925010486876,68,11
crop_loss,1000,2000,67,-0.056389177109106875,0.6503758964131912,-0.10469949999191504,0.3991192136412588,-0.07965519993614814,0.5216817548027266,-0.0028733338654321973,0.9815891056135518,67,2
crop_loss,1000,3000,67,-0.043459174714661986,0.7269397032146585,-0.10837661651536534,0.38267302803575387,-0.035318062095937436,0.7766104602206205,-0.04226195227073191,0.7341798217786686,67,3
crop_loss,1000,4000,67,0.015005187963923701,0.9040727370595817,-0.059573954396730563,0.6320220280274085,-0.03511852502194908,0.7778400816851655,0.008021390374331552,0.948633170611436,67,22
crop_loss,1000,5000,68,-0.009695766690842463,0.937451936692239,-0.06046032858045292,0.6242940307524436,-0.017139367103103407,0.8896677239589099,-0.018857121044394392,0.8786897543212336,68,15
crop_loss,1000,6000,68,-0.007023705004389816,0.9546680069280008,-0.04526471815926887,0.7139695057736314,-0.018208191777684464,0.8828344237829028,-0.02175821658968584,0.8602018762330964,68,16
crop_loss,1000,7000,68,-0.007023705004389816,0.9546680069280008,-0.04526471815926887,0.7139695057736314,-0.02206359506813757,0.8582599542685675,-0.007214566553422146,0.9534375084775636,68,16
crop_loss,1000,8000,68,-0.007023705004389816,0.9546680069280008,-0.04526471815926887,0.7139695057736314,-0.02332328129175096,0.8502585036398459,-0.021567355040653508,0.8614159978135525,68,16
crop_loss,2000,3000,57,-0.0651413015296863,0.6302165022025074,-0.15973184312365357,0.23527878137311414,-0.04796473943479389,0.7231087289483806,-0.06643764583873478,0.6234096643512925,57,1
crop_loss,2000,4000,57,0.01976925071298937,0.883951308115028,-0.08106212558596429,0.5488830472921473,0.0044075706507648435,0.9740419412887328,0.023399014778325126,0.8628334146818385,57,24
crop_loss,2000,5000,67,-0.03256445047489824,0.7936262534165198,-0.07894244506016346,0.525426040156427,-0.023545374730624954,0.8499937114396706,-0.006664538271210792,0.957313160394399,67,8
crop_loss,2000,6000,68,-0.03259915257472229,0.7918525385696807,-0.05331780897305565,0.6658679577703046,-0.03824865442607932,0.7568102151918695,-0.0015650647020651219,0.9898937977068039,68,7
crop_loss,2000,7000,68,-0.03481314654349734,0.7780664746739546,-0.05357693846668419,0.6643409989472968,-0.03183570637859296,0.7966213740633469,-0.0030919570943237773,0.9800356024018867,68,4
crop_loss,2000,8000,68,-0.03481314654349734,0.7780664746739546,-0.05357693846668419,0.6643409989472968,-0.042409436194984156,0.7313065670711449,-0.0004198954078711302,0.9972885141298234,68,4
crop_loss,3000,4000,45,0.18339920948616598,0.2278484765201767,0.14056534965790424,0.35705538746913124,0.2758893280632411,0.06659088052780385,0.12108036890645585,0.4281876239587137,45,38
crop_loss,3000,5000,67,0.03296352462287493,0.7911540369654123,0.005540908480132582,0.9645049793192049,0.0650889935349988,0.6007616509341407,0.015204725037912047,0.902803249781701,67,25
crop_loss,3000,6000,68,0.040920716112531966,0.740400069685392,0.03101768296940841,0.8017393665873798,0.08008550597396648,0.516207660070527,0.012635034545940373,0.9185475049728659,68,28
crop_loss,3000,7000,68,0.040271786845822034,0.7443751081828179,0.03089395665524217,0.8025141946250455,0.06424399740428292,0.6027249349165159,0.018055502538458598,0.8838101000026392,68,26
crop_loss,3000,8000,68,0.040271786845822034,0.7443751081828179,0.03089395665524217,0.8025141946250455,0.06512196052983166,0.5977672900502283,0.01881894873458793,0.8789334696244502,68,26
crop_loss,4000,5000,67,-0.01680102162981882,0.8926563513997483,-0.02025064605325209,0.8707893615197424,0.020592226035597416,0.8686290699058825,-0.008260834863117569,0.9471019967905658,67,10
crop_loss,4000,6000,68,-0.006107569569034622,0.9605758187304162,0.013809014356672755,0.911008807773702,0.01889529335420086,0.8784460502493437,-0.014047410008779631,0.9094788867620558,68,19
crop_loss,4000,7000,68,-0.006107569569034622,0.9605758187304162,0.01366808003340709,0.911913415796345,0.019887773409168988,0.8721137593470142,-0.00961942207122953,0.9379434657590551,68,19
crop_loss,4000,8000,68,-0.006107569569034622,0.9605758187304162,0.01366808003340709,0.911913415796345,0.01702485017368401,0.890400347515668,-0.011871588349811045,0.9234538494573715,68,19
stable_built,0,1000,207,0.4189071446353,3.3458635129203865e-10,0.4513074993129167,8.805979553388431e-12,0.43784161877239125,4.1848078974466174e-11,0.4126592417010315,6.461449776091003e-10,207,38
stable_built,0,2000,232,0.3486514225747612,4.927349227360123e-08,0.3915887827839251,6.374136781958451e-10,0.3641726040719676,1.1010170144531148e-08,0.32381810878185,4.6039663099640586e-07,232,31
stable_built,0,3000,233,0.3497028722350611,4.172597951270403e-08,0.38661807432484496,1.0029891157208107e-09,0.37908835281929854,2.2298463106839766e-09,0.3071221487308508,1.7634322853080287e-06,233,32
stable_built,0,4000,234,0.3636333410600601,1.0037287398265147e-08,0.4029757537953592,1.50396354991438e-10,0.39921093729878326,2.3037456226138185e-10,0.32826460058676304,2.7816599022488266e-07,234,33
stable_built,0,5000,235,0.3791681692511119,1.885604585933264e-09,0.4250963783513248,9.930545989455544e-12,0.40453456868891413,1.1486143474164455e-10,0.343735841031189,6.411521420636291e-08,235,34
stable_built,0,6000,235,0.3833263983282014,1.211322016588544e-09,0.42984330781343266,5.5094917355584794e-12,0.4112254616401749,5.273583492530081e-11,0.35201253848927844,2.922735600297223e-08,235,35
stable_built,0,7000,235,0.3833263983282014,1.211322016588544e-09,0.42984330781343266,5.5094917355584794e-12,0.41556585018539577,3.1532650734995506e-11,0.3498146041961404,3.608713036461197e-08,235,35
stable_built,0,8000,235,0.3833263983282014,1.211322016588544e-09,0.42984330781343266,5.5094917355584794e-12,0.41192266082276896,4.8578658749814154e-11,0.3482445190342774,4.1911406114015546e-08,235,35
stable_built,500,1000,174,0.19182664654460546,0.01122155211937005,0.2324499589750995,0.0020251733035276578,0.14456106381161193,0.057020183840619076,0.24629288988866424,0.0010527968828021794,174,29
stable_built,500,2000,226,0.06941743661715592,0.2987860733800738,0.10831795824061433,0.10434838276631414,0.02757683261211389,0.6800826853321383,0.1041420087585929,0.11848500249586422,226,9
stable_built,500,3000,227,0.08709417299828262,0.19106072564206208,0.11258247419177517,0.09059908529789795,0.0703994304110438,0.2909089463678022,0.08587435803262006,0.19737463046957654,227,14
stable_built,500,4000,228,0.11706357442767222,0.07773607777453713,0.13089128862525062,0.04837572057897709,0.09814342138168651,0.1395800101286767,0.11800517780610463,0.07536053639541902,228,22
stable_built,500,5000,235,0.13574024244777938,0.03758089526823235,0.1542374330182535,0.017982286507578604,0.11660702562253228,0.07440557002946416,0.1410533810461686,0.03064931198245571,235,25
stable_built,500,6000,235,0.14557592905952083,0.02563884807831966,0.16470426515238695,0.011448628952109297,0.12694573127317446,0.05195160490936339,0.14946138126808878,0.021913100759175727,235,26
stable_built,500,7000,235,0.1487003800382812,0.022603560739369758,0.16891270234074035,0.00947994550174556,0.12540153679713723,0.054895376949289164,0.15478838987674182,0.017570954485351686,235,27
stable_built,500,8000,235,0.1487003800382812,0.022603560739369758,0.16891270234074035,0.00947994550174556,0.13031152043052507,0.04598807111246697,0.15381194115416977,0.0183056596799435,235,27
stable_built,1000,2000,205,-0.05548188491593653,0.429451198825424,-0.011787048092775946,0.8667888341003532,-0.09489629619311611,0.17590987038774827,-0.02881558969787299,0.681704095774267,205,2
stable_built,1000,3000,208,-0.037729433038357525,0.5884695619456983,-0.003088466015595131,0.9646858616060248,-0.06379451974417649,0.35995754555992704,-0.03946034895691646,0.5714643979471394,208,3
stable_built,1000,4000,209,0.010141174614858825,0.884131588807088,0.026589223802555424,0.7023440538786239,-0.010739260739260738,0.8773503222141041,0.007078447867921551,0.918979337056334,209,4
stable_built,1000,5000,233,0.06294232381993223,0.33879212239597356,0.08354518633925194,0.20386175352403602,0.04221263419132296,0.5214132762436305,0.06369747612162885,0.3330173504742018,233,8
stable_built,1000,6000,235,0.0623216547846912,0.34150102464566984,0.08537623097725544,0.1921665603997091,0.039062572239636786,0.551273870017995,0.07654488797655042,0.24245612778703154,235,7
stable_built,1000,7000,235,0.07243011826495417,0.26878483888143234,0.09882494916927624,0.13089554365741565,0.051776748314793744,0.4295159131052809,0.08472634469749506,0.1955849460470644,235,11
stable_built,1000,8000,235,0.07332797026269798,0.2628797756629986,0.09986575048682028,0.12686835022998272,0.05000416100307914,0.4454995981076758,0.08758449147919035,0.18087742856813194,235,12
stable_built,2000,3000,160,-0.05553439587483886,0.48549529448892564,0.016658507308887512,0.8343876232913325,-0.08567619828899567,0.2813853169232174,-0.0444743935309973,0.5765527995977285,160,1
stable_built,2000,4000,161,0.054123533471359564,0.4953024114180543,0.09041441477446983,0.2540242883523347,0.04533586381412469,0.5679595669475793,0.047952610996089266,0.5458056703786769,161,5
stable_built,2000,5000,232,0.07026479514269952,0.28652374419520654,0.11816245568425204,0.07243505573175048,0.05646765547609116,0.3919273098972301,0.07981141250343557,0.2258885569845646,232,10
stable_built,2000,6000,235,0.09064606507808814,0.16604596133135355,0.13308480087467278,0.04151506929942602,0.06498562142269318,0.32122306501511405,0.11027212960137589,0.09168544050055849,235,15
stable_built,2000,7000,235,0.10306064893154687,0.11510325206345078,0.1461009629101257,0.025105552655805486,0.07554902123960905,0.24865659580034413,0.12168160004438403,0.06255753997973254,235,19
stable_built,2000,8000,235,0.10384014350837285,0.11236638715532046,0.14708980671224967,0.02412702194927763,0.07400112809416812,0.25851128729725464,0.1269031965750321,0.05203089715974628,235,20
stable_built,3000,4000,85,0.3372093023255814,0.0016002467653036029,0.32037434331623194,0.002797230009135664,0.260719171389486,0.01595426254173269,0.34705882352941175,0.001137430628643396,85,30
stable_built,3000,5000,232,0.09549884775576649,0.14704331646797816,0.1368367664225806,0.03727083705565706,0.059169999750138855,0.369628756818357,0.1417164306760281,0.030943118116966692,232,16
stable_built,3000,6000,235,0.1157554069923345,0.07656190129166107,0.15505885606218794,0.017372046550324725,0.06810544906469897,0.29848980646629625,0.1670836916419318,0.01029535054522412,235,21
