parent_id,parent_label,min_dist_m,n_good,n_bad,m_g,m_b,dor
00000000000000000023,stable_built,0,300,230,0.18266921662872904,0.03780993882020982,0.17148985691209614
00000000000000000023,stable_built,25,300,229,0.18266921662872904,0.039229850001337586,0.17679141511019442
00000000000000000023,stable_built,50,300,229,0.18266921662872904,0.039229850001337586,0.17679141511019442
00000000000000000023,stable_built,75,300,226,0.18266921662872904,0.03963393189526061,0.17828776676460462
00000000000000000023,stable_built,100,300,217,0.18266921662872904,0.04092150956092562,0.18301970863510708
00000000000000000023,stable_built,150,300,206,0.18266921662872904,0.048252086896433274,0.20895467918994548
00000000000000000023,stable_built,200,300,201,0.18266921662872904,0.048252086896433274,0.20895467918994548
00000000000000000023,stable_built,300,300,184,0.18266921662872904,0.048252086896433274,0.20895467918994548
00000000000000000023,stable_built,500,300,172,0.18266921662872904,0.048252086896433274,0.20895467918994548
00000000000000000023,stable_built,1000,300,156,0.18266921662872904,0.050257000613011596,0.21576360620941612
00000000000000000023,stable_built,2000,281,146,0.20292120596734226,0.050257000613011596,0.1985044498562024
00000000000000000023,stable_built,3000,184,129,0.21125230024365207,0.050257000613011596,0.19218054749175392
00000000000000000023,stable_built,4000,100,100,0.227235091937037,0.050257000613011596,0.1811114693430989
00000000000000000637,stable_crop,0,300,276,0.06068695642394164,0.01277418526833718,0.1738903721599242
00000000000000000637,stable_crop,25,300,276,0.06068695642394164,0.01277418526833718,0.1738903721599242
00000000000000000637,stable_crop,50,300,276,0.06068695642394164,0.01277418526833718,0.1738903721599242
00000000000000000637,stable_crop,75,300,275,0.06068695642394164,0.015316495785276963,0.2015236853046219
00000000000000000637,stable_crop,100,300,275,0.06068695642394164,0.015316495785276963,0.2015236853046219
00000000000000000637,stable_crop,150,300,273,0.06068695642394164,0.015798247321059965,0.20655298734019314
00000000000000000637,stable_crop,200,300,272,0.06068695642394164,0.015798247321059965,0.20655298734019314
00000000000000000637,stable_crop,300,300,270,0.06068695642394164,0.01915515540703989,0.2399129352609021
00000000000000000637,stable_crop,500,300,268,0.06068695642394164,0.01915515540703989,0.2399129352609021
00000000000000000637,stable_crop,1000,281,259,0.06068695642394164,0.020563681227737107,0.25308947500991263
00000000000000000637,stable_crop,2000,232,230,0.06068695642394164,0.020563681227737107,0.25308947500991263
00000000000000000637,stable_crop,3000,142,186,0.06068695642394164,0.020563681227737107,0.25308947500991263
00000000000000000637,stable_crop,4000,100,100,0.07391943267822942,0.024813513866457915,0.2513194909560994
00000000000000000446,stable_built,0,297,300,0.06038952716687351,0.06704420779273193,0.5261103569903041
00000000000000000446,stable_built,25,297,300,0.06038952716687351,0.06704420779273193,0.5261103569903041
00000000000000000446,stable_built,50,297,300,0.06038952716687351,0.06704420779273193,0.5261103569903041
00000000000000000446,stable_built,75,297,300,0.06038952716687351,0.06704420779273193,0.5261103569903041
00000000000000000446,stable_built,100,297,300,0.06038952716687351,0.06704420779273193,0.5261103569903041
00000000000000000446,stable_built,150,297,300,0.06038952716687351,0.06704420779273193,0.5261103569903041
00000000000000000446,stable_built,200,296,300,0.060594201441662075,0.06704420779273193,0.5252667139488341
00000000000000000446,stable_built,300,295,300,0.062372657517796394,0.06704420779273193,0.5180484601550591
00000000000000000446,stable_built,500,290,298,0.06662846144954207,0.06704420779273193,0.5015550910464474
00000000000000000446,stable_built,1000,273,290,0.06662846144954207,0.07533937115821114,0.5306791670605951
00000000000000000446,stable_built,2000,244,185,0.06894469169384958,0.08564447788675529,0.5540134416825695
00000000000000000446,stable_built,3000,196,100,0.06894469169384958,0.0897957460323621,0.5656765681008897
00000000000000000446,stable_built,4000,100,100,0.07277492874350311,0.0897957460323621,0.5523489777944908
000000000000000003da,stable_nature,0,247,271,0.007263189932173009,0.421862652222334,0.9830744522476441
000000000000000003da,stable_nature,25,247,271,0.007263189932173009,0.421862652222334,0.9830744522476441
000000000000000003da,stable_nature,50,247,271,0.007263189932173009,0.421862652222334,0.9830744522476441
000000000000000003da,stable_nature,75,247,271,0.007263189932173009,0.421862652222334,0.9830744522476441
000000000000000003da,stable_nature,100,247,271,0.007263189932173009,0.421862652222334,0.9830744522476441
000000000000000003da,stable_nature,150,247,271,0.007263189932173009,0.421862652222334,0.9830744522476441
