parent_label,inner_m,outer_m,n_sites_valid,n_sites_total,median_dor,median_m_g,median_m_b,median_n_good,median_n_bad
built_loss,0,1000,86,90,0.47674070965128357,0.0775726696713146,0.06174222403996017,28.0,55.0
built_loss,0,2000,89,90,0.47710911884432494,0.06009064257450418,0.05526155918612914,120.0,164.0
built_loss,0,3000,89,90,0.48706185749548675,0.05612198397298651,0.051700544232430666,272.0,350.0
built_loss,0,4000,90,90,0.4938443938101962,0.052775125493513694,0.04905947874203648,400.0,400.0
built_loss,0,5000,90,90,0.4857765906774256,0.05140222254727782,0.04835062827472049,600.0,600.0
built_loss,0,6000,90,90,0.4852385440443515,0.05140222254727782,0.04835062827472049,600.0,600.0
built_loss,0,7000,90,90,0.4852385440443515,0.05140222254727782,0.04835062827472049,600.0,600.0
built_loss,0,8000,90,90,0.4852385440443515,0.05140222254727782,0.04835062827472049,600.0,600.0
built_loss,500,1000,77,90,0.5128520007386753,0.09064186890533255,0.10475600700890508,22.0,36.0
built_loss,500,2000,88,90,0.5149634275267545,0.06655033707127668,0.06904108528153963,113.0,149.0
built_loss,500,3000,88,90,0.5253165435410228,0.05770351217052751,0.06474878691487804,264.0,310.0
built_loss,500,4000,90,90,0.5250827533336857,0.05566674098525518,0.06265016864532763,390.0,374.0
built_loss,500,5000,90,90,0.5359189821540262,0.05356183789909946,0.056958745703941036,590.0,570.0
built_loss,500,6000,90,90,0.5328423990720469,0.05356183789909946,0.056958745703941036,590.0,574.0
built_loss,500,7000,90,90,0.5328423990720469,0.05356183789909946,0.056958745703941036,590.0,574.0
built_loss,500,8000,90,90,0.5328423990720469,0.05356183789909946,0.056958745703941036,590.0,574.0
built_loss,1000,2000,83,90,0.5245417826333981,0.07091379778384259,0.07708372042567742,90.0,110.0
built_loss,1000,3000,83,90,0.540183771554928,0.059967960042315104,0.067638981303772,240.0,254.0
built_loss,1000,4000,85,90,0.5556808174721551,0.05710284907641381,0.06498871452120154,368.0,336.0
built_loss,1000,5000,89,90,0.5526226084557462,0.05491802516222033,0.06217434981986847,568.0,526.0
built_loss,1000,6000,90,90,0.5518746169218989,0.054167835576606205,0.06269239808974411,568.0,528.0
built_loss,1000,7000,90,90,0.5518746169218989,0.054167835576606205,0.06269239808974411,568.0,528.0
built_loss,1000,8000,90,90,0.5518746169218989,0.054167835576606205,0.06217306743756662,568.0,528.0
built_loss,2000,3000,66,90,0.550819008307766,0.06413636996641428,0.08972002649155221,146.0,151.0
built_loss,2000,4000,68,90,0.5601430948891046,0.06133535502529852,0.08191761712870257,263.0,241.0
