strategy,n_parents,median_ci_width,p90_ci_width,median_neff_min,p25_neff_min,min_neff10_coverage,min_neff20_coverage,min_neff30_coverage,pooled_auc,x_obs_fallback_parents,median_ci_width__built_loss,median_neff_min__built_loss,median_dor__built_loss,n_parents__built_loss,median_ci_width__crop_loss,median_neff_min__crop_loss,median_dor__crop_loss,n_parents__crop_loss
random_200,158,0.053176847809278616,0.09651915041011068,33.172996198256484,17.02234175008464,0.8481012658227848,0.7025316455696202,0.5759493670886076,0.9115494736662181,0,0.05146703691137243,30.362113152692064,0.5214722313810917,90,0.05670972812325148,36.47868786474872,0.46339102647356867,68
fscs_200,158,0.053176847809278616,0.09651915041011068,33.172996198256484,17.02234175008464,0.8481012658227848,0.7025316455696202,0.5759493670886076,0.9115494736662181,0,0.05146703691137243,30.362113152692064,0.5214722313810917,90,0.05670972812325148,36.47868786474872,0.46339102647356867,68
random_150,158,0.06160916818447931,0.11244026018289,31.39331671003459,16.3052389281791,0.8481012658227848,0.6835443037974683,0.5316455696202531,0.9109136887840092,0,0.061222143274952845,28.46906590510315,0.5272863636018372,90,0.06160916818447931,35.99933592330868,0.46656663297615375,68
feature_diverse_150,158,0.06180968432491041,0.10372180091853839,34.87888051090329,18.957379409406702,0.8607594936708861,0.7341772151898734,0.5822784810126582,0.9014748160688102,0,0.060471447572780446,30.938481843096614,0.5271638734782166,90,0.06579948455554668,41.21702707835635,0.45125970187195985,68
fscs_150,158,0.06500777830929644,0.1085972860334049,31.690219175174953,17.073128572382082,0.8481012658227848,0.7025316455696202,0.5506329113924051,0.9110123714476663,0,0.06056799014145907,28.776518095015014,0.5147774065502857,90,0.06711970644228835,36.74612898302308,0.4666357693677925,68
spatial_thin_100_cap150,158,0.06837876361468026,0.13559643926960208,37.73786213352572,20.972670769863978,0.9240506329113924,0.7658227848101266,0.6392405063291139,0.8937639285965945,0,0.06641941171226512,33.70451868176193,0.508894133667616,90,0.07214566820774668,41.9852966932352,0.451193560154844,68
spatial_thin_150_cap150,158,0.07063417325060267,0.1478540092463429,39.415043259507875,22.57003261510918,0.9367088607594937,0.8037974683544303,0.6518987341772152,0.8864145308154129,0,0.06858530372087218,35.92467681999055,0.5093253967415547,90,0.07410237724503543,45.66945624687192,0.46481946526287726,68
hybrid_150_diverse_150,158,0.0713783477788198,0.16407252399750988,39.79621743408378,22.699597708788414,0.9367088607594937,0.7974683544303798,0.6582278481012658,0.8855999287623295,0,0.06776906935016289,35.42509531922539,0.5010539992797649,90,0.07489434279167202,44.67291549918606,0.4581614724360329,68
random_100,158,0.07360636451259489,0.12959959567810353,28.975131063034368,15.409636675445809,0.8481012658227848,0.689873417721519,0.44936708860759494,0.9125685266784169,0,0.06821217375948482,26.83253012259851,0.5126297208421483,90,0.07604977435503446,31.309394758903274,0.45716515192234525,68
fscs_100,158,0.07420039319169558,0.1369370611222186,29.779414348480493,15.991518594921713,0.8481012658227848,0.6772151898734177,0.4936708860759494,0.9077048670084922,0,0.07130221913342336,26.702192481973192,0.5121187969179624,90,0.07920192031687981,33.27723566027544,0.4468953311129422,68
feature_diverse_100,158,0.07634953208689937,0.12031411532410358,31.89608674872244,18.67087866056349,0.8734177215189873,0.7341772151898734,0.5506329113924051,0.8839773233456177,0,0.07505731621917627,29.25946377176892,0.5220728561764542,90,0.07860193996127408,38.18149196260355,0.42172482134892253,68
spatial_thin_100_cap100,158,0.07852165245670054,0.15666514186198857,33.46492529655863,20.257255050012382,0.9177215189873418,0.759493670886076,0.6075949367088608,0.8977612452756296,0,0.07872498941282363,31.804916206339065,0.5065996590052286,90,0.07808679333825203,38.162575080649546,0.44734096269638396,68
spatial_thin_150_cap100,158,0.07959019895225586,0.15524227327865958,38.24672299128248,22.737463092458164,0.9367088607594937,0.8037974683544303,0.6518987341772152,0.8891243199950006,0,0.0791753716585421,34.82683394682452,0.5128564383410119,90,0.07962182434215384,42.45090098566861,0.4666275147746596,68
spatial_thin_250_cap150,158,0.08071931256593268,0.17708266920872,42.31307949018728,26.16147220289035,0.9430379746835443,0.8227848101265823,0.6835443037974683,0.8744173631456421,0,0.08073682029800466,37.53081764418182,0.5104018034041955,90,0.08014281347381028,47.74649508908875,0.4676916309315978,68
hybrid_150_diverse_100,158,0.08206161687238525,0.14506112130336088,39.52413591064252,22.987979862075665,0.9430379746835443,0.8037974683544303,0.6582278481012658,0.8742372594666842,0,0.08208542717862377,35.457600749439656,0.5142783095851355,90,0.08162395697606353,43.82071516127935,0.43452161140820483,68
spatial_thin_250_cap100,158,0.08557557940807514,0.1770838887444859,43.09087387114889,25.532420340963665,0.9430379746835443,0.8164556962025317,0.6835443037974683,0.8751619093767767,0,0.08532459124253694,37.71723642335377,0.5121979262857153,90,0.08588492079666872,47.95594517701072,0.46105954035378427,68
hybrid_300_diverse_100,158,0.09305739813065891,0.19302811554184238,41.20471069669155,25.092471206227298,0.9430379746835443,0.8164556962025317,0.6835443037974683,0.8672872395199185,0,0.09302140941101623,37.73497257661107,0.5211578614523527,90,0.09310099109678172,45.79021131550512,0.46635945708192605,68
spatial_thin_300_cap100,158,0.09370184099609533,0.18955396509889957,41.74220807938798,24.348357434422702,0.9430379746835443,0.8227848101265823,0.6708860759493671,0.8697439510051633,0,0.09559388375771102,37.431927476358354,0.5131403654730478,90,0.09016468753582776,46.51378362909139,0.45568193085865105,68
spatial_thin_300_cap150,158,0.09394814631195722,0.19600686706780088,41.757860581462005,25.634931426063634,0.9430379746835443,0.8227848101265823,0.6708860759493671,0.8704638055908507,0,0.09733444067243097,36.957605380485056,0.5142247217099545,90,0.08879393268808174,46.9428714637771,0.4561664307388672,68
hybrid_300_diverse_150,158,0.09394814631195722,0.19600686706780088,41.757860581462005,25.634931426063634,0.9430379746835443,0.8227848101265823,0.6708860759493671,0.8704638055908507,0,0.09733444067243097,36.957605380485056,0.5142247217099545,90,0.08879393268808174,46.9428714637771,0.4561664307388672,68
fscs_60,158,0.0944342415935813,0.17779317538887576,25.416397300539394,15.077767973515227,0.8417721518987342,0.6518987341772152,0.34810126582278483,0.9044887972013033,0,0.09293514388887525,24.057349051411457,0.5191392719124419,90,0.09653583314124914,27.33391375325137,0.4670777160033922,68
random_60,158,0.09660247784301268,0.15971690969809987,24.73676227683388,14.238865810996819,0.8227848101265823,0.6455696202531646,0.2911392405063291,0.9089945966636401,0,0.09346325290137339,23.3235878914913,0.5256508612868588,90,0.09882983045747326,26.90208748677212,0.4565319598805796,68
feature_diverse_60,158,0.1004778236395481,0.1406646462049927,26.498256515292244,16.775365008462842,0.8670886075949367,0.6962025316455697,0.41139240506329117,0.8595189183535402,0,0.1004778236395481,22.89841267994546,0.522656864175717,90,0.10051637639242085,30.55531330295802,0.4005718843824846,68
spatial_thin_150_cap60,158,0.10092915024004279,0.1996165372573729,30.78447453379684,21.36872052921717,0.9367088607594937,0.7784810126582279,0.5316455696202531,0.8914612429464109,0,0.09499964115012058,28.56596337663862,0.5044594593749441,90,0.10516466542912767,33.490861885726126,0.47057609762988717,68
spatial_thin_100_cap60,158,0.10329655198664231,0.18616306724622964,27.250994846324474,16.973010566959964,0.9177215189873418,0.7025316455696202,0.3987341772151899,0.9017105947954518,0,0.10291068406294873,25.834523180326368,0.5148135163884916,90,0.1047305770938255,28.545704702562098,0.4506187280033881,68
spatial_thin_250_cap60,158,0.10423319640630146,0.2294553514558852,37.91794110044199,25.636690678643365,0.9430379746835443,0.8227848101265823,0.6772151898734177,0.8810763354348181,0,0.10281754561640774,35.801499535136216,0.5079212706392664,90,0.10637358106377029,40.37271038880769,0.4537159084485006,68
spatial_thin_300_cap60,158,0.10666574933163908,0.22720948095057594,41.18836842332031,25.030963439536777,0.9430379746835443,0.8227848101265823,0.6772151898734177,0.8812493053751063,0,0.10591700868506793,37.55270259505636,0.5116578062398687,90,0.1075218114991543,43.65972459181556,0.46846645227394934,68
random_40,158,0.11641200972466875,0.20527753491316156,20.244996432731558,12.67297791737214,0.8227848101265823,0.5189873417721519,0.0189873417721519,0.9039890191876302,0,0.11667680468037789,19.493759942935327,0.5282571067964688,90,0.11559932606038878,21.093089384915736,0.46518705677794414,68
