strategy,parent_id,parent_label,x_obs_source,n_good,n_bad,n_eff_good,n_eff_bad,n_eff_min,dor,ci_low,ci_high,ci_width
random_40,00000000000000000085,built_loss,test_site,40,40,29.16103005938943,11.667208571674754,11.667208571674754,0.5111964634573289,0.5018839813503561,0.5209380205498331,0.019054039199477013
random_40,00000000000000000114,built_loss,test_site,40,40,20.79859289501041,21.342538191741433,20.79859289501041,0.479083037111817,0.47388854493495963,0.4851781168180433,0.01128957188308366
random_40,0000000000000000024c,built_loss,test_site,40,40,27.701181480554418,17.139769283475527,17.139769283475527,0.4790371742580331,0.4724162531437871,0.48545342224763416,0.013037169103847057
random_40,00000000000000000375,built_loss,test_site,40,40,21.02009457645482,25.484892779818118,21.02009457645482,0.48092745557038774,0.47017533504753645,0.4941634130271057,0.023988077979569256
random_40,000000000000000004d2,built_loss,test_site,40,40,24.62048181665715,17.050350801482633,17.050350801482633,0.4718287732842935,0.46517299209535484,0.4795705395899068,0.014397547494551965
random_40,000000000000000005bd,built_loss,test_site,40,40,20.661369867895246,4.9859201593107,4.9859201593107,0.4965323888124003,0.49058817204834954,0.5017371264122635,0.011148954363913999
random_40,00000000000000000281,crop_loss,test_site,40,40,26.412396896165202,31.992597239755796,26.412396896165202,0.49909222418955185,0.4945871788455623,0.5017645066702651,0.007177327824702762
random_40,000000000000000003a2,crop_loss,test_site,40,40,21.063193762369306,26.90562804081096,21.063193762369306,0.5086554937720342,0.5030232535626066,0.5125722033280218,0.009548949765415204
random_40,00000000000000000001,built_loss,test_site,40,40,27.414146419969654,22.619877780864982,22.619877780864982,0.5051280222284441,0.5012931195367664,0.5098588245256218,0.00856570498885545
random_40,00000000000000000049,built_loss,test_site,40,40,26.682462506543626,4.331918082347235,4.331918082347235,0.5037178530963696,0.4966940427374967,0.5114865432781923,0.014792500540695641
random_40,0000000000000000004f,built_loss,test_site,40,40,27.3090903194188,22.37491904595857,22.37491904595857,0.5049484808286244,0.49856688159761936,0.5117510692467798,0.013184187649160461
random_40,0000000000000000005a,built_loss,test_site,40,40,25.01943402469346,20.62458384874623,20.62458384874623,0.5070086579401177,0.5036993649740258,0.5124915602021097,0.008792195228083943
random_40,00000000000000000079,built_loss,test_site,40,40,30.08865997055896,30.070840348205948,30.070840348205948,0.47405294220755817,0.46908813207898015,0.48367083112686826,0.014582699047888115
random_40,00000000000000000087,built_loss,test_site,40,40,27.2375987191073,26.196196668382775,26.196196668382775,0.49365961367232847,0.4777966116168112,0.5026096953991355,0.024813083782324274
random_40,000000000000000000a1,built_loss,test_site,40,40,29.35505834964425,8.334611594643215,8.334611594643215,0.5104986984839771,0.5042591852755808,0.5206354434443687,0.01637625816878796
random_40,000000000000000000b8,built_loss,test_site,40,40,30.87964131485377,7.588360191956595,7.588360191956595,0.5064180900143553,0.4894859133609373,0.5208958072873763,0.031409893926439
random_40,000000000000000000c0,built_loss,test_site,40,40,26.84293633258153,22.800556009234292,22.800556009234292,0.47734490687619335,0.4710513958005109,0.4899170843133759,0.018865688512864964
random_40,000000000000000000e2,built_loss,test_site,40,40,31.9583527348129,15.876313394682272,15.876313394682272,0.5122607862257356,0.49622579594238037,0.5199724979136711,0.023746701971290696
random_40,000000000000000000f0,built_loss,test_site,40,40,33.53209018801691,19.80458233826599,19.80458233826599,0.4777750611072945,0.4673371113951319,0.49345622872640044,0.026119117331268538
random_40,000000000000000000f8,built_loss,test_site,40,40,32.85684512543998,27.09371547299773,27.09371547299773,0.4976206503239297,0.48944580388397985,0.5065504471048898,0.017104643220909987
