strategy,n_parents,median_ci_width,p90_ci_width,median_neff_min,p25_neff_min,min_neff10_coverage,min_neff20_coverage,min_neff30_coverage,pooled_auc,x_obs_fallback_parents,median_ci_width__built_loss,median_neff_min__built_loss,median_dor__built_loss,n_parents__built_loss,median_ci_width__crop_loss,median_neff_min__crop_loss,median_dor__crop_loss,n_parents__crop_loss
random_200,158,0.006833433241135167,0.011955879520568096,33.172996198256484,17.02234175008464,0.8481012658227848,0.7025316455696202,0.5759493670886076,0.08759838497470317,0,0.006964061688183643,30.362113152692064,0.49721387207505474,90,0.006679699704159103,36.47868786474872,0.5035784573127988,68
fscs_200,158,0.006833433241135167,0.011955879520568096,33.172996198256484,17.02234175008464,0.8481012658227848,0.7025316455696202,0.5759493670886076,0.08759838497470317,0,0.006964061688183643,30.362113152692064,0.49721387207505474,90,0.006679699704159103,36.47868786474872,0.5035784573127988,68
feature_diverse_150,158,0.007559072262587591,0.01314272530655713,34.84295802689276,18.957379409406702,0.8607594936708861,0.7341772151898734,0.5822784810126582,0.09750408973476574,0,0.007738247231061257,30.938481843096614,0.49640078692082035,90,0.007324545529913795,41.21702707835635,0.5041242349565059,68
random_150,158,0.007761631441462441,0.013466578572133962,31.39331671003459,16.3052389281791,0.8481012658227848,0.6835443037974683,0.5316455696202531,0.08812165215309573,0,0.008053547835105979,28.46906590510315,0.4971259232319305,90,0.007289298781812087,35.99933592330868,0.503568980583075,68
fscs_150,158,0.007839672688790766,0.013325557148747471,31.690219175174953,17.073128572382082,0.8481012658227848,0.7025316455696202,0.5506329113924051,0.08815262619396742,0,0.00787666149134103,28.776518095015014,0.4981580472465163,90,0.007605582566165281,36.74612898302308,0.5037468651662896,68
spatial_thin_100_cap150,158,0.008531443986005999,0.015919002373521576,37.73786213352572,20.972670769863978,0.9240506329113924,0.7658227848101266,0.6392405063291139,0.10508560302214619,0,0.008874979540119371,33.70451868176193,0.49888906693566437,90,0.007906917846116135,41.9852966932352,0.5035585685569377,68
spatial_thin_150_cap150,158,0.008668905478940392,0.016447778804597354,39.415043259507875,22.57003261510918,0.9367088607594937,0.8037974683544303,0.6518987341772152,0.11256933473029854,0,0.009114773381498187,35.92467681999055,0.4991039023079931,90,0.00807687556601483,45.66945624687192,0.503967360460021,68
hybrid_150_diverse_150,158,0.008847474386451476,0.018184427803130142,39.79621743408378,22.699597708788414,0.9367088607594937,0.7974683544303798,0.6582278481012658,0.11316423053002557,0,0.009117394680515506,35.42509531922539,0.49989623207058276,90,0.008396631468353843,44.67291549918606,0.5035956151088454,68
feature_diverse_100,158,0.009274552329838537,0.015543362155426618,31.851337863683042,18.536586821427715,0.8670886075949367,0.7278481012658228,0.5506329113924051,0.11523851946803397,0,0.0099233760217117,29.22839466574235,0.49731388178663927,90,0.00874398704627416,38.47942285286838,0.5069445518150619,68
random_100,158,0.009320031016129854,0.01726757392666285,28.975131063034368,15.409636675445809,0.8481012658227848,0.689873417721519,0.44936708860759494,0.08656327511616728,0,0.009636116844881998,26.83253012259851,0.49866433660070764,90,0.008896796494548304,31.309394758903274,0.5027851361708885,68
fscs_100,158,0.009479444686206318,0.016092542051249818,29.779414348480493,15.991518594921713,0.8481012658227848,0.6772151898734177,0.4936708860759494,0.09113828312770389,0,0.009538387756123534,26.702192481973192,0.49852138450188244,90,0.008896879762269494,33.27723566027544,0.5043568188464207,68
