strategy,n_parents,median_ci_width,p90_ci_width,median_neff_min,p25_neff_min,min_neff10_coverage,min_neff20_coverage,min_neff30_coverage,pooled_auc
random_200,158,0.0629668297887504,0.08384744552092148,16.934548809365477,8.178326590308057,0.7088607594936709,0.3860759493670886,0.06329113924050633,0.9102017100831705
fscs_200,158,0.0629668297887504,0.08384744552092148,16.934548809365477,8.178326590308057,0.7088607594936709,0.3860759493670886,0.06329113924050633,0.9102017100831705
fscs_150,158,0.07092742405500538,0.09875764319800376,16.740890145998335,8.632738666472932,0.7088607594936709,0.36075949367088606,0.02531645569620253,0.9091525859378674
random_150,158,0.07102544306159453,0.09545469023008779,16.575756758111737,8.23724868535207,0.7088607594936709,0.34810126582278483,0.03164556962025317,0.908285831135279
feature_diverse_150,158,0.0715031127536799,0.09850027445015617,17.24167064505086,8.716070478989423,0.7215189873417721,0.43037974683544306,0.05063291139240506,0.9005366245010737
spatial_thin_100_cap150,158,0.07387944489778625,0.11592911407108501,18.973242317334176,9.822573063798442,0.7468354430379747,0.4240506329113924,0.0759493670886076,0.8923414120451588
hybrid_150_diverse_150,158,0.07917144112617508,0.12655105329686187,19.715037870705395,11.27174436903922,0.7784810126582279,0.4936708860759494,0.11392405063291139,0.8850139648026975
spatial_thin_150_cap150,158,0.08236667829933933,0.12766555636094262,19.85060002845627,10.98111263824265,0.7658227848101266,0.4873417721518987,0.10759493670886076,0.884486140083752
feature_diverse_100,158,0.08394300353163214,0.11047700032039065,16.811369803833664,9.547571129423716,0.7278481012658228,0.3860759493670886,0.006329113924050633,0.883278765422208
random_100,158,0.08444817329652027,0.11960822238269331,15.453383301550495,8.320463173446585,0.7088607594936709,0.2974683544303797,0.012658227848101266,0.9083628665278001
fscs_100,158,0.08722667279908228,0.11646707176108077,16.15615633505007,8.158711370710126,0.7088607594936709,0.34177215189873417,0.006329113924050633,0.9078238703733376
spatial_thin_100_cap100,158,0.08921888582849405,0.12867155612860956,17.998335867946977,10.204439585835914,0.7531645569620253,0.379746835443038,0.012658227848101266,0.8958081802526902
spatial_thin_150_cap100,158,0.09177353968496388,0.13253863662021068,19.3970584331092,10.886421028285849,0.7658227848101266,0.46835443037974683,0.02531645569620253,0.8885022209382358
hybrid_150_diverse_100,158,0.09268387679532555,0.12843818226910234,19.75383173460705,11.298904168888207,0.7784810126582279,0.4873417721518987,0.06962025316455696,0.8726603879698135
spatial_thin_250_cap150,158,0.09751205628091714,0.14932210941332544,21.383279649305994,12.58758797219241,0.8227848101265823,0.5506329113924051,0.20253164556962025,0.8719221812733811
spatial_thin_250_cap100,158,0.09957704255497302,0.15160773827820367,21.403147388554906,12.1752851423598,0.8227848101265823,0.5443037974683544,0.20253164556962025,0.8742813592257844
hybrid_300_diverse_150,158,0.10429860554177742,0.1600420934962754,21.705046954310113,12.643150387295469,0.8291139240506329,0.5759493670886076,0.2721518987341772,0.8698258261812597
spatial_thin_300_cap150,158,0.10429860554177742,0.1600420934962754,21.705046954310113,12.643150387295469,0.8291139240506329,0.5759493670886076,0.2721518987341772,0.8698258261812597
hybrid_300_diverse_100,158,0.10473833732203244,0.15393540635410197,22.01432351515202,13.1260482447946,0.8291139240506329,0.5632911392405063,0.26582278481012656,0.8671897953156857
spatial_thin_300_cap100,158,0.10705791517544577,0.16235636686881708,21.710224587553952,12.90793238643373,0.8291139240506329,0.5632911392405063,0.2468354430379747,0.8681424165258839
feature_diverse_60,158,0.10828854382145228,0.14003949577299496,15.478906614214793,9.47072172430526,0.7215189873417721,0.2848101265822785,0.0,0.8589209461624739
fscs_60,158,0.10951152019762336,0.1670986042252143,14.47348284101934,8.196538478643824,0.7025316455696202,0.22151898734177214,0.0,0.9027099801491926
random_60,158,0.10971913330884081,0.1519905863728249,13.749345877425032,7.89039412112494,0.6772151898734177,0.22151898734177214,0.0,0.907212007513041
spatial_thin_100_cap60,158,0.11057395027123476,0.15484464354156793,16.058179290655744,9.51972104010639,0.7341772151898734,0.26582278481012656,0.0,0.8963105172509322
spatial_thin_150_cap60,158,0.11384525636477585,0.16197137274964035,16.683682401724504,10.618390481065566,0.7658227848101266,0.31645569620253167,0.0,0.8946100944094666
spatial_thin_300_cap60,158,0.12202575479814229,0.18212914574238553,21.19737467476035,12.54993973023199,0.8227848101265823,0.5632911392405063,0.04430379746835443,0.8724066786382914
spatial_thin_250_cap60,158,0.12350204492308214,0.1732530029147257,20.165694342887036,12.789660142392542,0.8227848101265823,0.5126582278481012,0.006329113924050633,0.881014159174769
random_40,158,0.13299017270100194,0.18504511804869878,13.125039981649795,7.868553060014827,0.6645569620253164,0.0189873417721519,0.0,0.9064211965229931
