size,seed,parent_id,parent_label,n_eff_min,dor,ci_width
10,0,00000000000000000085,built_loss,6.456440044429556,0.3258428809326113,0.19658712067157885
10,0,00000000000000000114,built_loss,5.686781842190346,0.6410988856937143,0.3503067130638706
10,0,0000000000000000024c,built_loss,6.976439316290086,0.7285264600623029,0.1457666297022151
10,0,00000000000000000375,built_loss,7.625518708541607,0.6928633419679484,0.18318041111518657
10,0,000000000000000004d2,built_loss,5.578158471948846,0.658798628150888,0.09693683038677792
10,0,000000000000000005bd,built_loss,3.9643707334999125,0.5663254155346835,0.3098671740576176
10,0,00000000000000000281,crop_loss,8.481581788847931,0.5045985310732392,0.19159155199497196
10,0,000000000000000003a2,crop_loss,7.363869892671933,0.3395552229858621,0.24173798590717474
10,0,00000000000000000001,built_loss,7.653505301710917,0.5166677066817882,0.18167061003990892
10,0,00000000000000000049,built_loss,3.7571593436704944,0.4581211993092922,0.2735555937959928
10,0,0000000000000000004f,built_loss,8.267925830392588,0.44787000152726825,0.3656095624906751
10,0,0000000000000000005a,built_loss,8.603878631979034,0.4825090679508155,0.12246366005973236
10,0,00000000000000000079,built_loss,9.037648733078678,0.6032986962038432,0.2371311120669891
10,0,00000000000000000087,built_loss,8.771199113343563,0.5839074579599299,0.3903421426887043
10,0,000000000000000000a1,built_loss,4.774427334729299,0.42871658574231647,0.19721689919681495
10,0,000000000000000000b8,built_loss,5.628071566409673,0.41088361301200826,0.5207379412766103
10,0,000000000000000000c0,built_loss,9.286478480356708,0.5360036521627075,0.19638024742791582
10,0,000000000000000000e2,built_loss,8.113686723487623,0.5124015205178019,0.33586117246143266
10,0,000000000000000000f0,built_loss,7.692942227006049,0.6686641159761828,0.2782973591677839
10,0,000000000000000000f8,built_loss,7.323202229042443,0.4817230288554358,0.24842040365749007
10,0,0000000000000000011c,built_loss,3.4145531616024725,0.6948073459806863,0.1384930721419343
10,0,00000000000000000161,built_loss,7.84885748122408,0.6424283332244571,0.21795516614921073
10,0,0000000000000000016a,built_loss,4.082172162446892,0.1973246854539963,0.18748123697362745
10,0,00000000000000000176,built_loss,8.663970563255308,0.6487283681645544,0.21531799539904461
10,0,000000000000000001a8,built_loss,8.343324227619219,0.5511251906991788,0.2124110281652451
10,0,000000000000000001cd,built_loss,8.405831405608055,0.8145353836033781,0.40993414553644264
10,0,000000000000000001e5,built_loss,6.7357473989378605,0.5933765045295626,0.17351305616930102
10,0,00000000000000000209,built_loss,8.591645996947955,0.5412649735801182,0.23962067349477906
10,0,00000000000000000231,built_loss,9.142653772475358,0.5943512700407296,0.15084161448601574
10,0,0000000000000000026d,built_loss,9.124123113196992,0.5645415437804387,0.1912471003814572
10,0,00000000000000000278,built_loss,8.723743421703476,0.7919952129363873,0.1288857031595766
10,0,00000000000000000293,built_loss,9.521987018464191,0.4205461785661485,0.19049845895604378
10,0,00000000000000000316,built_loss,1.8443680840511303,0.14557290148813204,0.19781017477266813
10,0,00000000000000000356,built_loss,7.851320571610576,0.5602891614153651,0.4432154936643465
10,0,00000000000000000362,built_loss,9.467869793631133,0.5988345007897694,0.25880470659317295
10,0,00000000000000000363,built_loss,7.104240162978445,0.25644125913905624,0.28737779495793725
10,0,00000000000000000364,built_loss,8.018561291895441,0.6251115651476856,0.14700932445827142
10,0,00000000000000000380,built_loss,8.362164343417634,0.5759669535768266,0.08896862491664059
10,0,00000000000000000384,built_loss,8.121451649060138,0.6246984322160808,0.16911515021993984
10,0,0000000000000000039e,built_loss,5.503677661033935,0.4652920165154008,0.08118256527484402
10,0,000000000000000003a1,built_loss,7.837068839676949,0.6212965333627158,0.17759171508017935
10,0,000000000000000003a5,built_loss,8.203901702348546,0.47360922868190614,0.31219005319318355
10,0,000000000000000003b7,built_loss,7.441471077021306,0.5181146523556927,0.1584848940796723
10,0,000000000000000003bf,built_loss,8.642627772004541,0.49111403166332024,0.1251596118067148
10,0,000000000000000003d2,built_loss,8.472780001899249,0.7108805983262433,0.13258343349537138
10,0,000000000000000003f8,built_loss,4.382867530527191,0.2559325913831962,0.13220413003785783
10,0,000000000000000003fa,built_loss,9.31068082016633,0.4591446616680036,0.18270924022897772
10,0,00000000000000000407,built_loss,9.517341878736723,0.6077714696071225,0.24550670791676754
10,0,0000000000000000040f,built_loss,8.369164250344626,0.5442497020951795,0.06992672785531262
10,0,00000000000000000426,built_loss,7.7484680207627665,0.5229164051745481,0.18053597334516552
10,0,0000000000000000042b,built_loss,8.333810381487961,0.6472253382146157,0.32645481653384173
10,0,00000000000000000442,built_loss,3.615291247022926,0.7192301942015275,0.4169074603381175
10,0,00000000000000000465,built_loss,8.590223100799847,0.6825933265389711,0.24490655987115673
10,0,0000000000000000047e,built_loss,6.636819335640592,0.44450059654541724,0.15670202004118677
10,0,00000000000000000490,built_loss,8.279565825187227,0.5390374815434261,0.3762040706557379
10,0,000000000000000004c0,built_loss,8.61951345109128,0.606623217531329,0.15108523397863804
10,0,000000000000000004c5,built_loss,6.217426395742735,0.6280796210942134,0.35292346578510736
10,0,000000000000000004d9,built_loss,8.855922168652796,0.5492656795926139,0.14566942481643885
10,0,000000000000000004eb,built_loss,8.740440400470842,0.453048185816271,0.15608066772938056
10,0,000000000000000004f7,built_loss,6.508579137006424,0.43951907913889837,0.19018436305456055
10,0,000000000000000004fe,built_loss,7.866886420139958,0.4980593346752992,0.11385138548261797
10,0,0000000000000000051d,built_loss,8.633175677116185,0.5149664341462696,0.4843926311965085
10,0,00000000000000000559,built_loss,9.293847211107096,0.6753229363914814,0.347604567159539
10,0,00000000000000000576,built_loss,3.0888234622517974,0.2748213346167884,0.14395423034261656
10,0,00000000000000000577,built_loss,5.604829674242219,0.5228382028019903,0.23221560875436897
10,0,0000000000000000057f,built_loss,2.0660800993752875,0.2264429436207694,0.30602094469715474
10,0,00000000000000000594,built_loss,7.826944723065285,0.3688260347921216,0.45351055325898987
10,0,000000000000000005ad,built_loss,8.945476917411742,0.6132104620001222,0.225422942475917
10,0,000000000000000005bf,built_loss,8.384986354916654,0.47101418249288973,0.2232722397003853
10,0,000000000000000005cc,built_loss,4.758204442125526,0.3938919674117297,0.10097454775119657
10,0,000000000000000005de,built_loss,8.96388279125401,0.41558470667492425,0.10149951357569842
10,0,000000000000000005e7,built_loss,9.650174266789758,0.5534778679716742,0.37096523838935136
10,0,000000000000000005f9,built_loss,8.39481229127125,0.679642350543878,0.22392189660999778
10,0,0000000000000000061c,built_loss,6.313834010221482,0.4324703163755445,0.20399883182266187
10,0,00000000000000000624,built_loss,4.892815213630603,0.4327008902588458,0.23016738464191888
10,0,00000000000000000626,built_loss,8.415475080927562,0.5488664754606123,0.13436514473446298
10,0,0000000000000000062a,built_loss,8.390266099147565,0.6224101879084023,0.18768004223043122
10,0,00000000000000000636,built_loss,7.039198003833326,0.581663260083759,0.27869187046976646
10,0,0000000000000000064a,built_loss,3.158832448569474,0.3285406498576289,0.10087113017967869
10,0,0000000000000000064d,built_loss,7.109559853250465,0.3659498916102907,0.17444552350144016
10,0,00000000000000000694,built_loss,7.193047013771159,0.3677345159160241,0.11098031240474054
10,0,0000000000000000069d,built_loss,8.267620513311108,0.6675591566464405,0.25548485865506054
10,0,000000000000000006b7,built_loss,7.71236065084792,0.47035528169755453,0.13329564418680573
10,0,000000000000000006df,built_loss,6.910308160255664,0.19619070051941717,0.4287540684165704
10,0,000000000000000006e3,built_loss,8.668296637102353,0.4179978209736242,0.30948599214566924
10,0,00000000000000000011,crop_loss,9.8113490659415,0.7170871580248804,0.5555690038866179
10,0,0000000000000000002b,crop_loss,9.302725143739718,0.1683880715344762,0.20198205682749681
10,0,0000000000000000002d,crop_loss,8.04941244637615,0.4873560063921246,0.19050235961917006
10,0,0000000000000000003a,crop_loss,7.8441944997573145,0.2834516195576789,0.22906253971705154
10,0,0000000000000000009b,crop_loss,6.388873320892435,0.4931867288577478,0.03320661818976889
10,0,0000000000000000009d,crop_loss,3.1934915056374646,0.3597027419260431,0.2582957422546074
10,0,000000000000000000a8,crop_loss,8.157038096860521,0.2332171848585484,0.2177056994020957
10,0,000000000000000000da,crop_loss,9.131512521602938,0.6407285899013487,0.2929038050089813
10,0,000000000000000000e3,crop_loss,8.035754697464437,0.4752049696852596,0.3276693289923837
10,0,000000000000000000e9,crop_loss,3.9861942918707762,0.3722348366253514,0.23253365581597646
10,0,0000000000000000011b,crop_loss,7.292089187919925,0.46996014843601946,0.13077435512653185
10,0,00000000000000000128,crop_loss,8.564331079235599,0.5469822159435618,0.08679736814148042
10,0,00000000000000000192,crop_loss,9.573284085287112,0.5309299325471009,0.14679137361901656
10,0,00000000000000000196,crop_loss,8.175690742361837,0.23885508962060434,0.10300625667121124
10,0,000000000000000001a6,crop_loss,8.582859561697083,0.27151697697669847,0.2511346647233353
10,0,000000000000000001e4,crop_loss,8.095197725148289,0.47054403521936555,0.12904264524004178
10,0,000000000000000001f9,crop_loss,8.603664877980641,0.5205039614855925,0.4608531884719114
10,0,00000000000000000228,crop_loss,8.191786394345668,0.33530053234626356,0.4656855879248526
10,0,0000000000000000028c,crop_loss,3.1549143755474267,0.2900223028773674,0.29018434198652787
10,0,0000000000000000028d,crop_loss,8.862996703457421,0.7304306106051858,0.2865495258686863
10,0,00000000000000000291,crop_loss,7.035213264847308,0.8915679367945817,0.059039677885140196
10,0,000000000000000002c5,crop_loss,5.534351458334744,0.26423112039576774,0.1767097949514128
10,0,000000000000000002dc,crop_loss,9.505322077414526,0.6629492570533,0.18746453862754586
10,0,000000000000000002e4,crop_loss,8.329743106655325,0.3012952045082409,0.3356759978841079
10,0,000000000000000002ec,crop_loss,8.431524409916781,0.488301718259829,0.2337674078274612
10,0,00000000000000000314,crop_loss,9.392291806499973,0.10670419954945637,0.1175732430510992
10,0,00000000000000000335,crop_loss,8.377498677583189,0.331842328008754,0.3683462091828914
10,0,0000000000000000033a,crop_loss,9.59337448749654,0.4847347993827257,0.20259181122681863
10,0,000000000000000003b0,crop_loss,9.264281799219276,0.20057571850148326,0.23597551345037415
10,0,000000000000000003c8,crop_loss,7.8200435807342314,0.24005729765474404,0.12256212240798031
10,0,000000000000000003f1,crop_loss,9.831265365257094,0.47585032310653286,0.23715019708918528
10,0,000000000000000003f2,crop_loss,9.122366724561886,0.5111853226450453,0.13389658583299263
10,0,0000000000000000044b,crop_loss,3.259728115353237,0.5110363649562698,0.18868228039809842
10,0,0000000000000000046c,crop_loss,6.851255495078457,0.5470126208331344,0.44962007170112483
10,0,00000000000000000480,crop_loss,6.0124306404841175,0.640032523321583,0.5230980791149775
10,0,00000000000000000483,crop_loss,6.085063804836252,0.6395908600596557,0.2213507433906965
10,0,00000000000000000485,crop_loss,8.610940978191932,0.6597832723288639,0.15962869735364815
10,0,00000000000000000497,crop_loss,7.4513363710369696,0.31048475814405563,0.25636817254979966
10,0,0000000000000000049b,crop_loss,8.462324053100797,0.4247795653721924,0.22374985008443138
10,0,000000000000000004a1,crop_loss,8.832802489684232,0.4053868283205697,0.14151155096691026
10,0,000000000000000004e7,crop_loss,8.33454577470798,0.506282189697003,0.060369030248990374
10,0,000000000000000004e9,crop_loss,8.027684595334879,0.41736256596602,0.39002719357793036
10,0,000000000000000004ee,crop_loss,7.5873028959402795,0.3137265360685242,0.45390048745109324
10,0,000000000000000004f9,crop_loss,8.79538559909958,0.40216687940096596,0.3920405812895356
10,0,00000000000000000517,crop_loss,8.955950174325519,0.26325425517030504,0.4669535389490785
10,0,00000000000000000538,crop_loss,1.0598600287658528,0.30200114523464183,0.2066946220079819
10,0,0000000000000000057e,crop_loss,4.187300679790168,0.5114386443511474,0.13160495723379073
