PLOTID,parent_id,longitude,latitude,group,ghm_aa
a125-05478641011118_66-93893834444498,,125.0547864101185,66.93893834440053,stable_natural,0.0011677079601213336
a-57-95402577900116_-31-58836234527722,,-57.9540257790022,-31.588362345266653,artificial_reversion,0.21915623545646667
a117-38994786834625_-35-01959003628577,,117.38994786834652,-35.01959003627204,stable_artificial,0.020064475014805794
a84-43920941334888_54-33137186637502,,84.43920941334498,54.331371866349365,stable_natural,0.01888125017285347
a88-38025159089558_21-93131086143084,,88.38025159089679,21.93131086141763,stable_natural,0.4344237148761749
a30-11571703729918_61-05606421188499,,30.11571703730513,61.05606421184501,artificial_reversion,0.366686075925827
a61-01306974821885_46-03121525713383,,61.013069748215656,46.03121525711404,stable_natural,0.027897851541638374
a118-2569859552004_35-01914755646465,,118.25698595520232,35.01914755644529,stable_artificial,0.8737959861755371
a-62-70704526909091_-32-25280114026047,,-62.70704526908901,-32.25280114024692,stable_artificial,0.4618018865585327
a-67-96774725096549_-43-39570000730074,,-67.96774725096309,-43.3957000072794,stable_natural,0.02728554792702198
a122-36262708021457_41-41670336908852,,122.362627080215,41.41670336907063,stable_artificial,0.4729416072368622
a20-70588074878618_-12-52001738268111,,20.705880748785063,-12.520017382676668,stable_natural,0.029174862429499626
a16-95892767855353_50-87016472841188,,16.958927678557245,50.87016472838712,stable_artificial,0.4253886044025421
a72-19303900892814_71-9917195405411,,72.19303900891433,71.99171954048543,artificial_reversion,0.13633422553539276
a64-46782730698568_39-85352511500201,,64.46782730698783,39.85352511498438,stable_artificial,0.7017638087272644
a98-67192721461701_3-59823614518745,,98.67192721461596,3.598236145185488,stable_natural,0.9862493872642517
a82-25570488831279_43-48332249117329,,82.25570488831559,43.48332249115882,stable_artificial,0.8573631048202515
a22-29429273886102_-13-38686647075512,,22.2942927388639,-13.386866470750563,stable_natural,0.022618204355239868
a50-00987431878753_58-67514537500033,,50.009874318792605,58.675145374965865,stable_natural,0.4062436819076538
a34-34333742992048_63-75420256918685,,34.34333742993569,63.7542025691411,stable_natural,1.0
a115-68755115143831_41-67117874515521,,115.6875511514411,41.67117874513579,artificial_reversion,0.9701049327850342
a-65-59882742194223_-22-08346090411997,,-65.59882742194253,-22.083460904112787,stable_artificial,0.9837400913238525
a77-72010756970491_14-42562939639426,,77.72010756970505,14.425629396388985,stable_natural,0.7286405563354492
a91-78462554518173_32-25378972958232,,91.78462554517998,32.25378972956956,stable_natural,0.08928196132183075
a76-38927781265038_18-16819273752149,,76.38927781264913,18.168192737508527,artificial_reversion,0.9438380599021912
